┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬──────┐
│ (index) │   c   │   h   │   l   │   o   │ bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │  auk  │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  uk  │  val_uk  │ ruk  │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼──────┤
│    0    │ 10600 │ 10600 │ 10600 │ 10600 │ 800 │ 8480000 │    800    │   800   │ 8480000  │ 8480000  │ 1676540280000 │ '2023-02-16T09:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 109.1 │ 300 │ 372.7 │ 7.3 │  800  │  8480000  │ 1152727.3  │ 3146363.6  │    800    │    8480000    │   8480000   │      0      │ -4.3  │      │          │     │      │          │      │
│    1    │ 10600 │ 10600 │ 10600 │ 10600 │     │         │    900    │   100   │ 1060000  │ 9540000  │ 1676540520000 │ '2023-02-16T09:42:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 300 │ 372.7 │     │ -100  │ -1060000  │ 1152727.3  │ 3146363.6  │    700    │    7420000    │   8480000   │   1060000   │  0.5  │ 100  │ 1060000  │ 0.3 │      │          │      │
│    2    │ 10600 │ 10600 │ 10600 │ 10600 │     │         │   2200    │  1300   │ 13780000 │ 23320000 │ 1676542560000 │ '2023-02-16T10:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 300 │ 372.7 │     │ -1300 │ -13780000 │ 1152727.3  │ 3146363.6  │   -600    │   -6360000    │   8480000   │  14840000   │  6.9  │ 1300 │ 13780000 │ 4.3 │      │          │      │
│    3    │ 10500 │ 10500 │ 10500 │ 10500 │     │         │   6200    │  4000   │ 42000000 │ 65320000 │ 1676542680000 │ '2023-02-16T10:18:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 109.1 │ 300 │ 372.7 │     │   0   │     0     │ 1152727.3  │ 3146363.6  │   -600    │   -6360000    │   8480000   │  14840000   │  -0   │      │          │     │ 4000 │ 42000000 │ 10.7 │
│    4    │ 10500 │ 10500 │ 10500 │ 10500 │     │         │   6300    │   100   │ 1050000  │ 66370000 │ 1676544360000 │ '2023-02-16T10:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 300 │ 372.7 │     │ -100  │ -1050000  │ 1152727.3  │ 3146363.6  │   -700    │   -7410000    │   8480000   │  15890000   │  0.5  │ 100  │ 1050000  │ 0.3 │      │          │      │
│    5    │ 10400 │ 10400 │ 10400 │ 10400 │     │         │   6600    │   300   │ 3120000  │ 69490000 │ 1676546160000 │ '2023-02-16T11:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 300 │ 372.7 │     │ -300  │ -3120000  │ 1152727.3  │ 3146363.6  │   -1000   │   -10530000   │   8480000   │  19010000   │  1.6  │ 300  │ 3120000  │  1  │      │          │      │
│    6    │ 10400 │ 10400 │ 10400 │ 10400 │     │         │   6700    │   100   │ 1040000  │ 70530000 │ 1676546280000 │ '2023-02-16T11:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 300 │ 372.7 │     │ -100  │ -1040000  │ 1152727.3  │ 3146363.6  │   -1100   │   -11570000   │   8480000   │  20050000   │  0.5  │ 100  │ 1040000  │ 0.3 │      │          │      │
│    7    │ 10400 │ 10400 │ 10400 │ 10400 │     │         │   7200    │   500   │ 5200000  │ 75730000 │ 1676552640000 │ '2023-02-16T13:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 300 │ 372.7 │     │ -500  │ -5200000  │ 1152727.3  │ 3146363.6  │   -1600   │   -16770000   │   8480000   │  25250000   │  2.6  │ 500  │ 5200000  │ 1.7 │      │          │      │
│    8    │ 10400 │ 10400 │ 10400 │ 10400 │     │         │   8100    │   900   │ 9360000  │ 85090000 │ 1676555760000 │ '2023-02-16T13:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 109.1 │ 300 │ 372.7 │     │ -900  │ -9360000  │ 1152727.3  │ 3146363.6  │   -2500   │   -26130000   │   8480000   │  34610000   │  4.7  │ 900  │ 9360000  │  3  │      │          │      │
│    9    │ 10400 │ 10400 │ 10400 │ 10400 │     │         │   8200    │   100   │ 1040000  │ 86130000 │ 1676556000000 │ '2023-02-16T14:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 109.1 │ 300 │ 372.7 │     │   0   │     0     │ 1152727.3  │ 3146363.6  │   -2500   │   -26130000   │   8480000   │  34610000   │  -0   │      │          │     │ 100  │ 1040000  │ 0.3  │
│   10    │ 10500 │ 10500 │ 10500 │ 10500 │ 400 │ 4200000 │   8600    │   400   │ 4200000  │ 90330000 │ 1676559120000 │ '2023-02-16T14:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 109.1 │ 300 │ 372.7 │ 3.7 │  400  │  4200000  │ 1152727.3  │ 3146363.6  │   -2100   │   -21930000   │  12680000   │  34610000   │ -2.1  │      │          │     │      │          │      │
