┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 12750 │ 12750 │ 12750 │ 12750 │ 2000 │ 25500000 │   2000    │  2000   │ 25500000 │ 25500000  │ 1676538840000 │ '2023-02-16T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 100 │ 518.2 │ 181.8 │ 11  │   0   │     0     │ 1247272.7  │ 6347272.7  │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │          │     │
│    1    │ 12300 │ 12300 │ 12300 │ 12300 │      │          │   2100    │   100   │ 1230000  │ 26730000  │ 1676539080000 │ '2023-02-16T09:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -100  │ -1230000  │ 1247272.7  │ 6347272.7  │   -100    │   -1230000    │      0      │   1230000   │  0.2  │ 100  │ 1230000  │ 0.2 │      │          │     │
│    2    │ 12300 │ 12300 │ 12300 │ 12300 │      │          │   2500    │   400   │ 4920000  │ 31650000  │ 1676540040000 │ '2023-02-16T09:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -400  │ -4920000  │ 1247272.7  │ 6347272.7  │   -500    │   -6150000    │      0      │   6150000   │   1   │ 400  │ 4920000  │ 0.8 │      │          │     │
│    3    │ 12500 │ 12500 │ 12500 │ 12500 │      │          │   3500    │  1000   │ 12500000 │ 44150000  │ 1676542800000 │ '2023-02-16T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 100 │ 518.2 │ 181.8 │     │ 1000  │ 12500000  │ 1247272.7  │ 6347272.7  │    500    │    6350000    │  12500000   │   6150000   │ -2.5  │      │          │     │ 1000 │ 12500000 │ 10  │
│    4    │ 12400 │ 12400 │ 12400 │ 12400 │      │          │   3600    │   100   │ 1240000  │ 45390000  │ 1676543280000 │ '2023-02-16T10:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -100  │ -1240000  │ 1247272.7  │ 6347272.7  │    400    │    5110000    │  12500000   │   7390000   │  0.2  │ 100  │ 1240000  │ 0.2 │      │          │     │
│    5    │ 12300 │ 12300 │ 12300 │ 12300 │      │          │   3700    │   100   │ 1230000  │ 46620000  │ 1676543400000 │ '2023-02-16T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -100  │ -1230000  │ 1247272.7  │ 6347272.7  │    300    │    3880000    │  12500000   │   8620000   │  0.2  │ 100  │ 1230000  │ 0.2 │      │          │     │
│    6    │ 12300 │ 12300 │ 12300 │ 12300 │      │          │   3800    │   100   │ 1230000  │ 47850000  │ 1676544840000 │ '2023-02-16T10:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -100  │ -1230000  │ 1247272.7  │ 6347272.7  │    200    │    2650000    │  12500000   │   9850000   │  0.2  │ 100  │ 1230000  │ 0.2 │      │          │     │
│    7    │ 12300 │ 12300 │ 12300 │ 12300 │      │          │   5700    │  1900   │ 23370000 │ 71220000  │ 1676552880000 │ '2023-02-16T13:08:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -1900 │ -23370000 │ 1247272.7  │ 6347272.7  │   -1700   │   -20720000   │  12500000   │  33220000   │  4.6  │ 1900 │ 23370000 │ 3.7 │      │          │     │
│    8    │ 12200 │ 12200 │ 12200 │ 12200 │      │          │   6700    │  1000   │ 12200000 │ 83420000  │ 1676555760000 │ '2023-02-16T13:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -1000 │ -12200000 │ 1247272.7  │ 6347272.7  │   -2700   │   -32920000   │  12500000   │  45420000   │  2.4  │ 1000 │ 12200000 │ 1.9 │      │          │     │
│    9    │ 12200 │ 12200 │ 12200 │ 12200 │      │          │   6800    │   100   │ 1220000  │ 84640000  │ 1676555880000 │ '2023-02-16T13:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 100 │ 518.2 │ 181.8 │     │  100  │  1220000  │ 1247272.7  │ 6347272.7  │   -2600   │   -31700000   │  13720000   │  45420000   │ -0.2  │      │          │     │ 100  │ 1220000  │  1  │
│   10    │ 12200 │ 12200 │ 12200 │ 12200 │      │          │   8800    │  2000   │ 24400000 │ 109040000 │ 1676558640000 │ '2023-02-16T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 100 │ 518.2 │ 181.8 │     │ -2000 │ -24400000 │ 1247272.7  │ 6347272.7  │   -4600   │   -56100000   │  13720000   │  69820000   │  4.8  │ 2000 │ 24400000 │ 3.9 │      │          │     │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

