┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬───────┬─────┬────────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk  │ val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │  auk  │ ruk │ bu-sd  │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd   │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼───────┼─────┼────────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┼──────┼──────────┼─────┤
│    0    │ 2900 │ 2900 │ 2900 │ 2900 │ 2900 │ 8410000 │   2900    │  2900   │  8410000  │  8410000  │ 1676538240000 │ '2023-02-16T09:04:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1233.3 │ 10300 │ 322.2 │  9  │   0    │     0      │ 3577777.8  │  29870000  │     0     │       0       │      0      │      0      │  -0   │       │           │     │      │          │     │
│    1    │ 2900 │ 2900 │ 2900 │ 2900 │      │         │   52900   │  50000  │ 145000000 │ 153410000 │ 1676538600000 │ '2023-02-16T09:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1233.3 │ 10300 │ 322.2 │     │ -50000 │ -145000000 │ 3577777.8  │  29870000  │  -50000   │  -145000000   │      0      │  145000000  │  5.5  │ 50000 │ 145000000 │ 4.9 │      │          │     │
│    2    │ 2900 │ 2900 │ 2900 │ 2900 │      │         │   68800   │  15900  │ 46110000  │ 199520000 │ 1676541240000 │ '2023-02-16T09:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1233.3 │ 10300 │ 322.2 │     │ -15900 │ -46110000  │ 3577777.8  │  29870000  │  -65900   │  -191110000   │      0      │  191110000  │  1.8  │ 15900 │ 46110000  │ 1.5 │      │          │     │
│    3    │ 2900 │ 2900 │ 2900 │ 2900 │      │         │   78800   │  10000  │ 29000000  │ 228520000 │ 1676546640000 │ '2023-02-16T11:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1233.3 │ 10300 │ 322.2 │     │ -10000 │ -29000000  │ 3577777.8  │  29870000  │  -75900   │  -220110000   │      0      │  220110000  │  1.1  │ 10000 │ 29000000  │  1  │      │          │     │
│    4    │ 2900 │ 2900 │ 2900 │ 2900 │      │         │   85700   │  6900   │ 20010000  │ 248530000 │ 1676555160000 │ '2023-02-16T13:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1233.3 │ 10300 │ 322.2 │     │  6900  │  20010000  │ 3577777.8  │  29870000  │  -69000   │  -200100000   │  20010000   │  220110000  │ -0.8  │       │           │     │ 6900 │ 20010000 │ 5.6 │
│    5    │ 2900 │ 2900 │ 2900 │ 2900 │      │         │   89800   │  4100   │ 11890000  │ 260420000 │ 1676555280000 │ '2023-02-16T13:48:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1233.3 │ 10300 │ 322.2 │     │  4100  │  11890000  │ 3577777.8  │  29870000  │  -64900   │  -188210000   │  31900000   │  220110000  │ -0.5  │       │           │     │ 4100 │ 11890000 │ 3.3 │
│    6    │ 2900 │ 2900 │ 2900 │ 2900 │      │         │   95000   │  5200   │ 15080000  │ 275500000 │ 1676557200000 │ '2023-02-16T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1233.3 │ 10300 │ 322.2 │     │ -5200  │ -15080000  │ 3577777.8  │  29870000  │  -70100   │  -203290000   │  31900000   │  235190000  │  0.6  │ 5200  │ 15080000  │ 0.5 │      │          │     │
│    7    │ 2900 │ 2900 │ 2900 │ 2900 │      │         │  106600   │  11600  │ 33640000  │ 309140000 │ 1676557560000 │ '2023-02-16T14:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1233.3 │ 10300 │ 322.2 │     │ -11600 │ -33640000  │ 3577777.8  │  29870000  │  -81700   │  -236930000   │  31900000   │  268830000  │  1.3  │ 11600 │ 33640000  │ 1.1 │      │          │     │
│    8    │ 3000 │ 3000 │ 3000 │ 3000 │      │         │  106700   │   100   │  300000   │ 309440000 │ 1676558760000 │ '2023-02-16T14:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1233.3 │ 10300 │ 322.2 │     │  100   │   300000   │ 3577777.8  │  29870000  │  -81600   │  -236630000   │  32200000   │  268830000  │  -0   │       │           │     │ 100  │  300000  │ 0.1 │
└─────────┴──────┴──────┴──────┴──────┴──────┴─────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴───────┴───────┴─────┴────────┴────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴───────────┴─────┴──────┴──────────┴─────┘

