┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 9290 │ 9290 │ 9290 │ 9290 │ 200 │ 1858000 │    200    │   200   │ 1858000  │  1858000  │ 1676538900000 │ '2023-02-16T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 261.5 │ 923.1 │ 15.4 │ 13  │   0   │     0     │ 2484076.9  │ 8664846.2  │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │          │     │
│    1    │ 9500 │ 9500 │ 9490 │ 9490 │     │         │    800    │   600   │ 5699000  │  7557000  │ 1676541600000 │ '2023-02-16T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 261.5 │ 923.1 │ 15.4 │     │  600  │  5699000  │ 2484076.9  │ 8664846.2  │    600    │    5699000    │   5699000   │      0      │ -0.9  │ 600  │ 5699000  │ 2.3 │      │          │     │
│    2    │ 9650 │ 9650 │ 9640 │ 9640 │     │         │   2300    │  1500   │ 14470000 │ 22027000  │ 1676541900000 │ '2023-02-16T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 261.5 │ 923.1 │ 15.4 │     │ 1500  │ 14470000  │ 2484076.9  │ 8664846.2  │   2100    │   20169000    │  20169000   │      0      │ -2.3  │ 1500 │ 14470000 │ 5.7 │      │          │     │
│    3    │ 9600 │ 9600 │ 9600 │ 9600 │     │         │   2600    │   300   │ 2880000  │ 24907000  │ 1676542800000 │ '2023-02-16T10:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 261.5 │ 923.1 │ 15.4 │     │ -300  │ -2880000  │ 2484076.9  │ 8664846.2  │   1800    │   17289000    │  20169000   │   2880000   │  0.5  │      │          │     │ 300  │ 2880000  │ 0.3 │
│    4    │ 9500 │ 9500 │ 9500 │ 9500 │     │         │   3600    │  1000   │ 9500000  │ 34407000  │ 1676543400000 │ '2023-02-16T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 261.5 │ 923.1 │ 15.4 │     │ -1000 │ -9500000  │ 2484076.9  │ 8664846.2  │    800    │    7789000    │  20169000   │  12380000   │  1.5  │      │          │     │ 1000 │ 9500000  │ 1.1 │
│    5    │ 9450 │ 9450 │ 9450 │ 9450 │     │         │   8600    │  5000   │ 47250000 │ 81657000  │ 1676544300000 │ '2023-02-16T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 261.5 │ 923.1 │ 15.4 │     │ -5000 │ -47250000 │ 2484076.9  │ 8664846.2  │   -4200   │   -39461000   │  20169000   │  59630000   │  7.6  │      │          │     │ 5000 │ 47250000 │ 5.4 │
│    6    │ 9300 │ 9330 │ 9300 │ 9330 │     │         │   10900   │  2300   │ 21413000 │ 103070000 │ 1676553000000 │ '2023-02-16T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 261.5 │ 923.1 │ 15.4 │     │ -2300 │ -21413000 │ 2484076.9  │ 8664846.2  │   -6500   │   -60874000   │  20169000   │  81043000   │  3.5  │      │          │     │ 2300 │ 21413000 │ 2.5 │
│    7    │ 9290 │ 9290 │ 9290 │ 9290 │     │         │   11000   │   100   │  929000  │ 103999000 │ 1676553900000 │ '2023-02-16T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 261.5 │ 923.1 │ 15.4 │     │ -100  │  -929000  │ 2484076.9  │ 8664846.2  │   -6600   │   -61803000   │  20169000   │  81972000   │  0.2  │      │          │     │ 100  │  929000  │ 0.1 │
│    8    │ 9290 │ 9290 │ 9290 │ 9290 │     │         │   11400   │   400   │ 3716000  │ 107715000 │ 1676554800000 │ '2023-02-16T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 261.5 │ 923.1 │ 15.4 │     │ -400  │ -3716000  │ 2484076.9  │ 8664846.2  │   -7000   │   -65519000   │  20169000   │  85688000   │  0.6  │      │          │     │ 400  │ 3716000  │ 0.4 │
│    9    │ 9300 │ 9300 │ 9300 │ 9300 │     │         │   12300   │   900   │ 8370000  │ 116085000 │ 1676555400000 │ '2023-02-16T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 261.5 │ 923.1 │ 15.4 │     │ -900  │ -8370000  │ 2484076.9  │ 8664846.2  │   -7900   │   -73889000   │  20169000   │  94058000   │  1.4  │      │          │     │ 900  │ 8370000  │  1  │
│   10    │ 9300 │ 9300 │ 9300 │ 9300 │     │         │   13400   │  1100   │ 10230000 │ 126315000 │ 1676556600000 │ '2023-02-16T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 261.5 │ 923.1 │ 15.4 │     │ 1100  │ 10230000  │ 2484076.9  │ 8664846.2  │   -6800   │   -63659000   │  30399000   │  94058000   │ -1.7  │ 1100 │ 10230000 │ 4.2 │      │          │     │
