"code","trading_date","close_value","foreign_buy_matched","foreign_sell_matched","foreign_buy","foreign_sell","proprietary_buy_matched","proprietary_sell_matched","proprietary_buy","proprietary_sell","local_individual_buy_matched","local_individual_sell_matched","local_individual_buy","local_individual_sell","local_institutional_buy_matched","local_institutional_sell_matched","local_institutional_buy","local_institutional_sell","foreign_individual_buy_matched","foreign_individual_sell_matched","foreign_individual_buy","foreign_individual_sell","foreign_institutional_buy_matched","foreign_institutional_sell_matched","foreign_institutional_buy","foreign_institutional_sell"
"AAA",1696525200,9.1,522695000,150209000,522695000,150209000,18096000,0,18096000,0,15008638570,15391988570,15008638570,15391988570,9142000,16374000,9142000,16374000,23585000,0,23585000,0,499110000,150209000,499110000,150209000
"AAA",1696352400,9.1,520188000,124584000,520188000,124584000,17902000,0,17902000,0,17747249130,18165232130,17747249130,18165232130,7188000,2711000,7188000,2711000,9090000,81180000,9090000,81180000,511098000,43404000,511098000,43404000
"AAA",1696266000,9,660962000,446433000,660962000,446433000,114088000,0,114088000,0,30638476510,31409767510,30638476510,31409767510,920984000,478310000,920984000,478310000,252874000,21000000,252874000,21000000,408088000,425433000,408088000,425433000
"AAA",1695920400,9.34,224960000,0,224960000,0,0,0,0,0,18094173260,18346135260,18094173260,18346135260,28867000,1865000,28867000,1865000,38303000,0,38303000,0,186657000,0,186657000,0
"AAA",1695834000,9.29,203840000,0,203840000,0,3660000,0,3660000,0,20237867230,20449975230,20237867230,20449975230,4608000,0,4608000,0,83938000,0,83938000,0,119902000,0,119902000,0
"AAA",1695747600,9.2,1455234000,1788000,1455234000,1788000,14312000,0,14312000,0,40154293520,41547233520,40154293520,41547233520,52079000,126897000,52079000,126897000,145250000,1788000,145250000,1788000,1309984000,0,1309984000,0
"AAA",1695661200,9.1,415320000,1115947660,415320000,1115947660,18908000,0,18908000,0,49541872470,48932797810,49541872470,48932797810,113730000,41085000,113730000,41085000,223170000,32364660,223170000,32364660,192150000,1083583000,192150000,1083583000
"AAA",1695574800,9.58,637823000,14520000,637823000,14520000,15940000,0,15940000,0,60066243920,60738451920,60066243920,60738451920,72280000,39315000,72280000,39315000,106763000,14520000,106763000,14520000,531060000,0,531060000,0
"AAA",1695315600,10.3,20378200,255605700,20378200,255605700,16640000,16640000,16640000,16640000,60215997750,59995210250,60215997750,59995210250,57990000,43550000,57990000,43550000,3738200,74085000,3738200,74085000,0,164880700,0,164880700
"AAA",1695229200,10.5,31950000,203985000,31950000,203985000,0,0,0,0,74974480250,74886180250,74974480250,74886180250,142510000,58775000,142510000,58775000,31950000,21175000,31950000,21175000,0,182810000,0,182810000
"AAA",1695142800,10.35,25575000,30750000,25575000,30750000,0,1020000,0,1020000,31131718950,30853228950,31131718950,30853228950,24640000,296935000,24640000,296935000,25575000,30750000,25575000,30750000,0,0,0,0
"AAA",1695056400,10.15,63205000,165165000,63205000,165165000,16340000,0,16340000,0,38624459550,38532599550,38624459550,38532599550,10240000,16480000,10240000,16480000,35700000,30600000,35700000,30600000,27505000,134565000,27505000,134565000
"AAA",1694970000,10.35,2060000,69085000,2060000,69085000,0,905175000,0,905175000,26404731700,25434716700,26404731700,25434716700,32075000,29890000,32075000,29890000,1030000,36125000,1030000,36125000,1030000,32960000,1030000,32960000
"AAA",1694624400,10.25,159215000,10450000,159215000,10450000,4180000,4174810000,4180000,4174810000,65491657950,61541687950,65491657950,61541687950,79210000,7315000,79210000,7315000,55180000,10450000,55180000,10450000,104035000,0,104035000,0
"AAA",1694538000,10.55,45705000,99590000,45705000,99590000,0,317970000,0,317970000,67917395300,67726815300,67917395300,67726815300,298230000,116955000,298230000,116955000,42450000,0,42450000,0,3255000,99590000,3255000,99590000
