┌─────────┬───────────────┬─────────┬─────────┬──────────┬─────────────┬──────────────┬────────────────────┬──────────┬──────────────┬────────────────────────────┬───────────────┬───────────┬──────────┬──────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────┬──────────┬──────────────┬───────┐
│ (index) │   datetime    │   sd    │   bu    │    uk    │   val_sd    │    val_bu    │       val_uk       │ sum_vol  │     val      │            date            │   acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd │ avg_busd_val │ rbusd │
├─────────┼───────────────┼─────────┼─────────┼──────────┼─────────────┼──────────────┼────────────────────┼──────────┼──────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼──────────┼──────────────┼───────┤
│    0    │ 1672909200000 │    0    │   100   │    0     │      0      │   1320000    │         0          │   100    │   1320000    │ '2023-01-05T09:00:00.000Z' │    1320000    │    100    │   100    │   1320000    │    100    │    1320000    │    1320000    │       0       │    100    │     0     │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │   0   │
│    1    │ 1672909560000 │    0    │  5000   │    0     │      0      │   66000000   │         0          │   5000   │   66000000   │ '2023-01-05T09:06:00.000Z' │   67320000    │   5100    │   5000   │   66000000   │   5100    │   67320000    │   67320000    │       0       │   5100    │     0     │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │   0   │
│    2    │ 1672909920000 │   100   │  3000   │    0     │   1320000   │   39600000   │         0          │   3100   │   40920000   │ '2023-01-05T09:12:00.000Z' │   108240000   │   8200    │   2900   │   38280000   │   8000    │   105600000   │   106920000   │    1320000    │   8100    │    100    │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │   0   │
│    3    │ 1672910040000 │ 978300  │ 3804900 │ 1315300  │ 11995014400 │ 25088055900  │    17639155400     │ 6098500  │ 54722225700  │ '2023-01-05T09:14:00.000Z' │  54830465700  │  6106700  │ 2826600  │ 13093041500  │  2834600  │  13198641500  │  25194975900  │  11996334400  │  3813000  │  978400   │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │  2.5  │
│    4    │ 1672910160000 │ 887700  │ 1882100 │  15700   │ 10635890000 │ 19592859700  │     228307000      │ 2785500  │ 30457056700  │ '2023-01-05T09:16:00.000Z' │  85287522400  │  8892200  │  994400  │  8956969700  │  3829000  │  22155611200  │  44787835600  │  22632224400  │  5695100  │  1866100  │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │  1.7  │
│    5    │ 1672910280000 │ 924600  │ 2237700 │  33300   │ 12993446400 │ 30783139200  │     472189000      │ 3195600  │ 44248774600  │ '2023-01-05T09:18:00.000Z' │ 129536297000  │ 12087800  │ 1313100  │ 17789692800  │  5142100  │  39945304000  │  75570974800  │  35625670800  │  7932800  │  2790700  │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │  3.4  │
│    6    │ 1672910400000 │ 843400  │ 1266600 │  11000   │ 10485461800 │ 23058873300  │     120479000      │ 2121000  │ 33664814100  │ '2023-01-05T09:20:00.000Z' │ 163201111100  │ 14208800  │  423200  │ 12573411500  │  5565300  │  52518715500  │  98629848100  │  46111132600  │  9199400  │  3634100  │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │  2.4  │
│    7    │ 1672910520000 │ 961400  │ 1416900 │   4000   │ 13240395600 │ 22670026800  │      94439300      │ 2382300  │ 36004861700  │ '2023-01-05T09:22:00.000Z' │ 199205972800  │ 16591100  │  455500  │  9429631200  │  6020800  │  61948346700  │ 121299874900  │  59351528200  │ 10616300  │  4595500  │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │  1.8  │
│    8    │ 1672910640000 │ 1514100 │ 960100  │   5800   │ 21130478600 │ 16987336600  │     104303000      │ 2480000  │ 38222118200  │ '2023-01-05T09:24:00.000Z' │ 237428091000  │ 19071100  │ -554000  │ -4143142000  │  5466800  │  57805204700  │ 138287211500  │  80482006800  │ 11576400  │  6109600  │ 28725249510.8 │ 23431582009.2 │ 56216773635.4 │ 3615043.1 │ 1791583.1 │ 1586507.7 │ 205075.4 │ 5293667501.5 │  0.8  │
