┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬─────┬─────┬──────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬───────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd │ auk │ ruk  │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd   │  val_sd  │ rsd │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼─────┼─────┼──────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼───────┼──────────┼─────┤
│    0    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │ 100 │ 560000 │    100    │   100   │  560000  │  560000   │ 1677661800000 │ '2023-03-01T09:10:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1953.3 │ 800 │ 6.7 │ 14.9 │   0    │     0     │  10872000  │  4400000   │     0     │       0       │      0      │      0      │   0   │      │          │     │       │          │     │
│    1    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   2100    │  2000   │ 11200000 │ 11760000  │ 1677664800000 │ '2023-03-01T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  2000  │ 11200000  │  10872000  │  4400000   │   2000    │   11200000    │  11200000   │      0      │  1.7  │ 2000 │ 11200000 │  1  │       │          │     │
│    2    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   7100    │  5000   │ 27500000 │ 39260000  │ 1677666000000 │ '2023-03-01T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  5000  │ 27500000  │  10872000  │  4400000   │   7000    │   38700000    │  38700000   │      0      │  4.2  │ 5000 │ 27500000 │ 2.6 │       │          │     │
│    3    │ 5.5 │ 5.5 │ 5.5 │ 5.5 │     │        │   12100   │  5000   │ 27500000 │ 66760000  │ 1677666300000 │ '2023-03-01T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  5000  │ 27500000  │  10872000  │  4400000   │   12000   │   66200000    │  66200000   │      0      │  4.2  │ 5000 │ 27500000 │ 2.6 │       │          │     │
│    4    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   17600   │  5500   │ 30800000 │ 97560000  │ 1677667800000 │ '2023-03-01T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  5500  │ 30800000  │  10872000  │  4400000   │   17500   │   97000000    │  97000000   │      0      │  4.8  │ 5500 │ 30800000 │ 2.8 │       │          │     │
│    5    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   17900   │   300   │ 1680000  │ 99240000  │ 1677668100000 │ '2023-03-01T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  300   │  1680000  │  10872000  │  4400000   │   17800   │   98680000    │  98680000   │      0      │  0.3  │ 300  │ 1680000  │ 0.2 │       │          │     │
│    6    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   20100   │  2200   │ 12320000 │ 111560000 │ 1677668700000 │ '2023-03-01T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  2200  │ 12320000  │  10872000  │  4400000   │   20000   │   111000000   │  111000000  │      0      │  1.9  │ 2200 │ 12320000 │ 1.1 │       │          │     │
│    7    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   20200   │   100   │  560000  │ 112120000 │ 1677675600000 │ '2023-03-01T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  100   │  560000   │  10872000  │  4400000   │   20100   │   111560000   │  111560000  │      0      │  0.1  │ 100  │  560000  │ 0.1 │       │          │     │
│    8    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   20700   │   500   │ 2800000  │ 114920000 │ 1677675900000 │ '2023-03-01T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  500   │  2800000  │  10872000  │  4400000   │   20600   │   114360000   │  114360000  │      0      │  0.4  │ 500  │ 2800000  │ 0.3 │       │          │     │
│    9    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   22500   │  1800   │ 10080000 │ 125000000 │ 1677676200000 │ '2023-03-01T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  1800  │ 10080000  │  10872000  │  4400000   │   22400   │   124440000   │  124440000  │      0      │  1.6  │ 1800 │ 10080000 │ 0.9 │       │          │     │
│   10    │ 5.6 │ 5.6 │ 5.6 │ 5.6 │     │        │   23100   │   600   │ 3360000  │ 128360000 │ 1677676500000 │ '2023-03-01T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1953.3 │ 800 │ 6.7 │      │  600   │  3360000  │  10872000  │  4400000   │   23000   │   127800000   │  127800000  │      0      │  0.5  │ 600  │ 3360000  │ 0.3 │       │          │     │
