┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 11.2 │ 11.2 │ 11.2 │ 11.2 │ 600 │ 6720000 │    600    │   600   │ 6720000  │ 6720000  │ 1671529800000 │ '2022-12-20T09:50:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 11.1 │ 411.1 │ 66.7 │  9  │   0   │     0     │  124444.4  │ 4308888.9  │     0     │       0       │      0      │      0      │   0   │      │          │     │     │         │     │
│    1    │ 11.2 │ 11.2 │ 11.2 │ 11.2 │     │         │   1100    │   500   │ 5600000  │ 12320000 │ 1671530040000 │ '2022-12-20T09:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 411.1 │ 66.7 │     │ -500  │ -5600000  │  124444.4  │ 4308888.9  │   -500    │   -5600000    │      0      │   5600000   │  1.3  │ 500  │ 5600000  │ 1.2 │     │         │     │
│    2    │ 11.2 │ 11.2 │ 11.2 │ 11.2 │     │         │   1200    │   100   │ 1120000  │ 13440000 │ 1671530520000 │ '2022-12-20T10:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 11.1 │ 411.1 │ 66.7 │     │  100  │  1120000  │  124444.4  │ 4308888.9  │   -400    │   -4480000    │   1120000   │   5600000   │  0.3  │      │          │     │ 100 │ 1120000 │  9  │
│    3    │ 10.8 │ 10.8 │ 10.8 │ 10.8 │     │         │   1700    │   500   │ 5400000  │ 18840000 │ 1671533640000 │ '2022-12-20T10:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 411.1 │ 66.7 │     │ -500  │ -5400000  │  124444.4  │ 4308888.9  │   -900    │   -9880000    │   1120000   │  11000000   │  1.3  │ 500  │ 5400000  │ 1.2 │     │         │     │
│    4    │ 10.8 │ 10.8 │ 10.8 │ 10.8 │     │         │   1800    │   100   │ 1080000  │ 19920000 │ 1671535560000 │ '2022-12-20T11:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 411.1 │ 66.7 │     │ -100  │ -1080000  │  124444.4  │ 4308888.9  │   -1000   │   -10960000   │   1120000   │  12080000   │  0.3  │ 100  │ 1080000  │ 0.2 │     │         │     │
│    5    │ 10.8 │ 10.8 │ 10.8 │ 10.8 │     │         │   1900    │   100   │ 1080000  │ 21000000 │ 1671541200000 │ '2022-12-20T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 411.1 │ 66.7 │     │ -100  │ -1080000  │  124444.4  │ 4308888.9  │   -1100   │   -12040000   │   1120000   │  13160000   │  0.3  │ 100  │ 1080000  │ 0.2 │     │         │     │
│    6    │ 10.8 │ 10.8 │ 10.8 │ 10.8 │     │         │   2100    │   200   │ 2160000  │ 23160000 │ 1671541560000 │ '2022-12-20T13:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 411.1 │ 66.7 │     │ -200  │ -2160000  │  124444.4  │ 4308888.9  │   -1300   │   -14200000   │   1120000   │  15320000   │  0.5  │ 200  │ 2160000  │ 0.5 │     │         │     │
│    7    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │     │         │   4100    │  2000   │ 20400000 │ 43560000 │ 1671542160000 │ '2022-12-20T13:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 411.1 │ 66.7 │     │ -2000 │ -20400000 │  124444.4  │ 4308888.9  │   -3300   │   -34600000   │   1120000   │  35720000   │  4.9  │ 2000 │ 20400000 │ 4.9 │     │         │     │
│    8    │ 10.2 │ 10.2 │ 10.2 │ 10.2 │     │         │   4400    │   300   │ 3060000  │ 46620000 │ 1671542400000 │ '2022-12-20T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 11.1 │ 411.1 │ 66.7 │     │ -300  │ -3060000  │  124444.4  │ 4308888.9  │   -3600   │   -37660000   │   1120000   │  38780000   │  0.7  │ 300  │ 3060000  │ 0.7 │     │         │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴───────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘

