┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬────────────────────┬────────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬────────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬────────────────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ bu  │ val_bu  │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │  auk   │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk   │       val_uk       │ ruk │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼────────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼────────────────────┼─────┼──────┼──────────┼─────┤
│    0    │ 10.7 │ 10.7 │ 10.7 │ 10.7 │ 100 │ 1070000 │    100    │   100   │      1070000       │      1070000       │ 1676019720000 │ '2023-02-10T09:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 27.3 │ 463.6 │ 1190.9 │ 3.7 │  100  │  1070000  │  97472.7   │ 4868181.8  │    100    │    1070000    │   1070000   │      0      │  0.2  │       │                    │     │      │          │     │
│    1    │ 10.7 │ 10.7 │ 10.7 │ 10.7 │     │         │   11600   │  11500  │ 123049999.99999999 │ 124119999.99999999 │ 1676022000000 │ '2023-02-10T09:40:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 27.3 │ 463.6 │ 1190.9 │     │   0   │     0     │  97472.7   │ 4868181.8  │    100    │    1070000    │   1070000   │      0      │   0   │ 11500 │ 123049999.99999999 │ 9.7 │      │          │     │
│    2    │  11  │  11  │  11  │  11  │ 200 │  2200   │   11800   │   200   │        2200        │ 124122199.99999999 │ 1676022120000 │ '2023-02-10T09:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 27.3 │ 463.6 │ 1190.9 │ 7.3 │  200  │   2200    │  97472.7   │ 4868181.8  │    300    │    1072200    │   1072200   │      0      │   0   │       │                    │     │      │          │     │
│    3    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │     │         │   13300   │  1500   │      16350000      │     140472200      │ 1676022240000 │ '2023-02-10T09:44:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 27.3 │ 463.6 │ 1190.9 │     │   0   │     0     │  97472.7   │ 4868181.8  │    300    │    1072200    │   1072200   │      0      │   0   │ 1500  │      16350000      │ 1.3 │      │          │     │
│    4    │ 10.5 │ 10.5 │ 10.5 │ 10.5 │     │         │   13700   │   400   │      4200000       │     144672200      │ 1676024400000 │ '2023-02-10T10:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 463.6 │ 1190.9 │     │ -400  │ -4200000  │  97472.7   │ 4868181.8  │   -100    │   -3127800    │   1072200   │   4200000   │  0.9  │       │                    │     │ 400  │ 4200000  │ 0.9 │
│    5    │ 10.5 │ 10.5 │ 10.5 │ 10.5 │     │         │   13800   │   100   │      1050000       │     145722200      │ 1676034960000 │ '2023-02-10T13:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 463.6 │ 1190.9 │     │ -100  │ -1050000  │  97472.7   │ 4868181.8  │   -200    │   -4177800    │   1072200   │   5250000   │  0.2  │       │                    │     │ 100  │ 1050000  │ 0.2 │
│    6    │ 10.5 │ 10.5 │ 10.5 │ 10.5 │     │         │   15700   │  1900   │      19950000      │     165672200      │ 1676036640000 │ '2023-02-10T13:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 463.6 │ 1190.9 │     │ -1900 │ -19950000 │  97472.7   │ 4868181.8  │   -2100   │   -24127800   │   1072200   │  25200000   │  4.2  │       │                    │     │ 1900 │ 19950000 │ 4.1 │
│    7    │ 10.5 │ 10.5 │ 10.5 │ 10.5 │     │         │   16600   │   900   │      9450000       │     175122200      │ 1676037240000 │ '2023-02-10T13:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 463.6 │ 1190.9 │     │ -900  │ -9450000  │  97472.7   │ 4868181.8  │   -3000   │   -33577800   │   1072200   │  34650000   │   2   │       │                    │     │ 900  │ 9450000  │ 1.9 │
│    8    │ 10.7 │ 10.7 │ 10.7 │ 10.7 │     │         │   16700   │   100   │      1070000       │     176192200      │ 1676038200000 │ '2023-02-10T14:10:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 27.3 │ 463.6 │ 1190.9 │     │   0   │     0     │  97472.7   │ 4868181.8  │   -3000   │   -33577800   │   1072200   │  34650000   │   0   │  100  │      1070000       │ 0.1 │      │          │     │
│    9    │ 10.5 │ 10.5 │ 10.5 │ 10.5 │     │         │   17600   │   900   │      9450000       │     185642200      │ 1676038680000 │ '2023-02-10T14:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 463.6 │ 1190.9 │     │ -900  │ -9450000  │  97472.7   │ 4868181.8  │   -3900   │   -43027800   │   1072200   │  44100000   │   2   │       │                    │     │ 900  │ 9450000  │ 1.9 │
│   10    │ 10.5 │ 10.5 │ 10.5 │ 10.5 │     │         │   18500   │   900   │      9450000       │     195092200      │ 1676038800000 │ '2023-02-10T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 27.3 │ 463.6 │ 1190.9 │     │ -900  │ -9450000  │  97472.7   │ 4868181.8  │   -4800   │   -52477800   │   1072200   │  53550000   │   2   │       │                    │     │ 900  │ 9450000  │ 1.9 │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴────────────────────┴────────────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴───────┴────────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴────────────────────┴─────┴──────┴──────────┴─────┘

