┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 10.9 │  11  │ 10.9 │  11  │ 2400 │ 13093200 │   2400    │  2400   │ 13093200 │ 13093200  │ 1670925360000 │ '2022-12-13T09:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 583.3 │ 133.3 │  0  │ 18  │ -2400 │ -13093200 │ 6358333.3  │   727400   │   -2400   │   -13093200   │      0      │  13093200   │  2.3  │      │          │     │
│    1    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   3600    │  1200   │ 13080000 │ 26173200  │ 1670925480000 │ '2022-12-13T09:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │ 1200  │ 13080000  │ 6358333.3  │   727400   │   -1200   │    -13200     │  13080000   │  13093200   │  2.3  │ 1200 │ 13080000 │ 2.1 │
│    2    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   4400    │   800   │ 8720000  │ 34893200  │ 1670925600000 │ '2022-12-13T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  800  │  8720000  │ 6358333.3  │   727400   │   -400    │    8706800    │  21800000   │  13093200   │  1.5  │ 800  │ 8720000  │ 1.4 │
│    3    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   4600    │   200   │ 2180000  │ 37073200  │ 1670925720000 │ '2022-12-13T10:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  200  │  2180000  │ 6358333.3  │   727400   │   -200    │   10886800    │  23980000   │  13093200   │  0.4  │ 200  │ 2180000  │ 0.3 │
│    4    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   4800    │   200   │ 2180000  │ 39253200  │ 1670925840000 │ '2022-12-13T10:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  200  │  2180000  │ 6358333.3  │   727400   │     0     │   13066800    │  26160000   │  13093200   │  0.4  │ 200  │ 2180000  │ 0.3 │
│    5    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   5400    │   600   │ 6540000  │ 45793200  │ 1670925960000 │ '2022-12-13T10:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  600  │  6540000  │ 6358333.3  │   727400   │    600    │   19606800    │  32700000   │  13093200   │  1.2  │ 600  │ 6540000  │  1  │
│    6    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   5500    │   100   │ 1090000  │ 46883200  │ 1670926080000 │ '2022-12-13T10:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  100  │  1090000  │ 6358333.3  │   727400   │    700    │   20696800    │  33790000   │  13093200   │  0.2  │ 100  │ 1090000  │ 0.2 │
│    7    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   5700    │   200   │ 2180000  │ 49063200  │ 1670926320000 │ '2022-12-13T10:12:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  200  │  2180000  │ 6358333.3  │   727400   │    900    │   22876800    │  35970000   │  13093200   │  0.4  │ 200  │ 2180000  │ 0.3 │
│    8    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   5800    │   100   │ 1090000  │ 50153200  │ 1670926440000 │ '2022-12-13T10:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  100  │  1090000  │ 6358333.3  │   727400   │   1000    │   23966800    │  37060000   │  13093200   │  0.2  │ 100  │ 1090000  │ 0.2 │
│    9    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   10800   │  5000   │ 54500000 │ 104653200 │ 1670926680000 │ '2022-12-13T10:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │ 5000  │ 54500000  │ 6358333.3  │   727400   │   6000    │   78466800    │  91560000   │  13093200   │  9.7  │ 5000 │ 54500000 │ 8.6 │
│   10    │ 10.9 │ 10.9 │ 10.9 │ 10.9 │      │          │   10900   │   100   │ 1090000  │ 105743200 │ 1670927040000 │ '2022-12-13T10:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 133.3 │  0  │     │  100  │  1090000  │ 6358333.3  │   727400   │   6100    │   79556800    │  92650000   │  13093200   │  0.2  │ 100  │ 1090000  │ 0.2 │
