┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬────────────────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬─────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬────────────────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │        val         │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ sd  │       val_sd       │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼────────────────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼─────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼────────────────────┼─────┤
│    0    │ 10.55 │ 10.55 │ 10.55 │ 10.55 │ 100 │ 1055000 │    100    │   100   │      1055000       │ 1055000  │ 1670922840000 │ '2022-12-13T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 230 │ 100 │ 10  │ 10  │   0   │          0          │  1651700   │   504500   │     0     │       0       │      0      │      0      │   0   │      │          │     │     │                    │     │
│    1    │ 10.5  │ 10.5  │ 10.5  │ 10.5  │     │         │    200    │   100   │      1050000       │ 2105000  │ 1670923320000 │ '2022-12-13T09:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 230 │ 100 │ 10  │     │  100  │       1050000       │  1651700   │   504500   │    100    │    1050000    │   1050000   │      0      │  0.9  │ 100  │ 1050000  │ 0.4 │     │                    │     │
│    2    │ 10.5  │ 10.5  │ 10.35 │ 10.35 │     │         │   1200    │  1000   │      10435000      │ 12540000 │ 1670925600000 │ '2022-12-13T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 230 │ 100 │ 10  │     │ 1000  │      10435000       │  1651700   │   504500   │   1100    │   11485000    │  11485000   │      0      │  9.1  │ 1000 │ 10435000 │ 4.3 │     │                    │     │
│    3    │ 10.1  │ 10.1  │ 10.1  │ 10.1  │     │         │   1500    │   300   │      3030000       │ 15570000 │ 1670930160000 │ '2022-12-13T11:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 230 │ 100 │ 10  │     │ -300  │      -3030000       │  1651700   │   504500   │    800    │    8455000    │  11485000   │   3030000   │  2.6  │      │          │     │ 300 │      3030000       │  3  │
│    4    │ 10.05 │ 10.05 │ 10.05 │ 10.05 │     │         │   1700    │   200   │ 2010000.0000000002 │ 17580000 │ 1670930280000 │ '2022-12-13T11:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 230 │ 100 │ 10  │     │ -200  │ -2010000.0000000002 │  1651700   │   504500   │    600    │    6445000    │  11485000   │   5040000   │  1.8  │      │          │     │ 200 │ 2010000.0000000002 │  2  │
│    5    │  10   │  10   │  10   │  10   │     │         │   2200    │   500   │        5000        │ 17585000 │ 1670936520000 │ '2022-12-13T13:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 230 │ 100 │ 10  │     │  500  │        5000         │  1651700   │   504500   │   1100    │    6450000    │  11490000   │   5040000   │   0   │ 500  │   5000   │ 2.2 │     │                    │     │
│    6    │  10   │  10   │  10   │  10   │     │         │   2400    │   200   │        2000        │ 17587000 │ 1670937240000 │ '2022-12-13T13:14:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 230 │ 100 │ 10  │     │ -200  │        -2000        │  1651700   │   504500   │    900    │    6448000    │  11490000   │   5042000   │   0   │      │          │     │ 200 │        2000        │  2  │
│    7    │ 10.05 │ 10.05 │ 10.05 │ 10.05 │     │         │   2900    │   500   │      5025000       │ 22612000 │ 1670939400000 │ '2022-12-13T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 230 │ 100 │ 10  │     │  500  │       5025000       │  1651700   │   504500   │   1400    │   11473000    │  16515000   │   5042000   │  4.4  │ 500  │ 5025000  │ 2.2 │     │                    │     │
│    8    │  10   │  10   │  10   │  10   │     │         │   3200    │   300   │        3000        │ 22615000 │ 1670940960000 │ '2022-12-13T14:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 230 │ 100 │ 10  │     │ -300  │        -3000        │  1651700   │   504500   │   1100    │   11470000    │  16515000   │   5045000   │   0   │      │          │     │ 300 │        3000        │  3  │
│    9    │  10   │  10   │  10   │  10   │     │         │   3400    │   200   │        2000        │ 22617000 │ 1670941080000 │ '2022-12-13T14:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 230 │ 100 │ 10  │     │  200  │        2000         │  1651700   │   504500   │   1300    │   11472000    │  16517000   │   5045000   │   0   │ 200  │   2000   │ 0.9 │     │                    │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴────────────────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴─────────────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴────────────────────┴─────┘

