┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 11.05 │ 11.05 │ 11.05 │ 11.05 │ 1000 │ 11050000 │   1000    │  1000   │ 11050000 │ 11050000  │ 1670922900000 │ '2022-12-13T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1481.8 │ 781.8 │ 90.9 │ 11  │   0   │     0     │ 13715681.8 │ 6330381.8  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │  11   │  11   │  11   │  11   │      │          │   3200    │  2200   │  24200   │ 11074200  │ 1670924700000 │ '2022-12-13T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1481.8 │ 781.8 │ 90.9 │     │ -2200 │  -24200   │ 13715681.8 │ 6330381.8  │   -2200   │    -24200     │      0      │    24200    │  -0   │ 2200 │  24200   │ 2.8 │      │          │     │
│    2    │ 11.1  │ 11.1  │ 11.1  │ 11.1  │      │          │   3700    │   500   │ 5550000  │ 16624200  │ 1670925900000 │ '2022-12-13T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1481.8 │ 781.8 │ 90.9 │     │  500  │  5550000  │ 13715681.8 │ 6330381.8  │   -1700   │    5525800    │   5550000   │    24200    │  0.8  │      │          │     │ 500  │ 5550000  │ 0.3 │
│    3    │  11   │  11   │  11   │  11   │      │          │   5700    │  2000   │  22000   │ 16646200  │ 1670927700000 │ '2022-12-13T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1481.8 │ 781.8 │ 90.9 │     │ 2000  │   22000   │ 13715681.8 │ 6330381.8  │    300    │    5547800    │   5572000   │    24200    │   0   │      │          │     │ 2000 │  22000   │ 1.3 │
│    4    │ 10.9  │ 10.95 │ 10.9  │ 10.95 │      │          │   8200    │  2500   │ 27275000 │ 43921200  │ 1670928600000 │ '2022-12-13T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1481.8 │ 781.8 │ 90.9 │     │ -2500 │ -27275000 │ 13715681.8 │ 6330381.8  │   -2200   │   -21727200   │   5572000   │  27299200   │ -3.7  │ 2500 │ 27275000 │ 3.2 │      │          │     │
│    5    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   11200   │  3000   │ 32850000 │ 76771200  │ 1670930100000 │ '2022-12-13T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1481.8 │ 781.8 │ 90.9 │     │ 3000  │ 32850000  │ 13715681.8 │ 6330381.8  │    800    │   11122800    │  38422000   │  27299200   │  4.4  │      │          │     │ 3000 │ 32850000 │  2  │
│    6    │  11   │  11   │  11   │  11   │      │          │   11300   │   100   │   1100   │ 76772300  │ 1670937600000 │ '2022-12-13T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1481.8 │ 781.8 │ 90.9 │     │  100  │   1100    │ 13715681.8 │ 6330381.8  │    900    │   11123900    │  38423100   │  27299200   │   0   │      │          │     │ 100  │   1100   │ 0.1 │
│    7    │ 10.85 │ 10.9  │ 10.85 │ 10.9  │      │          │   15200   │  3900   │ 42335000 │ 119107300 │ 1670937900000 │ '2022-12-13T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1481.8 │ 781.8 │ 90.9 │     │ -3900 │ -42335000 │ 13715681.8 │ 6330381.8  │   -3000   │   -31211100   │  38423100   │  69634200   │ -5.7  │ 3900 │ 42335000 │  5  │      │          │     │
│    8    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │          │   23800   │  8600   │ 93740000 │ 212847300 │ 1670939700000 │ '2022-12-13T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1481.8 │ 781.8 │ 90.9 │     │ 8600  │ 93740000  │ 13715681.8 │ 6330381.8  │   5600    │   62528900    │  132163100  │  69634200   │ 12.7  │      │          │     │ 8600 │ 93740000 │ 5.8 │
│    9    │  11   │  11   │ 10.95 │ 10.95 │      │          │   25300   │  1500   │ 12049400 │ 224896700 │ 1670941500000 │ '2022-12-13T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1481.8 │ 781.8 │ 90.9 │     │ 1500  │ 12049400  │ 13715681.8 │ 6330381.8  │   7100    │   74578300    │  144212500  │  69634200   │  1.6  │      │          │     │ 1500 │ 12049400 │  1  │
│   10    │ 11.1  │ 11.1  │ 11.1  │ 11.1  │      │          │   25900   │   600   │ 6660000  │ 231556700 │ 1670942700000 │ '2022-12-13T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1481.8 │ 781.8 │ 90.9 │     │  600  │  6660000  │ 13715681.8 │ 6330381.8  │   7700    │   81238300    │  150872500  │  69634200   │  0.9  │      │          │     │ 600  │ 6660000  │ 0.4 │
