"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-1400,-17080000,0,17080000,17080000,0,1400,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0,0,-1400,-17080000,"2023-01-06T02:00:00.000Z",1672970400000,1400,1400,1400,0,17080000,0,17080000,0
-5300,-64640000,5040000,69680000,74720000,400,5700,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0,400,-3900,-47560000,"2023-01-06T09:00:00.000Z",1672995600000,4300,4700,6100,0,57640000,5040000,52600000,0
-4700,-56970000,52390000,109360000,161750000,4100,8800,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0,3700,600,7670000,"2023-01-06T09:08:00.000Z",1672996080000,3100,6800,12900,0,87030000,47350000,39680000,0
-1100,-11580000,97780000,109360000,207140000,7700,8800,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0,3600,3600,45390000,"2023-01-06T09:10:00.000Z",1672996200000,0,3600,16500,0,45390000,45390000,0,0
-1100,-11580000,97780000,109360000,209660000,7700,8800,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0,0,0,0,"2023-01-06T09:12:00.000Z",1672996320000,0,200,16700,200,2520000,0,0,2520000
-1317300,-18336982700,19539966000,37876948700,88904111600,1171400,2488700,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,2.7,1163700,-1316200,-18325402700,"2023-01-06T09:14:00.000Z",1672996440000,2479900,6171800,6188500,2528200,88694451600,19442186000,37767588700,31484676900
-1140200,-15280348400,41745113700,57025462100,130527539700,2640400,3780600,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0.5,1469000,177100,3056634300,"2023-01-06T09:16:00.000Z",1672996560000,1291900,2777200,8965700,16300,41623428100,22205147700,19148513400,269767000
-740400,-14586330800,63917688900,78504019700,174945677500,4426900,5167300,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0.1,1786500,399800,694017600,"2023-01-06T09:18:00.000Z",1672996680000,1386700,3229400,12195100,56200,44418137800,22172575200,21478557600,767005000
-242100,-8658970700,95166810800,103825781500,231625583200,6694700,6936800,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0.9,2267800,498300,5927360100,"2023-01-06T09:20:00.000Z",1672996800000,1769500,4040600,16235700,3300,56679905700,31249121900,25321761800,109022000
873200,4324468100,133845750600,129521282500,296275220000,9516800,8643600,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,1.9,2822100,1115300,12983438800,"2023-01-06T09:22:00.000Z",1672996920000,1706800,4547800,20783500,18900,64649636800,38678939800,25695501000,275196000
2137600,25590223300,180966410600,155376187300,369268760600,12642700,10505100,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,3.2,3125900,1264400,21265755200,"2023-01-06T09:24:00.000Z",1672997040000,1861500,4992800,25776300,5400,72993540600,47120660000,25854904800,17975800
5713400,74432149600,251726511100,177294361500,462198154300,17627900,11914500,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,7.3,4985200,3575800,48841926300,"2023-01-06T09:26:00.000Z",1672997160000,1409400,6409800,32186100,15200,92929393700,70760100500,21918174200,251119000
8368600,112503599000,318131258100,205627659100,558018885500,22251400,13882800,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,5.7,4623500,2655200,38071449400,"2023-01-06T09:28:00.000Z",1672997280000,1968300,6656300,38842400,64500,95820731200,66404747000,28333297600,1082686600
10619500,142915505200,373724941900,230809436700,638884921900,26266400,15646900,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,4.5,4015000,2250900,30411906200,"2023-01-06T09:30:00.000Z",1672997400000,1764100,5789600,44632000,10500,80866036400,55593683800,25181777600,90575000
11185100,150879524400,418751680600,267872156200,721210986100,29148500,17963400,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,1.2,2882100,565600,7964019200,"2023-01-06T09:32:00.000Z",1672997520000,2316500,5209700,49841700,11100,82326064200,45026738700,37062719500,236606000
11898800,163214648500,455915170100,292700521600,783308968000,31625300,19726500,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,1.8,2476800,713700,12335124100,"2023-01-06T09:34:00.000Z",1672997640000,1763100,4247200,54088900,7300,62097981900,37163489500,24828365400,106127000
10449200,140143385600,476149743100,336006357500,847481622900,33021300,22572100,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,3.4,1396000,-1449600,-23071262900,"2023-01-06T09:36:00.000Z",1672997760000,2845600,4255700,58344600,14100,64172654900,20234573000,43305835900,632246000
9032600,121188842300,496173049800,374984207500,906614602600,34335100,25302500,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,2.8,1313800,-1416600,-18954543300,"2023-01-06T09:38:00.000Z",1672997880000,2730400,4061300,62405900,17100,59132979700,20023306700,38977850000,131823000
7153000,89950276900,507134646100,417184369200,959842633600,35112700,27959700,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,4.7,777600,-1879600,-31238565400,"2023-01-06T09:40:00.000Z",1672998000000,2657200,3441100,65847000,6300,53228031000,10961596300,42200161700,66273000
5756300,63763300000,523345245500,459581945500,1019087750800,36234500,30478200,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,3.9,1121800,-1396700,-26186976900,"2023-01-06T09:42:00.000Z",1672998120000,2518500,3676700,69523700,36400,59245117200,16210599400,42397576300,636941500
5974400,63316070100,551112948400,487796878300,1075552183500,38161400,32187000,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,0.1,1926900,218100,-447229900,"2023-01-06T09:44:00.000Z",1672998240000,1708800,3666400,73190100,30700,56464432700,27767702900,28214932800,481797000
6826300,80359072300,587112354400,506753282100,1130857429300,40537100,33710800,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,2.5,2375700,851900,17043002200,"2023-01-06T09:46:00.000Z",1672998360000,1523800,3910600,77100700,11100,55305245800,35999406000,18956403800,349436000
8872200,114822427200,642791160300,527968733100,1207951919200,44063200,35191000,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,5.2,3526100,2045900,34463354900,"2023-01-06T09:48:00.000Z",1672998480000,1480200,5019000,82119700,12700,77094489900,55678805900,21215451000,200233000
12104800,162880922700,706550684200,543669761500,1287441631500,48464800,36360000,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,7.2,4401600,3232600,48058495500,"2023-01-06T09:50:00.000Z",1672998600000,1169000,5572600,87692300,2000,79489712300,63759523900,15701028400,29160000
13954300,186784429500,759953356000,573168926500,1370551260300,52044400,38090100,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,3.6,3579600,1849500,23903506800,"2023-01-06T09:52:00.000Z",1672998720000,1730100,5319100,93011400,9400,83109628800,53402671800,29499165000,207792000
15183300,193957016500,796468816600,602511800100,1436642349500,54888400,39705100,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,1.1,2844000,1229000,7172587000,"2023-01-06T09:54:00.000Z",1672998840000,1615000,4463900,97475300,4900,66091089200,36515460600,29342873600,232755000
17792400,231275323300,856562076300,625286753000,1522530562100,58809300,41016900,29747034907.5,36435155821.8,69411884023.3,4388221.1,1906954.1,2283057.9,-376103.8,-6688120914.3,5.6,3920900,2609100,37318306800,"2023-01-06T09:56:00.000Z",1672998960000,1311800,5350600,102825900,117900,85888212600,60093259700,22774952900,3020000000
