┌─────────┬──────┬──────┬──────┬──────┬───────┬───────────┬───────────┬─────────┬───────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │  bu   │  val_bu   │ total_vol │ sum_vol │    val    │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼───────┼───────────┼───────────┼─────────┼───────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 71500 │ 173030000 │   71500   │  71500  │ 173030000 │ 173030000  │ 1672218840000 │ '2022-12-28T09:14:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 11.2 │ 71500 │ 173030000 │ 15444977.8 │     0      │   71500   │   173030000   │  173030000  │      0      │ 11.2  │
│    1    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 13800 │ 33396000  │   85300   │  13800  │ 33396000  │ 206426000  │ 1672218960000 │ '2022-12-28T09:16:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 2.2  │ 13800 │ 33396000  │ 15444977.8 │     0      │   85300   │   206426000   │  206426000  │      0      │  2.2  │
│    2    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 4300  │ 10406000  │   89600   │  4300   │ 10406000  │ 216832000  │ 1672219080000 │ '2022-12-28T09:18:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 0.7  │ 4300  │ 10406000  │ 15444977.8 │     0      │   89600   │   216832000   │  216832000  │      0      │  0.7  │
│    3    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 46900 │ 113498000 │  136500   │  46900  │ 113498000 │ 330330000  │ 1672219200000 │ '2022-12-28T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 7.3  │ 46900 │ 113498000 │ 15444977.8 │     0      │  136500   │   330330000   │  330330000  │      0      │  7.3  │
│    4    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 19500 │ 47190000  │  156000   │  19500  │ 47190000  │ 377520000  │ 1672219320000 │ '2022-12-28T09:22:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 3.1  │ 19500 │ 47190000  │ 15444977.8 │     0      │  156000   │   377520000   │  377520000  │      0      │  3.1  │
│    5    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 11300 │ 27346000  │  167300   │  11300  │ 27346000  │ 404866000  │ 1672219440000 │ '2022-12-28T09:24:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 1.8  │ 11300 │ 27346000  │ 15444977.8 │     0      │  167300   │   404866000   │  404866000  │      0      │  1.8  │
│    6    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 18000 │ 43560000  │  185300   │  18000  │ 43560000  │ 448426000  │ 1672219560000 │ '2022-12-28T09:26:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 2.8  │ 18000 │ 43560000  │ 15444977.8 │     0      │  185300   │   448426000   │  448426000  │      0      │  2.8  │
│    7    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 1600  │  3872000  │  186900   │  1600   │  3872000  │ 452298000  │ 1672219680000 │ '2022-12-28T09:28:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 0.3  │ 1600  │  3872000  │ 15444977.8 │     0      │  186900   │   452298000   │  452298000  │      0      │  0.3  │
│    8    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 63900 │ 154638000 │  250800   │  63900  │ 154638000 │ 606936000  │ 1672219800000 │ '2022-12-28T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │  10  │ 63900 │ 154638000 │ 15444977.8 │     0      │  250800   │   606936000   │  606936000  │      0      │  10   │
│    9    │ 2.42 │ 2.42 │ 2.42 │ 2.42 │ 6000  │ 14520000  │  256800   │  6000   │ 14520000  │ 621456000  │ 1672219920000 │ '2022-12-28T09:32:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6382.2 │  0  │  0  │ 0.9  │ 6000  │ 14520000  │ 15444977.8 │     0      │  256800   │   621456000   │  621456000  │      0      │  0.9  │
