┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ ruk  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ sd  │ val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 30.5  │ 30.5  │ 30.5  │ 30.5  │ 100 │ 3050000 │    100    │   100   │ 3050000  │  3050000  │ 1672218900000 │ '2022-12-28T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 518.8 │ 12.5 │ 6.3 │ 15.9 │   0   │     0     │ 15884062.5 │   383125   │     0     │       0       │      0      │      0      │   0   │      │          │     │     │         │     │
│    1    │ 30.55 │ 30.55 │ 30.55 │ 30.55 │     │         │    300    │   200   │ 6110000  │  9160000  │ 1672219500000 │ '2022-12-28T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  200  │  6110000  │ 15884062.5 │   383125   │    200    │    6110000    │   6110000   │      0      │  0.4  │ 200  │ 6110000  │ 0.4 │     │         │     │
│    2    │ 30.55 │ 30.55 │ 30.55 │ 30.55 │     │         │    600    │   300   │ 9165000  │ 18325000  │ 1672220100000 │ '2022-12-28T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  300  │  9165000  │ 15884062.5 │   383125   │    500    │   15275000    │  15275000   │      0      │  0.6  │ 300  │ 9165000  │ 0.6 │     │         │     │
│    3    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │    700    │   100   │ 3060000  │ 21385000  │ 1672221600000 │ '2022-12-28T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  100  │  3060000  │ 15884062.5 │   383125   │    600    │   18335000    │  18335000   │      0      │  0.2  │ 100  │ 3060000  │ 0.2 │     │         │     │
│    4    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │    800    │   100   │ 3060000  │ 24445000  │ 1672222500000 │ '2022-12-28T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  100  │  3060000  │ 15884062.5 │   383125   │    700    │   21395000    │  21395000   │      0      │  0.2  │ 100  │ 3060000  │ 0.2 │     │         │     │
│    5    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │   1500    │   700   │ 21420000 │ 45865000  │ 1672223700000 │ '2022-12-28T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  700  │ 21420000  │ 15884062.5 │   383125   │   1400    │   42815000    │  42815000   │      0      │  1.4  │ 700  │ 21420000 │ 1.3 │     │         │     │
│    6    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │   2600    │  1100   │ 33660000 │ 79525000  │ 1672225200000 │ '2022-12-28T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │ 1100  │ 33660000  │ 15884062.5 │   383125   │   2500    │   76475000    │  76475000   │      0      │  2.2  │ 1100 │ 33660000 │ 2.1 │     │         │     │
│    7    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │   2700    │   100   │ 3060000  │ 82585000  │ 1672225800000 │ '2022-12-28T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  100  │  3060000  │ 15884062.5 │   383125   │   2600    │   79535000    │  79535000   │      0      │  0.2  │ 100  │ 3060000  │ 0.2 │     │         │     │
│    8    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │   2800    │   100   │ 3060000  │ 85645000  │ 1672226100000 │ '2022-12-28T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 518.8 │ 12.5 │ 6.3 │      │ -100  │ -3060000  │ 15884062.5 │   383125   │   2500    │   76475000    │  79535000   │   3060000   │ -0.2  │      │          │     │ 100 │ 3060000 │  8  │
│    9    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │   5800    │  3000   │ 91800000 │ 177445000 │ 1672232700000 │ '2022-12-28T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │ 3000  │ 91800000  │ 15884062.5 │   383125   │   5500    │   168275000   │  171335000  │   3060000   │  5.9  │ 3000 │ 91800000 │ 5.8 │     │         │     │
│   10    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │   6100    │   300   │ 9180000  │ 186625000 │ 1672233600000 │ '2022-12-28T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  300  │  9180000  │ 15884062.5 │   383125   │   5800    │   177455000   │  180515000  │   3060000   │  0.6  │ 300  │ 9180000  │ 0.6 │     │         │     │
│   11    │ 30.6  │ 30.6  │ 30.6  │ 30.6  │     │         │   6200    │   100   │ 3060000  │ 189685000 │ 1672234500000 │ '2022-12-28T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  100  │  3060000  │ 15884062.5 │   383125   │   5900    │   180515000   │  183575000  │   3060000   │  0.2  │ 100  │ 3060000  │ 0.2 │     │         │     │
│   12    │ 30.65 │ 30.65 │ 30.65 │ 30.65 │     │         │   7000    │   800   │ 24520000 │ 214205000 │ 1672236300000 │ '2022-12-28T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  800  │ 24520000  │ 15884062.5 │   383125   │   6700    │   205035000   │  208095000  │   3060000   │  1.6  │ 800  │ 24520000 │ 1.5 │     │         │     │
│   13    │ 30.7  │ 30.7  │ 30.7  │ 30.7  │     │         │   8200    │  1200   │ 36840000 │ 251045000 │ 1672236600000 │ '2022-12-28T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │ 1200  │ 36840000  │ 15884062.5 │   383125   │   7900    │   241875000   │  244935000  │   3060000   │  2.4  │ 1200 │ 36840000 │ 2.3 │     │         │     │
│   14    │ 30.7  │ 30.7  │ 30.7  │ 30.7  │     │         │   8300    │   100   │ 3070000  │ 254115000 │ 1672237200000 │ '2022-12-28T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 518.8 │ 12.5 │ 6.3 │      │ -100  │ -3070000  │ 15884062.5 │   383125   │   7800    │   238805000   │  244935000  │   6130000   │ -0.2  │      │          │     │ 100 │ 3070000 │  8  │
│   15    │ 30.7  │ 30.7  │ 30.7  │ 30.7  │     │         │   8600    │   300   │ 9210000  │ 263325000 │ 1672238700000 │ '2022-12-28T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 518.8 │ 12.5 │ 6.3 │      │  300  │  9210000  │ 15884062.5 │   383125   │   8100    │   248015000   │  254145000  │   6130000   │  0.6  │ 300  │ 9210000  │ 0.6 │     │         │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴─────┴──────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘

