┌─────────┬──────┬────────┬───────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │ change │  pct  │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │ val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼──────┼────────┼───────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┼─────┼─────────┼─────┤
│    0    │ 4800 │   0    │   0   │ 4800 │ 4800 │ 4800 │ 100 │ 480000 │    100    │   100   │ 480000  │  480000  │ 1679390100000 │ '2023-03-21T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 55.6 │ 533.3 │ 11.1 │  9  │   0   │     0     │  266666.7  │  2510000   │     0     │       0       │      0      │      0      │  -0   │      │         │     │     │         │     │
│    1    │ 4800 │   0    │   0   │ 4800 │ 4800 │ 4800 │     │        │    400    │   300   │ 1440000 │ 1920000  │ 1679392200000 │ '2023-03-21T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 55.6 │ 533.3 │ 11.1 │     │ -300  │ -1440000  │  266666.7  │  2510000   │   -300    │   -1440000    │      0      │   1440000   │  0.6  │ 300  │ 1440000 │ 0.6 │     │         │     │
│    2    │ 4700 │  -100  │ -2.09 │ 4700 │ 4700 │ 4700 │     │        │   2200    │  1800   │ 8460000 │ 10380000 │ 1679396100000 │ '2023-03-21T10:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 55.6 │ 533.3 │ 11.1 │     │ -1800 │ -8460000  │  266666.7  │  2510000   │   -2100   │   -9900000    │      0      │   9900000   │  3.8  │ 1800 │ 8460000 │ 3.4 │     │         │     │
│    3    │ 4700 │  -100  │ -2.09 │ 4700 │ 4700 │ 4700 │     │        │   3400    │  1200   │ 5640000 │ 16020000 │ 1679397000000 │ '2023-03-21T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 55.6 │ 533.3 │ 11.1 │     │ -1200 │ -5640000  │  266666.7  │  2510000   │   -3300   │   -15540000   │      0      │  15540000   │  2.5  │ 1200 │ 5640000 │ 2.3 │     │         │     │
│    4    │ 4800 │   0    │   0   │ 4800 │ 4800 │ 4800 │     │        │   3500    │   100   │ 480000  │ 16500000 │ 1679397600000 │ '2023-03-21T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 55.6 │ 533.3 │ 11.1 │     │  100  │  480000   │  266666.7  │  2510000   │   -3200   │   -15060000   │   480000    │  15540000   │ -0.2  │      │         │     │ 100 │ 480000  │ 1.8 │
│    5    │ 4800 │   0    │   0   │ 4800 │ 4800 │ 4800 │     │        │   3800    │   300   │ 1440000 │ 17940000 │ 1679406900000 │ '2023-03-21T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 55.6 │ 533.3 │ 11.1 │     │  300  │  1440000  │  266666.7  │  2510000   │   -2900   │   -13620000   │   1920000   │  15540000   │ -0.6  │      │         │     │ 300 │ 1440000 │ 5.4 │
│    6    │ 4700 │  -100  │ -2.09 │ 4700 │ 4700 │ 4700 │     │        │   4800    │  1000   │ 4700000 │ 22640000 │ 1679407500000 │ '2023-03-21T14:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 55.6 │ 533.3 │ 11.1 │     │ -1000 │ -4700000  │  266666.7  │  2510000   │   -3900   │   -18320000   │   1920000   │  20240000   │  2.1  │ 1000 │ 4700000 │ 1.9 │     │         │     │
│    7    │ 4700 │  -100  │ -2.09 │ 4700 │ 4700 │ 4700 │     │        │   5300    │   500   │ 2350000 │ 24990000 │ 1679408700000 │ '2023-03-21T14:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 55.6 │ 533.3 │ 11.1 │     │ -500  │ -2350000  │  266666.7  │  2510000   │   -4400   │   -20670000   │   1920000   │  22590000   │   1   │ 500  │ 2350000 │ 0.9 │     │         │     │
│    8    │ 4800 │   0    │   0   │ 4800 │ 4800 │ 4800 │     │        │   5400    │   100   │ 480000  │ 25470000 │ 1679409900000 │ '2023-03-21T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 55.6 │ 533.3 │ 11.1 │     │  100  │  480000   │  266666.7  │  2510000   │   -4300   │   -20190000   │   2400000   │  22590000   │ -0.2  │      │         │     │ 100 │ 480000  │ 1.8 │
└─────────┴──────┴────────┴───────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴───────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴─────┴─────┴─────────┴─────┘

