┌─────────┬──────┬────────┬──────┬──────┬──────┬──────┬───────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬────────┬───────┬─────┬────────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │ change │ pct  │  h   │  l   │  o   │  bu   │  val_bu  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd   │  auk  │ rbu │ bu-sd  │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd   │ rsd │  uk  │  val_uk  │ ruk │
├─────────┼──────┼────────┼──────┼──────┼──────┼──────┼───────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼────────┼───────┼─────┼────────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┼──────┼──────────┼─────┤
│    0    │ 8100 │  500   │ 6.57 │ 8100 │ 8100 │ 8100 │ 11800 │ 95580000 │   11800   │  11800  │ 95580000  │ 95580000  │ 1679390700000 │ '2023-03-21T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1311.1 │ 3233.3 │ 633.3 │  9  │ 11800  │  95580000  │  10620000  │ 24894444.4 │   11800   │   95580000    │  95580000   │      0      │ -6.7  │       │           │     │      │          │     │
│    1    │ 7700 │  100   │ 1.31 │ 7700 │ 7700 │ 7700 │       │          │   28000   │  16200  │ 124740000 │ 220320000 │ 1679391600000 │ '2023-03-21T09:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1311.1 │ 3233.3 │ 633.3 │     │ -16200 │ -124740000 │  10620000  │ 24894444.4 │   -4400   │   -29160000   │  95580000   │  124740000  │  8.7  │ 16200 │ 124740000 │  5  │      │          │     │
│    2    │ 7600 │   0    │  0   │ 7600 │ 7600 │ 7600 │       │          │   33000   │  5000   │ 38000000  │ 258320000 │ 1679403600000 │ '2023-03-21T13:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1311.1 │ 3233.3 │ 633.3 │     │   0    │     0      │  10620000  │ 24894444.4 │   -4400   │   -29160000   │  95580000   │  124740000  │  -0   │       │           │     │ 5000 │ 38000000 │ 7.9 │
│    3    │ 7600 │   0    │  0   │ 7600 │ 7600 │ 7600 │       │          │   33200   │   200   │  1520000  │ 259840000 │ 1679405700000 │ '2023-03-21T13:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1311.1 │ 3233.3 │ 633.3 │     │  -200  │  -1520000  │  10620000  │ 24894444.4 │   -4600   │   -30680000   │  95580000   │  126260000  │  0.1  │  200  │  1520000  │ 0.1 │      │          │     │
│    4    │ 7700 │  100   │ 1.31 │ 7700 │ 7700 │ 7700 │       │          │   33300   │   100   │  770000   │ 260610000 │ 1679407200000 │ '2023-03-21T14:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1311.1 │ 3233.3 │ 633.3 │     │   0    │     0      │  10620000  │ 24894444.4 │   -4600   │   -30680000   │  95580000   │  126260000  │  -0   │       │           │     │ 100  │  770000  │ 0.2 │
│    5    │ 7700 │  100   │ 1.31 │ 7700 │ 7700 │ 7700 │       │          │   34800   │  1500   │ 11550000  │ 272160000 │ 1679408400000 │ '2023-03-21T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1311.1 │ 3233.3 │ 633.3 │     │ -1500  │ -11550000  │  10620000  │ 24894444.4 │   -6100   │   -42230000   │  95580000   │  137810000  │  0.8  │ 1500  │ 11550000  │ 0.5 │      │          │     │
│    6    │ 7700 │  100   │ 1.31 │ 7700 │ 7700 │ 7700 │       │          │   35300   │   500   │  3850000  │ 276010000 │ 1679408700000 │ '2023-03-21T14:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1311.1 │ 3233.3 │ 633.3 │     │  -500  │  -3850000  │  10620000  │ 24894444.4 │   -6600   │   -46080000   │  95580000   │  141660000  │  0.3  │  500  │  3850000  │ 0.2 │      │          │     │
│    7    │ 7700 │  100   │ 1.31 │ 7700 │ 7700 │ 7700 │       │          │   46000   │  10700  │ 82390000  │ 358400000 │ 1679410200000 │ '2023-03-21T14:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1311.1 │ 3233.3 │ 633.3 │     │ -10700 │ -82390000  │  10620000  │ 24894444.4 │  -17300   │  -128470000   │  95580000   │  224050000  │  5.8  │ 10700 │ 82390000  │ 3.3 │      │          │     │
│    8    │ 7700 │  100   │ 1.31 │ 7700 │ 7700 │ 7700 │       │          │   46600   │   600   │  4620000  │ 363020000 │ 1679410500000 │ '2023-03-21T14:55:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1311.1 │ 3233.3 │ 633.3 │     │   0    │     0      │  10620000  │ 24894444.4 │  -17300   │  -128470000   │  95580000   │  224050000  │  -0   │       │           │     │ 600  │ 4620000  │ 0.9 │
└─────────┴──────┴────────┴──────┴──────┴──────┴──────┴───────┴──────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴────────┴───────┴─────┴────────┴────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴───────────┴─────┴──────┴──────────┴─────┘

