"adjRatio","buyCount","buyForeignQuantity","buyForeignValue","buyQuantity","currentForeignRoom","date","dealVolume","priceAverage","priceBasic","priceClose","priceHigh","priceLow","priceOpen","propTradingNetDealValue","propTradingNetPTValue","propTradingNetValue","putthroughValue","putthroughVolume","sellCount","sellForeignQuantity","sellForeignValue","sellQuantity","symbol","totalValue","totalVolume"
1,0,0,0,0,6999700,"2023-06-13T00:00:00",18200,1.4795099999999999,1.47,1.48,1.5,1.47,1.49,,,,0,0,0,0,0,0,"CFPT2214",26927082,18200
1,0,0,0,0,6999700,"2023-06-12T00:00:00",14400,1.45021,1.51,1.47,1.47,1.44,1.45,-15202000,0,-15202000,0,0,0,0,0,0,"CFPT2214",20883024,14400
1,0,0,0,0,6999700,"2023-06-09T00:00:00",180200,1.49281,1.44,1.51,1.51,1.44,1.44,238706000,0,238706000,0,0,0,300,447843,0,"CFPT2214",269004362,180200
1,0,0,0,0,6999700,"2023-06-08T00:00:00",6400,1.45906,1.51,1.44,1.48,1.44,1.48,-9338000,0,-9338000,0,0,0,0,0,0,"CFPT2214",9337984,6400
1,0,0,0,0,6999700,"2023-06-07T00:00:00",28700,1.51672,1.53,1.51,1.55,1.5,1.55,-42622000,0,-42622000,0,0,0,0,0,0,"CFPT2214",43529864,28700
1,0,0,0,0,6999700,"2023-06-06T00:00:00",13400,1.53701,1.55,1.53,1.73,1.53,1.73,9109000,0,9109000,0,0,0,0,0,0,"CFPT2214",20595934,13400
1,0,300,455748,0,7000000,"2023-06-05T00:00:00",128100,1.51916,1.55,1.55,1.55,1.47,1.51,86730000,0,86730000,0,0,0,0,0,0,"CFPT2214",194604396,128100
1,0,0,0,0,7000000,"2023-06-02T00:00:00",45300,1.47689,1.43,1.55,1.59,1.43,1.59,-61323000,0,-61323000,0,0,0,0,0,0,"CFPT2214",66903117,45300
1,0,0,0,0,7000000,"2023-06-01T00:00:00",95900,1.45924,1.55,1.43,1.47,1.43,1.43,-139365000,0,-139365000,0,0,0,0,0,0,"CFPT2214",139941116,95900
1,0,0,0,0,7000000,"2023-05-31T00:00:00",63500,1.4898099999999999,1.55,1.55,1.55,1.45,1.5,-92968000,0,-92968000,0,0,0,0,0,0,"CFPT2214",94602935,63500
1,0,0,0,0,7000000,"2023-05-30T00:00:00",13200,1.45,1.43,1.55,1.55,1.45,1.45,5116000,0,5116000,0,0,0,0,0,0,"CFPT2214",19140000,13200
1,0,0,0,0,7000000,"2023-05-29T00:00:00",233200,1.45188,1.44,1.43,1.56,1.43,1.56,252623000,0,252623000,0,0,0,0,0,0,"CFPT2214",338578416,233200
1,0,0,0,0,7000000,"2023-05-26T00:00:00",11500,1.4440899999999999,1.44,1.44,1.79,1.42,1.79,4308000,0,4308000,0,0,0,0,0,0,"CFPT2214",16607035,11500
1,0,0,0,0,7000000,"2023-05-25T00:00:00",16400,1.43634,1.32,1.44,1.45,1.35,1.35,21863000,0,21863000,0,0,0,0,0,0,"CFPT2214",23555976,16400
1,0,0,0,0,7000000,"2023-05-24T00:00:00",101200,1.33495,1.34,1.32,1.38,1.32,1.34,-135097000,0,-135097000,0,0,0,0,0,0,"CFPT2214",135096940,101200
1,0,0,0,0,7000000,"2023-05-23T00:00:00",64000,1.3956099999999998,1.39,1.34,1.41,1.34,1.39,-89319000,0,-89319000,0,0,0,0,0,0,"CFPT2214",89319040,64000
1,0,0,0,0,7000000,"2023-05-22T00:00:00",2100,1.39571,1.44,1.39,1.48,1.39,1.48,-2223000,0,-2223000,0,0,0,0,0,0,"CFPT2214",2930991,2100
1,0,0,0,0,7000000,"2023-05-19T00:00:00",6900,1.4150699999999998,1.4,1.44,1.48,1.38,1.48,24000,0,24000,0,0,0,0,0,0,"CFPT2214",9763983,6900
1,0,0,0,0,7000000,"2023-05-18T00:00:00",28000,1.431,1.35,1.4,1.92,1.36,1.92,28440000,0,28440000,0,0,0,0,0,0,"CFPT2214",40068000,28000
1,0,0,0,0,7000000,"2023-05-17T00:00:00",76300,1.36295,1.35,1.35,1.43,1.34,1.35,-45155000,0,-45155000,0,0,0,0,0,0,"CFPT2214",103993085,76300
1,0,0,0,0,7000000,"2023-05-16T00:00:00",4000,1.32525,1.32,1.35,1.35,1.31,1.32,4773000,0,4773000,0,0,0,0,0,0,"CFPT2214",5301000,4000
1,0,0,0,0,7000000,"2023-05-15T00:00:00",54500,1.35862,1.3,1.32,1.36,1.32,1.36,-70045000,0,-70045000,0,0,0,0,0,0,"CFPT2214",74044790,54500
1,0,0,0,0,7000000,"2023-05-12T00:00:00",365000,1.2256099999999999,1.21,1.3,1.3,1.2,1.2,317169000,0,317169000,0,0,0,0,0,0,"CFPT2214",447347650,365000
