"adjRatio","buyCount","buyForeignQuantity","buyForeignValue","buyQuantity","currentForeignRoom","date","dealVolume","priceAverage","priceBasic","priceClose","priceHigh","priceLow","priceOpen","propTradingNetDealValue","propTradingNetPTValue","propTradingNetValue","putthroughValue","putthroughVolume","sellCount","sellForeignQuantity","sellForeignValue","sellQuantity","symbol","totalValue","totalVolume"
1,0,0,0,6300,5062468,"2023-06-13T00:00:00",400,58,59,58,58,58,58,,,,0,0,0,0,0,11600,"HVT",23200000,400
1,18,4300,254020221,10822,5062468,"2023-06-12T00:00:00",4700,59.07447,59,59,59.9,58.9,59.9,0,0,0,0,0,23,0,0,45594,"HVT",277650009,4700
1,12,0,0,6905,5066768,"2023-06-09T00:00:00",0,59,59,59,59,59,59,0,0,0,0,0,10,0,0,17803,"HVT",0,0
1,13,0,0,2205,5066768,"2023-06-08T00:00:00",0,59,59,59,59,59,59,0,0,0,0,0,8,0,0,12761,"HVT",0,0
1,24,0,0,8005,5066768,"2023-06-07T00:00:00",1800,57.17778,59.2,59,59,57,57.4,0,0,0,0,0,13,0,0,9517,"HVT",102920004,1800
1,16,0,0,3605,5066768,"2023-06-06T00:00:00",200,58.75,58.3,59.2,59.2,58.3,58.3,0,0,0,0,0,9,0,0,10700,"HVT",11750000,200
1,17,3000,176834700,9605,5066768,"2023-06-05T00:00:00",4900,58.944900000000004,59.7,58.3,59.4,58.3,59.2,0,0,0,0,0,22,0,0,25520,"HVT",288830010,4900
1,17,0,0,6404,5069768,"2023-06-02T00:00:00",100,59.7,58,59.7,59.7,59.7,59.7,0,0,0,0,0,14,0,0,10661,"HVT",5970000,100
1,17,0,0,9604,5069768,"2023-06-01T00:00:00",0,58,58,58,58,58,58,0,0,0,0,0,13,0,0,22100,"HVT",0,0
1,26,25000,1447666000,40604,5069768,"2023-05-31T00:00:00",30100,57.906639999999996,57.7,58,59.9,57.7,57.7,0,0,0,0,0,15,0,0,33600,"HVT",1742989864,30100
1,19,0,0,6808,5094768,"2023-05-30T00:00:00",600,57.65,59.5,57.7,57.7,57.6,57.7,0,0,0,0,0,14,0,0,8164,"HVT",34590000,600
1,20,1000,59308330,9705,5094768,"2023-05-29T00:00:00",4800,59.308330000000005,59.5,59.5,60,58.1,60,0,0,0,0,0,20,0,0,9962,"HVT",284679984,4800
1,15,0,0,5805,5095768,"2023-05-26T00:00:00",0,59.5,59.5,59.5,59.5,59.5,59.5,0,0,0,0,0,7,0,0,13062,"HVT",0,0
1,24,6200,365997656,15617,5095768,"2023-05-25T00:00:00",6900,59.031879999999994,59,59.5,59.5,56.5,56.7,0,0,0,0,0,21,0,0,13362,"HVT",407319972,6900
1,16,0,0,5817,5101968,"2023-05-24T00:00:00",0,59,59,59,59,59,59,0,0,0,0,0,10,0,0,15162,"HVT",0,0
1,22,4400,259160000,11117,5101968,"2023-05-23T00:00:00",5100,58.9,59.3,59,59,57.5,57.5,0,0,0,0,0,17,0,0,11162,"HVT",300390000,5100
1,22,5500,322918750,14116,5106368,"2023-05-22T00:00:00",5600,58.7125,57.9,59.3,59.3,57.6,57.6,0,0,0,0,0,25,0,0,17601,"HVT",328790000,5600
1,17,0,0,5516,5111868,"2023-05-19T00:00:00",200,57.5,57.1,57.9,57.9,57.1,57.1,0,0,0,0,0,12,0,0,1879,"HVT",11500000,200
1,15,0,0,5617,5111868,"2023-05-18T00:00:00",100,57.1,58.4,57.1,57.1,57.1,57.1,0,0,0,0,0,10,0,0,10362,"HVT",5710000,100
1,36,3100,178087963,13817,5111868,"2023-05-17T00:00:00",4400,57.44773,57.7,58.4,58.4,56,57.7,0,0,0,0,0,18,0,0,15763,"HVT",252770012,4400
1,16,0,0,5017,5114968,"2023-05-16T00:00:00",100,57.7,59,57.7,57.7,57.7,57.7,0,0,0,0,0,14,0,0,4168,"HVT",5770000,100
1,31,2500,145770000,12017,5114068,"2023-05-15T00:00:00",5000,58.308,58.1,59,59,56.5,58.1,0,0,0,0,0,31,0,0,17368,"HVT",291540000,5000
1,32,0,0,19516,5116568,"2023-05-12T00:00:00",700,56.92857,56,58.1,58.1,56.2,56.2,0,0,0,0,0,21,0,0,12961,"HVT",39849999,700
1,37,500,28502780,10618,5116568,"2023-05-11T00:00:00",3600,57.005559999999996,60,56,59,55.4,59,0,0,0,0,0,20,900,51305004,76683,"HVT",205220016,3600
1,29,2400,144803376,35398,5117068,"2023-05-10T00:00:00",28500,60.33474,57,60,62.5,57,57,0,0,0,0,0,43,0,0,45555,"HVT",1719540090,28500
1,20,2300,131109591,10620,5119468,"2023-05-09T00:00:00",2400,57.004169999999995,58,57,57.1,57,57.1,0,0,0,0,0,21,0,0,18710,"HVT",136810008,2400
1,11,8000,464000000,8620,5121768,"2023-05-08T00:00:00",8000,58,59.7,58,58,58,58,0,0,0,0,0,44,0,0,19610,"HVT",464000000,8000
1,21,10400,614611296,22104,5129768,"2023-05-05T00:00:00",14500,59.09724,56.6,59.7,61.7,58.6,61.7,0,0,0,0,0,61,0,0,22787,"HVT",856909980,14500
1,24,11800,660496858,25502,5140168,"2023-05-04T00:00:00",14400,55.974309999999996,55.6,56.6,56.9,54.2,55.6,0,0,0,0,0,59,0,0,22425,"HVT",806030064,14400
1,44,4000,219154280,32407,5151968,"2023-04-28T00:00:00",21000,54.78857,54.1,55.6,55.9,54.2,55.9,0,0,0,0,0,56,0,0,29700,"HVT",1150559970,21000
1,50,5600,300501376,31232,5155968,"2023-04-27T00:00:00",22800,53.660959999999996,52.5,54.1,54.7,52.9,52.9,0,0,0,0,0,51,0,0,32713,"HVT",1223469888,22800
1,28,0,0,15802,5161568,"2023-04-26T00:00:00",3300,52.609089999999995,53,52.5,53.1,52.4,52.4,0,0,0,0,0,34,0,0,14113,"HVT",173609997,3300
1,16,0,0,10606,5161568,"2023-04-25T00:00:00",800,50.8375,53,53,53,50.5,50.6,0,0,0,0,0,23,0,0,10711,"HVT",40670000,800
1,34,0,0,23213,5161568,"2023-04-24T00:00:00",12700,52.403150000000004,52.1,53,53.8,51.9,51.9,0,0,0,0,0,48,0,0,23325,"HVT",665520005,12700
1,30,0,0,11501,5161568,"2023-04-21T00:00:00",7400,52.45946,51.6,52.1,53.8,51.7,51.9,0,0,0,0,0,51,0,0,12513,"HVT",388200004,7400
1,17,0,0,6301,5161568,"2023-04-20T00:00:00",300,51.3,51,51.6,51.6,50.7,51.6,0,0,0,0,0,22,0,0,4109,"HVT",15390000,300
1,22,0,0,5607,5158368,"2023-04-19T00:00:00",200,51.5,52,51,52,51,52,0,0,0,0,0,22,0,0,4311,"HVT",10300000,200
1,22,0,0,8409,5158368,"2023-04-18T00:00:00",1000,50.66,52.1,52,52,50.5,50.6,0,0,0,0,0,24,0,0,9210,"HVT",50660000,1000
1,41,0,0,21314,5158368,"2023-04-17T00:00:00",12200,50.689339999999994,50.1,52.1,52.2,50.1,52,0,0,0,0,0,38,3200,162205888,23239,"HVT",618409948,12200
1,24,0,0,5305,5158368,"2023-04-14T00:00:00",2700,51.52963,51.2,50.1,54.5,50.1,51.3,0,0,0,0,0,42,0,0,17513,"HVT",139130001,2700
1,24,0,0,10104,5158368,"2023-04-13T00:00:00",1800,49.80556,49,51.2,51.2,49.1,49.1,0,0,0,0,0,24,0,0,4813,"HVT",89650008,1800
1,18,0,0,4603,5158368,"2023-04-12T00:00:00",0,49,49,49,49,49,49,0,0,0,0,0,14,0,0,3211,"HVT",0,0
1,22,0,0,7904,5158368,"2023-04-11T00:00:00",3000,48.72,48.4,49,49,48,48.8,0,0,0,0,0,25,0,0,6111,"HVT",146160000,3000
1,23,0,0,6107,5158068,"2023-04-10T00:00:00",2500,48.684,48.5,48.4,49.9,48.4,49.9,0,0,0,0,0,23,0,0,6114,"HVT",121710000,2500
1,24,0,0,5116,5158068,"2023-04-07T00:00:00",1600,48.575,49.6,48.5,48.9,48.5,48.6,0,0,0,0,0,16,0,0,3413,"HVT",77720000,1600
1,38,600,29416554,9656,5158068,"2023-04-06T00:00:00",5800,49.02759,49.5,49.6,49.8,48.5,49,0,0,0,0,0,27,300,14708277,9724,"HVT",284360022,5800
1,16,0,0,4304,5158668,"2023-04-05T00:00:00",2000,49.49,49.5,49.5,49.5,49.4,49.4,0,0,0,0,0,17,0,0,4313,"HVT",98980000,2000
1,17,0,0,3517,5158668,"2023-04-04T00:00:00",1100,49.554550000000006,49.8,49.5,49.8,48.6,49.8,0,0,0,0,0,14,0,0,2924,"HVT",54510005,1100
1,17,300,14940000,3524,5158668,"2023-04-03T00:00:00",300,49.8,49.7,49.8,49.8,49.8,49.8,0,0,0,0,0,17,0,0,4628,"HVT",14940000,300
1,13,0,0,2904,5158968,"2023-03-31T00:00:00",0,49.7,49.7,49.7,49.7,49.7,49.7,0,0,0,0,0,14,0,0,3121,"HVT",0,0
1,18,0,0,4905,5158968,"2023-03-30T00:00:00",800,49.7,49,49.7,49.7,49.7,49.7,0,0,0,0,0,17,0,0,5426,"HVT",39760000,800
1,18,0,0,5004,5158968,"2023-03-29T00:00:00",1300,49,49,49,49,49,49,0,0,0,0,0,15,0,0,4214,"HVT",63700000,1300
1,22,0,0,7404,5158968,"2023-03-28T00:00:00",3200,49.075,49.5,49,49.9,49,49.5,0,0,0,0,0,16,0,0,4429,"HVT",157040000,3200
1,20,0,0,7503,5158968,"2023-03-27T00:00:00",3800,50.35263,48.5,49.5,50.4,49.5,50.4,0,0,0,0,0,13,0,0,7320,"HVT",191339994,3800
1,21,0,0,4004,5158968,"2023-03-24T00:00:00",500,48.3,49.3,48.5,48.5,48.2,48.3,0,0,0,0,0,9,0,0,1604,"HVT",24150000,500
1,20,0,0,2608,5158968,"2023-03-23T00:00:00",100,49.3,50.5,49.3,49.3,49.3,49.3,0,0,0,0,0,13,0,0,3709,"HVT",4930000,100
1,15,0,0,2008,5158968,"2023-03-22T00:00:00",100,50.5,49.5,50.5,50.5,50.5,50.5,0,0,0,0,0,13,0,0,5127,"HVT",5050000,100
1,15,0,0,6101,5158968,"2023-03-21T00:00:00",2700,49.5,49,49.5,49.5,49.5,49.5,0,0,0,0,0,15,0,0,9208,"HVT",133650000,2700
1,20,0,0,7403,5158968,"2023-03-20T00:00:00",5200,49.01923,50.5,49,50,49,50,0,0,0,0,0,13,0,0,8303,"HVT",254899996,5200
1,17,0,0,3515,5158968,"2023-03-17T00:00:00",1000,50.5,51,50.5,50.5,50.5,50.5,0,0,0,0,0,9,0,0,7804,"HVT",50500000,1000
1,20,0,0,4430,5158968,"2023-03-16T00:00:00",200,51,50.8,51,51,51,51,0,0,0,0,0,12,0,0,4404,"HVT",10200000,200
