"adjRatio","buyCount","buyForeignQuantity","buyForeignValue","buyQuantity","currentForeignRoom","date","dealVolume","priceAverage","priceBasic","priceClose","priceHigh","priceLow","priceOpen","propTradingNetDealValue","propTradingNetPTValue","propTradingNetValue","putthroughValue","putthroughVolume","sellCount","sellForeignQuantity","sellForeignValue","sellQuantity","symbol","totalValue","totalVolume"
1,14,0,0,983,0,"2023-03-17T00:00:00",200,880,890,880,880,880,880,0,0,0,0,0,29,0,0,5564,"VNZ",176000000,200
1,0,0,0,1000,0,"2023-03-16T00:00:00",300,890,891.5,890,890,890,890,0,0,0,0,0,0,0,0,2500,"VNZ",267000000,300
1,0,0,0,4400,0,"2023-03-15T00:00:00",200,891.5,889.8,895,895,888,888,0,0,0,0,0,0,0,0,1800,"VNZ",178300000,200
1,21,0,0,18669,0,"2023-03-14T00:00:00",800,889.8,897.6,888,895,888,895,0,0,0,13025173000,17071,29,0,0,21463,"VNZ",13736973000,17871
1,22,0,0,2142,0,"2023-03-13T00:00:00",1500,897.6,900,900,900,888,888,0,0,0,0,0,43,0,0,5714,"VNZ",1346380005,1500
1,12,0,0,1744,0,"2023-03-10T00:00:00",100,900,900,900,900,900,900,0,0,0,0,0,23,0,0,2120,"VNZ",90000000,100
1,32,0,0,5005,0,"2023-03-09T00:00:00",300,900,908,900,900,900,900,0,0,0,0,0,34,0,0,2698,"VNZ",270000000,300
1,28,0,0,2069,0,"2023-03-08T00:00:00",100,908,896.5,908,908,908,908,0,0,0,0,0,26,0,0,2076,"VNZ",90800000,100
1,44,0,0,8514,0,"2023-03-07T00:00:00",400,896.5,925,888,918,888,918,0,0,0,0,0,37,0,0,2917,"VNZ",358610000,400
1,34,0,0,2368,0,"2023-03-06T00:00:00",100,925,908.6,925,925,925,925,0,0,0,0,0,39,0,0,2910,"VNZ",92500000,100
1,19,0,0,1339,0,"2023-03-03T00:00:00",700,908.6,912,900,920,900,919.9,0,0,0,0,0,35,0,0,3162,"VNZ",635989998,700
1,34,0,0,1980,0,"2023-03-02T00:00:00",700,912,899.7,900,929,900,919,0,0,0,0,0,44,0,0,2449,"VNZ",638400000,700
1,41,0,0,3101,0,"2023-03-01T00:00:00",600,899.7,898,900,900,898,898,0,0,0,0,0,33,0,0,2652,"VNZ",539800002,600
1,29,0,0,1585,0,"2023-02-28T00:00:00",700,898,884.8,924,924,871,871,0,0,0,0,0,22,0,0,1728,"VNZ",628600000,700
1,40,0,0,3110,0,"2023-02-27T00:00:00",500,884.8,907.6,888,888,880,888,0,0,0,0,0,32,0,0,2714,"VNZ",442400000,500
1,45,0,0,3412,0,"2023-02-24T00:00:00",2000,907.6,952.1,890,930,890,920,0,0,0,0,0,41,0,0,4667,"VNZ",1815200000,2000
1,68,0,0,3695,0,"2023-02-23T00:00:00",1300,952.1,989.9,970,989.9,930,989.9,0,0,0,0,0,46,0,0,5029,"VNZ",1237689999,1300
