┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬──────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu  │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼──────┤
│    0    │ 13.35 │ 13.35 │ 13.35 │ 13.35 │ 1000 │ 13350000 │   1000    │  1000   │ 13350000 │ 13350000  │ 1672823760000 │ '2023-01-04T09:16:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 93.8 │ 343.8 │ 62.5 │ 16  │   0   │     0     │  1264375   │  4578750   │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │      │
│    1    │ 13.35 │ 13.35 │ 13.35 │ 13.35 │      │          │   1400    │   400   │ 5340000  │ 18690000  │ 1672826280000 │ '2023-01-04T09:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -400  │ -5340000  │  1264375   │  4578750   │   -400    │   -5340000    │      0      │   5340000   │  1.6  │ 400  │ 5340000  │ 1.2 │      │          │      │
│    2    │ 13.35 │ 13.35 │ 13.35 │ 13.35 │      │          │   1500    │   100   │ 1335000  │ 20025000  │ 1672826640000 │ '2023-01-04T10:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -100  │ -1335000  │  1264375   │  4578750   │   -500    │   -6675000    │      0      │   6675000   │  0.4  │ 100  │ 1335000  │ 0.3 │      │          │      │
│    3    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │      │          │   2000    │   500   │ 6650000  │ 26675000  │ 1672829760000 │ '2023-01-04T10:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -500  │ -6650000  │  1264375   │  4578750   │   -1000   │   -13325000   │      0      │  13325000   │   2   │ 500  │ 6650000  │ 1.5 │      │          │      │
│    4    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │      │          │   3000    │  1000   │ 13300000 │ 39975000  │ 1672838160000 │ '2023-01-04T13:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -1000 │ -13300000 │  1264375   │  4578750   │   -2000   │   -26625000   │      0      │  26625000   │   4   │ 1000 │ 13300000 │ 2.9 │      │          │      │
│    5    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │      │          │   3900    │   900   │ 11970000 │ 51945000  │ 1672838280000 │ '2023-01-04T13:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -900  │ -11970000 │  1264375   │  4578750   │   -2900   │   -38595000   │      0      │  38595000   │  3.6  │ 900  │ 11970000 │ 2.6 │      │          │      │
│    6    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │      │          │   4000    │   100   │ 1330000  │ 53275000  │ 1672838400000 │ '2023-01-04T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -100  │ -1330000  │  1264375   │  4578750   │   -3000   │   -39925000   │      0      │  39925000   │  0.4  │ 100  │ 1330000  │ 0.3 │      │          │      │
│    7    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │      │          │   4300    │   300   │ 3990000  │ 57265000  │ 1672838880000 │ '2023-01-04T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -300  │ -3990000  │  1264375   │  4578750   │   -3300   │   -43915000   │      0      │  43915000   │  1.2  │ 300  │ 3990000  │ 0.9 │      │          │      │
│    8    │ 13.3  │ 13.3  │ 13.3  │ 13.3  │      │          │   5300    │  1000   │ 13300000 │ 70565000  │ 1672840800000 │ '2023-01-04T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -1000 │ -13300000 │  1264375   │  4578750   │   -4300   │   -57215000   │      0      │  57215000   │   4   │ 1000 │ 13300000 │ 2.9 │      │          │      │
│    9    │ 13.35 │ 13.35 │ 13.35 │ 13.35 │      │          │   5400    │   100   │ 1335000  │ 71900000  │ 1672841160000 │ '2023-01-04T14:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 93.8 │ 343.8 │ 62.5 │     │ -100  │ -1335000  │  1264375   │  4578750   │   -4400   │   -58550000   │      0      │  58550000   │  0.4  │ 100  │ 1335000  │ 0.3 │      │          │      │
│   10    │ 13.4  │ 13.4  │ 13.4  │ 13.4  │      │          │   5600    │   200   │ 2680000  │ 74580000  │ 1672841400000 │ '2023-01-04T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 93.8 │ 343.8 │ 62.5 │     │  200  │  2680000  │  1264375   │  4578750   │   -4200   │   -55870000   │   2680000   │  58550000   │  0.8  │      │          │     │ 200  │ 2680000  │ 2.1  │
