┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬────────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ bu  │ val_bu │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd   │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼────────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 2100 │ 2100 │ 2100 │ 2100 │ 100 │ 210000 │    100    │   100   │  210000  │  210000  │ 1676280600000 │ '2023-02-13T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 18.2 │ 1981.8 │  0  │ 5.5 │  100  │  210000   │  38181.8   │ 3963636.4  │    100    │    210000     │   210000    │      0      │ -0.1  │      │          │     │
│    1    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   9100    │  9000   │ 18000000 │ 18210000 │ 1676280900000 │ '2023-02-13T09:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -9000 │ -18000000 │  38181.8   │ 3963636.4  │   -8900   │   -17790000   │   210000    │  18000000   │  4.6  │ 9000 │ 18000000 │ 4.5 │
│    2    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   12100   │  3000   │ 6000000  │ 24210000 │ 1676281500000 │ '2023-02-13T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -3000 │ -6000000  │  38181.8   │ 3963636.4  │  -11900   │   -23790000   │   210000    │  24000000   │  1.5  │ 3000 │ 6000000  │ 1.5 │
│    3    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   12300   │   200   │  400000  │ 24610000 │ 1676282400000 │ '2023-02-13T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -200  │  -400000  │  38181.8   │ 3963636.4  │  -12100   │   -24190000   │   210000    │  24400000   │  0.1  │ 200  │  400000  │ 0.1 │
│    4    │ 2100 │ 2100 │ 2100 │ 2100 │ 100 │ 210000 │   12400   │   100   │  210000  │ 24820000 │ 1676286000000 │ '2023-02-13T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 18.2 │ 1981.8 │  0  │ 5.5 │  100  │  210000   │  38181.8   │ 3963636.4  │  -12000   │   -23980000   │   420000    │  24400000   │ -0.1  │      │          │     │
│    5    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   13900   │  1500   │ 3000000  │ 27820000 │ 1676293800000 │ '2023-02-13T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -1500 │ -3000000  │  38181.8   │ 3963636.4  │  -13500   │   -26980000   │   420000    │  27400000   │  0.8  │ 1500 │ 3000000  │ 0.8 │
│    6    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   18900   │  5000   │ 10000000 │ 37820000 │ 1676295900000 │ '2023-02-13T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -5000 │ -10000000 │  38181.8   │ 3963636.4  │  -18500   │   -36980000   │   420000    │  37400000   │  2.5  │ 5000 │ 10000000 │ 2.5 │
│    7    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   20400   │  1500   │ 3000000  │ 40820000 │ 1676296500000 │ '2023-02-13T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -1500 │ -3000000  │  38181.8   │ 3963636.4  │  -20000   │   -39980000   │   420000    │  40400000   │  0.8  │ 1500 │ 3000000  │ 0.8 │
│    8    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   20500   │   100   │  200000  │ 41020000 │ 1676296800000 │ '2023-02-13T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -100  │  -200000  │  38181.8   │ 3963636.4  │  -20100   │   -40180000   │   420000    │  40600000   │  0.1  │ 100  │  200000  │ 0.1 │
│    9    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   20700   │   200   │  400000  │ 41420000 │ 1676297700000 │ '2023-02-13T14:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -200  │  -400000  │  38181.8   │ 3963636.4  │  -20300   │   -40580000   │   420000    │  41000000   │  0.1  │ 200  │  400000  │ 0.1 │
│   10    │ 2000 │ 2000 │ 2000 │ 2000 │     │        │   22000   │  1300   │ 2600000  │ 44020000 │ 1676298900000 │ '2023-02-13T14:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 1981.8 │  0  │     │ -1300 │ -2600000  │  38181.8   │ 3963636.4  │  -21600   │   -43180000   │   420000    │  43600000   │  0.7  │ 1300 │ 2600000  │ 0.7 │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴────────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

