┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬───────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk  │ rbu  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  uk  │  val_uk  │ ruk │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼───────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 26.4 │ 26.4 │ 26.4 │ 26.4 │ 100  │ 2640000 │    100    │   100   │ 2640000  │  2640000  │ 1671788280000 │ '2022-12-23T09:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 507.7 │ 446.2 │ 276.9 │ 0.2  │  100  │  2640000  │  217076.9  │ 8423230.8  │    100    │    2640000    │   2640000   │      0      │  0.3  │      │          │     │      │          │     │
│    1    │ 25.4 │ 25.4 │ 25.4 │ 25.4 │      │         │    600    │   500   │ 12700000 │ 15340000  │ 1671790200000 │ '2022-12-23T10:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -500  │ -12700000 │  217076.9  │ 8423230.8  │   -400    │   -10060000   │   2640000   │  12700000   │  1.5  │ 500  │ 12700000 │ 1.1 │      │          │     │
│    2    │ 25.5 │ 25.5 │ 25.5 │ 25.5 │      │         │    700    │   100   │ 2550000  │ 17890000  │ 1671791400000 │ '2022-12-23T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -100  │ -2550000  │  217076.9  │ 8423230.8  │   -500    │   -12610000   │   2640000   │  15250000   │  0.3  │ 100  │ 2550000  │ 0.2 │      │          │     │
│    3    │ 25.5 │ 25.5 │ 25.5 │ 25.5 │      │         │    900    │   200   │ 5100000  │ 22990000  │ 1671792960000 │ '2022-12-23T10:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -200  │ -5100000  │  217076.9  │ 8423230.8  │   -700    │   -17710000   │   2640000   │  20350000   │  0.6  │ 200  │ 5100000  │ 0.4 │      │          │     │
│    4    │ 25.5 │ 25.5 │ 25.5 │ 25.5 │      │         │   3000    │  2100   │ 53550000 │ 76540000  │ 1671793080000 │ '2022-12-23T10:58:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 507.7 │ 446.2 │ 276.9 │      │   0   │     0     │  217076.9  │ 8423230.8  │   -700    │   -17710000   │   2640000   │  20350000   │   0   │      │          │     │ 2100 │ 53550000 │ 7.6 │
│    5    │ 25.4 │ 25.4 │ 25.4 │ 25.4 │      │         │   4500    │  1500   │ 38100000 │ 114640000 │ 1671793200000 │ '2022-12-23T11:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 507.7 │ 446.2 │ 276.9 │      │   0   │     0     │  217076.9  │ 8423230.8  │   -700    │   -17710000   │   2640000   │  20350000   │   0   │      │          │     │ 1500 │ 38100000 │ 5.4 │
│    6    │ 25.4 │ 25.4 │ 25.4 │ 25.4 │      │         │   5900    │  1400   │ 35560000 │ 150200000 │ 1671794280000 │ '2022-12-23T11:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -1400 │ -35560000 │  217076.9  │ 8423230.8  │   -2100   │   -53270000   │   2640000   │  55910000   │  4.3  │ 1400 │ 35560000 │ 3.1 │      │          │     │
│    7    │ 25.5 │ 25.5 │ 25.5 │ 25.5 │      │         │   6400    │   500   │ 12750000 │ 162950000 │ 1671801600000 │ '2022-12-23T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -500  │ -12750000 │  217076.9  │ 8423230.8  │   -2600   │   -66020000   │   2640000   │  68660000   │  1.6  │ 500  │ 12750000 │ 1.1 │      │          │     │
│    8    │ 25.5 │ 25.5 │ 25.5 │ 25.5 │      │         │   7100    │   700   │ 17850000 │ 180800000 │ 1671802080000 │ '2022-12-23T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -700  │ -17850000 │  217076.9  │ 8423230.8  │   -3300   │   -83870000   │   2640000   │  86510000   │  2.2  │ 700  │ 17850000 │ 1.6 │      │          │     │
│    9    │ 25.5 │ 25.5 │ 25.5 │ 25.5 │      │         │   7500    │   400   │ 10200000 │ 191000000 │ 1671802440000 │ '2022-12-23T13:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -400  │ -10200000 │  217076.9  │ 8423230.8  │   -3700   │   -94070000   │   2640000   │  96710000   │  1.2  │ 400  │ 10200000 │ 0.9 │      │          │     │
│   10    │ 25.5 │ 25.5 │ 25.5 │ 25.5 │      │         │   8000    │   500   │ 12750000 │ 203750000 │ 1671803040000 │ '2022-12-23T13:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 507.7 │ 446.2 │ 276.9 │      │ -500  │ -12750000 │  217076.9  │ 8423230.8  │   -4200   │  -106820000   │   2640000   │  109460000  │  1.6  │ 500  │ 12750000 │ 1.1 │      │          │     │
