┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬─────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb  │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼─────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │  19  │  19  │  19  │  19  │ 100 │  1900  │    100    │   100   │   1900   │   1900   │ 1671801600000 │ '2022-12-23T13:20:00.000Z' │  0  │  0  │ 100 │   NaN    │ NaN │ 300 │  0  │ 10  │ 10  │   0   │     0     │  5550000   │     0      │     0     │       0       │      0      │      0      │   0   │      │          │     │
│    1    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │    200    │   100   │ 1850000  │ 1851900  │ 1671802440000 │ '2022-12-23T13:34:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  100  │  1850000  │  5550000   │     0      │    100    │    1850000    │   1850000   │      0      │  0.3  │ 100  │ 1850000  │ 0.3 │
│    2    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │    500    │   300   │ 5550000  │ 7401900  │ 1671802920000 │ '2022-12-23T13:42:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  300  │  5550000  │  5550000   │     0      │    400    │    7400000    │   7400000   │      0      │   1   │ 300  │ 5550000  │  1  │
│    3    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │    700    │   200   │ 3700000  │ 11101900 │ 1671803040000 │ '2022-12-23T13:44:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  200  │  3700000  │  5550000   │     0      │    600    │   11100000    │  11100000   │      0      │  0.7  │ 200  │ 3700000  │ 0.7 │
│    4    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │    800    │   100   │ 1850000  │ 12951900 │ 1671803160000 │ '2022-12-23T13:46:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  100  │  1850000  │  5550000   │     0      │    700    │   12950000    │  12950000   │      0      │  0.3  │ 100  │ 1850000  │ 0.3 │
│    5    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │    900    │   100   │ 1850000  │ 14801900 │ 1671804480000 │ '2022-12-23T14:08:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  100  │  1850000  │  5550000   │     0      │    800    │   14800000    │  14800000   │      0      │  0.3  │ 100  │ 1850000  │ 0.3 │
│    6    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │   1300    │   400   │ 7400000  │ 22201900 │ 1671804720000 │ '2022-12-23T14:12:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  400  │  7400000  │  5550000   │     0      │   1200    │   22200000    │  22200000   │      0      │  1.3  │ 400  │ 7400000  │ 1.3 │
│    7    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │   1500    │   200   │ 3700000  │ 25901900 │ 1671804840000 │ '2022-12-23T14:14:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  200  │  3700000  │  5550000   │     0      │   1400    │   25900000    │  25900000   │      0      │  0.7  │ 200  │ 3700000  │ 0.7 │
│    8    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │   2600    │  1100   │ 20350000 │ 46251900 │ 1671805560000 │ '2022-12-23T14:26:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │ 1100  │ 20350000  │  5550000   │     0      │   2500    │   46250000    │  46250000   │      0      │  3.7  │ 1100 │ 20350000 │ 3.7 │
│    9    │ 18.5 │ 18.5 │ 18.5 │ 18.5 │     │        │   3100    │   500   │ 9250000  │ 55501900 │ 1671805680000 │ '2022-12-23T14:28:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 300 │  0  │ 10  │     │  500  │  9250000  │  5550000   │     0      │   3000    │   55500000    │  55500000   │      0      │  1.7  │ 500  │ 9250000  │ 1.7 │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴─────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

