┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │ 200 │ 140000 │    200    │   200   │ 140000  │  140000  │ 1671786720000 │ '2022-12-23T09:12:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 909.1 │ 63.6 │  0  │ 3.1 │ -200  │  -140000  │  638181.8  │  44545.5   │   -200    │    -140000    │      0      │   140000    │  0.2  │      │         │     │
│    1    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │    300    │   100   │  80000  │  220000  │ 1671787080000 │ '2022-12-23T09:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │  100  │   80000   │  638181.8  │  44545.5   │   -100    │    -60000     │    80000    │   140000    │  0.1  │ 100  │  80000  │ 0.1 │
│    2    │ 0.8 │ 0.8 │ 0.8 │ 0.8 │     │        │    400    │   100   │  80000  │  300000  │ 1671791040000 │ '2022-12-23T10:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │  100  │   80000   │  638181.8  │  44545.5   │     0     │     20000     │   160000    │   140000    │  0.1  │ 100  │  80000  │ 0.1 │
│    3    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │ 500 │ 350000 │    900    │   500   │ 350000  │  650000  │ 1671800400000 │ '2022-12-23T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 909.1 │ 63.6 │  0  │ 7.9 │ -500  │  -350000  │  638181.8  │  44545.5   │   -500    │    -330000    │   160000    │   490000    │  0.6  │      │         │     │
│    4    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   1700    │   800   │ 560000  │ 1210000  │ 1671800520000 │ '2022-12-23T13:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │  800  │  560000   │  638181.8  │  44545.5   │    300    │    230000     │   720000    │   490000    │  0.9  │ 800  │ 560000  │ 0.9 │
│    5    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   2700    │  1000   │ 700000  │ 1910000  │ 1671801240000 │ '2022-12-23T13:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │ 1000  │  700000   │  638181.8  │  44545.5   │   1300    │    930000     │   1420000   │   490000    │  1.2  │ 1000 │ 700000  │ 1.1 │
│    6    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   3900    │  1200   │ 840000  │ 2750000  │ 1671801360000 │ '2022-12-23T13:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │ 1200  │  840000   │  638181.8  │  44545.5   │   2500    │    1770000    │   2260000   │   490000    │  1.4  │ 1200 │ 840000  │ 1.3 │
│    7    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   5900    │  2000   │ 1400000 │ 4150000  │ 1671802560000 │ '2022-12-23T13:36:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │ 2000  │  1400000  │  638181.8  │  44545.5   │   4500    │    3170000    │   3660000   │   490000    │  2.4  │ 2000 │ 1400000 │ 2.2 │
│    8    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   7900    │  2000   │ 1400000 │ 5550000  │ 1671803640000 │ '2022-12-23T13:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │ 2000  │  1400000  │  638181.8  │  44545.5   │   6500    │    4570000    │   5060000   │   490000    │  2.4  │ 2000 │ 1400000 │ 2.2 │
│    9    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   9900    │  2000   │ 1400000 │ 6950000  │ 1671803760000 │ '2022-12-23T13:56:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │ 2000  │  1400000  │  638181.8  │  44545.5   │   8500    │    5970000    │   6460000   │   490000    │  2.4  │ 2000 │ 1400000 │ 2.2 │
│   10    │ 0.7 │ 0.7 │ 0.7 │ 0.7 │     │        │   10700   │   800   │ 560000  │ 7510000  │ 1671804000000 │ '2022-12-23T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 909.1 │ 63.6 │  0  │     │  800  │  560000   │  638181.8  │  44545.5   │   9300    │    6530000    │   7020000   │   490000    │  0.9  │ 800  │ 560000  │ 0.9 │
