┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │  val_bu  │ rbu │ sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 12.8 │ 12.8 │ 12.8 │ 12.8 │ 100 │ 1280000 │    100    │   100   │ 1280000  │ 1280000  │ 1674811200000 │ '2023-01-27T09:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 200 │ 81.8 │ 9.1 │ 11  │   0   │     0     │  2570000   │ 1053636.4  │     0     │       0       │      0      │      0      │   0   │     │          │     │     │         │     │
│    1    │ 12.8 │ 12.8 │ 12.8 │ 12.8 │     │         │    900    │   800   │ 10240000 │ 11520000 │ 1674815040000 │ '2023-01-27T10:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 200 │ 81.8 │ 9.1 │     │  800  │ 10240000  │  2570000   │ 1053636.4  │    800    │   10240000    │  10240000   │      0      │  6.8  │ 800 │ 10240000 │  4  │     │         │     │
│    2    │ 12.8 │ 12.8 │ 12.8 │ 12.8 │     │         │   1000    │   100   │ 1280000  │ 12800000 │ 1674816600000 │ '2023-01-27T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 200 │ 81.8 │ 9.1 │     │  100  │  1280000  │  2570000   │ 1053636.4  │    900    │   11520000    │  11520000   │      0      │  0.8  │ 100 │ 1280000  │ 0.5 │     │         │     │
│    3    │ 12.8 │ 12.8 │ 12.8 │ 12.8 │     │         │   1100    │   100   │ 1280000  │ 14080000 │ 1674816720000 │ '2023-01-27T10:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 200 │ 81.8 │ 9.1 │     │  100  │  1280000  │  2570000   │ 1053636.4  │   1000    │   12800000    │  12800000   │      0      │  0.8  │ 100 │ 1280000  │ 0.5 │     │         │     │
│    4    │ 12.8 │ 12.8 │ 12.8 │ 12.8 │     │         │   1200    │   100   │ 1280000  │ 15360000 │ 1674817920000 │ '2023-01-27T11:12:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 200 │ 81.8 │ 9.1 │     │  100  │  1280000  │  2570000   │ 1053636.4  │   1100    │   14080000    │  14080000   │      0      │  0.8  │ 100 │ 1280000  │ 0.5 │     │         │     │
│    5    │ 12.8 │ 12.8 │ 12.8 │ 12.8 │     │         │   1400    │   200   │ 2560000  │ 17920000 │ 1674824400000 │ '2023-01-27T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 200 │ 81.8 │ 9.1 │     │ -200  │ -2560000  │  2570000   │ 1053636.4  │    900    │   11520000    │  14080000   │   2560000   │  1.7  │     │          │     │ 200 │ 2560000 │ 2.4 │
│    6    │ 12.9 │ 12.9 │ 12.9 │ 12.9 │     │         │   1500    │   100   │ 1290000  │ 19210000 │ 1674827520000 │ '2023-01-27T13:52:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 200 │ 81.8 │ 9.1 │     │ -100  │ -1290000  │  2570000   │ 1053636.4  │    800    │   10230000    │  14080000   │   3850000   │  0.9  │     │          │     │ 100 │ 1290000 │ 1.2 │
│    7    │ 12.9 │ 12.9 │ 12.9 │ 12.9 │     │         │   1700    │   200   │ 2580000  │ 21790000 │ 1674828360000 │ '2023-01-27T14:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 200 │ 81.8 │ 9.1 │     │ -200  │ -2580000  │  2570000   │ 1053636.4  │    600    │    7650000    │  14080000   │   6430000   │  1.7  │     │          │     │ 200 │ 2580000 │ 2.4 │
│    8    │ 12.9 │ 12.9 │ 12.9 │ 12.9 │     │         │   2100    │   400   │ 5160000  │ 26950000 │ 1674828720000 │ '2023-01-27T14:12:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 200 │ 81.8 │ 9.1 │     │ -400  │ -5160000  │  2570000   │ 1053636.4  │    200    │    2490000    │  14080000   │  11590000   │  3.4  │     │          │     │ 400 │ 5160000 │ 4.9 │
│    9    │ 12.9 │ 12.9 │ 12.9 │ 12.9 │     │         │   2500    │   400   │ 5160000  │ 32110000 │ 1674828840000 │ '2023-01-27T14:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 200 │ 81.8 │ 9.1 │     │  400  │  5160000  │  2570000   │ 1053636.4  │    600    │    7650000    │  19240000   │  11590000   │  3.4  │ 400 │ 5160000  │  2  │     │         │     │
│   10    │ 12.9 │ 12.9 │ 12.9 │ 12.9 │     │         │   3200    │   700   │ 9030000  │ 41140000 │ 1674829200000 │ '2023-01-27T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 200 │ 81.8 │ 9.1 │     │  700  │  9030000  │  2570000   │ 1053636.4  │   1300    │   16680000    │  28270000   │  11590000   │   6   │ 700 │ 9030000  │ 3.5 │     │         │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴──────────┴─────┴─────┴─────────┴─────┘

