┌─────────┬─────┬─────┬─────┬─────┬─────┬───────────────────┬───────────┬─────────┬────────────────────┬───────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬─────┬───────┬────────────────────┬────────────┬────────────┬───────────┬────────────────────┬─────────────┬───────────────────┬───────┬──────┬────────────────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │      val_sd       │ total_vol │ sum_vol │        val         │     acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ rsd │ bu-sd │     bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │   acum_busd_val    │ acum_val_bu │    acum_val_sd    │ rbusd │  bu  │       val_bu       │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼───────────────────┼───────────┼─────────┼────────────────────┼───────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼─────┼───────┼────────────────────┼────────────┼────────────┼───────────┼────────────────────┼─────────────┼───────────────────┼───────┼──────┼────────────────────┼─────┤
│    0    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │ 100 │ 880000.0000000001 │    100    │   100   │ 880000.0000000001  │ 880000.0000000001 │ 1672045500000 │ '2022-12-26T09:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 658.3 │ 16.7 │  0  │  6  │ -100  │ -880000.0000000001 │ 4083391.7  │  145833.3  │   -100    │ -880000.0000000001 │      0      │ 880000.0000000001 │ -0.2  │      │                    │     │
│    1    │ 8.7 │ 8.7 │ 8.7 │ 8.7 │     │                   │   1100    │  1000   │      8700000       │      9580000      │ 1672046100000 │ '2022-12-26T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │ 1000  │      8700000       │ 4083391.7  │  145833.3  │    900    │      7820000       │   8700000   │ 880000.0000000001 │  2.2  │ 1000 │      8700000       │ 1.5 │
│    2    │ 8.7 │ 8.7 │ 8.7 │ 8.7 │     │                   │   1800    │   700   │ 6089999.999999999  │     15670000      │ 1672046400000 │ '2022-12-26T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │  700  │ 6089999.999999999  │ 4083391.7  │  145833.3  │   1600    │      13910000      │  14790000   │ 880000.0000000001 │  1.5  │ 700  │ 6089999.999999999  │ 1.1 │
│    3    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3100    │  1300   │      11440000      │     27110000      │ 1672048200000 │ '2022-12-26T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │ 1300  │      11440000      │ 4083391.7  │  145833.3  │   2900    │      25350000      │  26230000   │ 880000.0000000001 │  2.9  │ 1300 │      11440000      │  2  │
│    4    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3300    │   200   │ 1760000.0000000002 │     28870000      │ 1672048800000 │ '2022-12-26T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │  200  │ 1760000.0000000002 │ 4083391.7  │  145833.3  │   3100    │      27110000      │  27990000   │ 880000.0000000001 │  0.4  │ 200  │ 1760000.0000000002 │ 0.3 │
│    5    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3500    │   200   │ 1760000.0000000002 │     30630000      │ 1672050000000 │ '2022-12-26T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │  200  │ 1760000.0000000002 │ 4083391.7  │  145833.3  │   3300    │      28870000      │  29750000   │ 880000.0000000001 │  0.4  │ 200  │ 1760000.0000000002 │ 0.3 │
│    6    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3800    │   300   │      2640000       │     33270000      │ 1672051500000 │ '2022-12-26T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │  300  │      2640000       │ 4083391.7  │  145833.3  │   3600    │      31510000      │  32390000   │ 880000.0000000001 │  0.7  │ 300  │      2640000       │ 0.5 │
│    7    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   3900    │   100   │ 880000.0000000001  │     34150000      │ 1672052400000 │ '2022-12-26T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │  100  │ 880000.0000000001  │ 4083391.7  │  145833.3  │   3700    │      32390000      │  33270000   │ 880000.0000000001 │  0.2  │ 100  │ 880000.0000000001  │ 0.2 │
│    8    │ 8.8 │ 8.8 │ 8.8 │ 8.8 │     │                   │   4400    │   500   │      4400000       │     38550000      │ 1672053300000 │ '2022-12-26T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │  500  │      4400000       │ 4083391.7  │  145833.3  │   4200    │      36790000      │  37670000   │ 880000.0000000001 │  1.1  │ 500  │      4400000       │ 0.8 │
│    9    │ 8.7 │ 8.7 │ 8.7 │ 8.7 │ 100 │ 869999.9999999999 │   4500    │   100   │ 869999.9999999999  │     39420000      │ 1672060800000 │ '2022-12-26T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 658.3 │ 16.7 │  0  │  6  │ -100  │ -869999.9999999999 │ 4083391.7  │  145833.3  │   4100    │      35920000      │  37670000   │      1750000      │ -0.2  │      │                    │     │
│   10    │ 8.7 │ 8.7 │ 8.7 │ 8.7 │     │                   │   5800    │  1300   │ 11309999.999999998 │     50730000      │ 1672063200000 │ '2022-12-26T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 658.3 │ 16.7 │  0  │     │ 1300  │ 11309999.999999998 │ 4083391.7  │  145833.3  │   5400    │      47230000      │  48980000   │      1750000      │  2.9  │ 1300 │ 11309999.999999998 │  2  │
