"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","rbu","rsd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1095100,49471461000,74556230000,25084769000,135607913000,3243700,2148600,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-54.4,2.6,0.9,3243700,1095100,49471461000,"2023-02-17T09:14:00.000Z",1676625240000,2148600,8013100,8013100,2620800,135607913000,74556230000,25084769000,35966914000
2440900,75257468000,125751259000,50493791000,212365341000,6057000,3616100,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-28.3,1.8,0.9,2813300,1345800,25786007000,"2023-02-17T09:16:00.000Z",1676625360000,1467500,4290600,12303700,9800,76757428000,51195029000,25409022000,153377000
4373200,98705259000,174119360000,75414101000,285983501000,9293700,4920500,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-25.8,1.7,0.8,3236700,1932300,23447791000,"2023-02-17T09:18:00.000Z",1676625480000,1304400,4552400,16856100,11300,73618160000,48368101000,24920310000,329749000
4350600,91626979000,204137930000,112510951000,353756510000,11409200,7058600,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,7.8,1.1,1.3,2115500,-22600,-7078280000,"2023-02-17T09:20:00.000Z",1676625600000,2138100,4282800,21138900,29200,67773009000,30018570000,37096850000,657589000
4592000,89912025000,242415891000,152503866000,432138634000,14006700,9414700,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,1.9,1.3,1.4,2597500,241400,-1714954000,"2023-02-17T09:22:00.000Z",1676625720000,2356100,4961500,26100400,7900,78382124000,38277961000,39992915000,111248000
6686200,118603221000,293264469000,174661248000,506110804000,17480500,10794300,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-31.5,1.8,0.8,3473800,2094200,28691196000,"2023-02-17T09:24:00.000Z",1676625840000,1379600,4893100,30993500,39700,73972170000,50848578000,22157382000,966210000
8328800,139219901000,344531866000,205311965000,588903642000,20972200,12643400,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-22.7,1.8,1,3491700,1642600,20616680000,"2023-02-17T09:26:00.000Z",1676625960000,1849100,5407800,36401300,67000,82792838000,51267397000,30650717000,874724000
11919300,186778648000,425166694000,238388046000,702886701000,26376600,14457300,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-52.3,2.8,1.1,5404400,3590500,47558747000,"2023-02-17T09:28:00.000Z",1676626080000,1813900,7229800,43631100,11500,113983059000,80634828000,33076081000,272150000
14678500,217831512000,488687942000,270856430000,800537962000,31031300,16352800,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-34.1,2.2,1.1,4654700,2759200,31052864000,"2023-02-17T09:30:00.000Z",1676626200000,1895500,6686300,50317400,136100,97651261000,63521248000,32468384000,1661629000
14868800,222753736000,534130912000,311377176000,886841793000,33817900,18949100,28409371226.1,29319402469.6,59483152460.9,3583018.3,1709965.2,1774947,-64981.7,-910031243.5,-5.4,1.6,1.4,2786600,190300,4922224000,"2023-02-17T09:32:00.000Z",1676626320000,2596300,5418300,55735700,35400,86303831000,45442970000,40520746000,340115000
