┌─────────┬─────┬─────┬─────┬─────┬─────┬────────┬───────────┬─────────┬────────────────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬─────┬─────┬───────┬─────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬────────────────────┬─────┬─────┬────────────────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ bu  │ val_bu │ total_vol │ sum_vol │        val         │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk │ rbu │ bu-sd │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │       val_sd       │ rsd │ uk  │       val_uk       │ ruk │
├─────────┼─────┼─────┼─────┼─────┼─────┼────────┼───────────┼─────────┼────────────────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼─────┼─────┼───────┼─────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼────────────────────┼─────┼─────┼────────────────────┼─────┤
│    0    │  5  │  5  │  5  │  5  │ 100 │  500   │    100    │   100   │        500         │   500    │ 1671184560000 │ '2022-12-16T09:56:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 36.4 │ 572.7 │ 9.1 │ 2.7 │  100  │         500         │   181.8    │ 2757272.7  │    100    │      500      │     500     │      0      │   0   │      │                    │     │     │                    │     │
│    1    │  5  │  5  │  5  │  5  │ 300 │  1500  │    400    │   300   │        1500        │   2000   │ 1671185880000 │ '2022-12-16T10:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 36.4 │ 572.7 │ 9.1 │ 8.2 │  300  │        1500         │   181.8    │ 2757272.7  │    400    │     2000      │    2000     │      0      │   0   │      │                    │     │     │                    │     │
│    2    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │     │        │    900    │   500   │      2450000       │ 2452000  │ 1671189600000 │ '2022-12-16T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -500  │      -2450000       │   181.8    │ 2757272.7  │   -100    │   -2448000    │    2000     │   2450000   │  0.9  │ 500  │      2450000       │ 0.9 │     │                    │     │
│    3    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │     │        │   1200    │   300   │ 1470000.0000000002 │ 3922000  │ 1671195600000 │ '2022-12-16T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -300  │ -1470000.0000000002 │   181.8    │ 2757272.7  │   -400    │   -3918000    │    2000     │   3920000   │  0.5  │ 300  │ 1470000.0000000002 │ 0.5 │     │                    │     │
│    4    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │     │        │   1400    │   200   │       960000       │ 4882000  │ 1671197040000 │ '2022-12-16T13:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -200  │       -960000       │   181.8    │ 2757272.7  │   -600    │   -4878000    │    2000     │   4880000   │  0.3  │ 200  │       960000       │ 0.3 │     │                    │     │
│    5    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │     │        │   1600    │   200   │       960000       │ 5842000  │ 1671197160000 │ '2022-12-16T13:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -200  │       -960000       │   181.8    │ 2757272.7  │   -800    │   -5838000    │    2000     │   5840000   │  0.3  │ 200  │       960000       │ 0.3 │     │                    │     │
│    6    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │     │        │   2600    │  1000   │      4800000       │ 10642000 │ 1671198000000 │ '2022-12-16T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -1000 │      -4800000       │   181.8    │ 2757272.7  │   -1800   │   -10638000   │    2000     │  10640000   │  1.7  │ 1000 │      4800000       │ 1.7 │     │                    │     │
│    7    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │     │        │   4600    │  2000   │      9600000       │ 20242000 │ 1671199080000 │ '2022-12-16T13:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -2000 │      -9600000       │   181.8    │ 2757272.7  │   -3800   │   -20238000   │    2000     │  20240000   │  3.5  │ 2000 │      9600000       │ 3.5 │     │                    │     │
│    8    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │     │        │   6600    │  2000   │      9600000       │ 29842000 │ 1671199200000 │ '2022-12-16T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -2000 │      -9600000       │   181.8    │ 2757272.7  │   -5800   │   -29838000   │    2000     │  29840000   │  3.5  │ 2000 │      9600000       │ 3.5 │     │                    │     │
│    9    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │     │        │   6700    │   100   │ 490000.00000000006 │ 30332000 │ 1671199440000 │ '2022-12-16T14:04:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 36.4 │ 572.7 │ 9.1 │     │   0   │          0          │   181.8    │ 2757272.7  │   -5800   │   -29838000   │    2000     │  29840000   │   0   │      │                    │     │ 100 │ 490000.00000000006 │ 11  │
│   10    │ 4.9 │ 4.9 │ 4.9 │ 4.9 │     │        │   6800    │   100   │ 490000.00000000006 │ 30822000 │ 1671200400000 │ '2022-12-16T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 36.4 │ 572.7 │ 9.1 │     │ -100  │ -490000.00000000006 │   181.8    │ 2757272.7  │   -5900   │   -30328000   │    2000     │  30330000   │  0.2  │ 100  │ 490000.00000000006 │ 0.2 │     │                    │     │
