"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-258600,-1099963000,72183181200,1848200,-258600,-1099963000,"2023-02-07T09:14:00.000Z",1675761240000,2106800,5207200,5207200,1252200,72183181200,25864269700,26964232700,19354678800
220500,4497657200,110392604400,1446900,479100,5597620200,"2023-02-07T09:16:00.000Z",1675761360000,967800,2452700,7659900,38000,38209423200,21547277200,15949657000,712489000
822000,10579500000,152108072200,1640900,601500,6081842800,"2023-02-07T09:18:00.000Z",1675761480000,1039400,2692500,10352400,12200,41715467800,23778877800,17697035000,239555000
1354500,17511936600,186994722800,1583900,532500,6932436600,"2023-02-07T09:20:00.000Z",1675761600000,1051400,2636700,12989100,1400,34886650600,20897585100,13965148500,23917000
2210700,30300787900,236829395900,2205700,856200,12788851300,"2023-02-07T09:22:00.000Z",1675761720000,1349500,3567500,16556600,12300,49834673100,31029283200,18240431900,564958000
2316400,35232912900,282656805100,1496400,105700,4932125000,"2023-02-07T09:24:00.000Z",1675761840000,1390700,2910200,19466800,23100,45827409200,25165190100,20233065100,429154000
1136700,23286134500,324283132700,935700,-1179700,-11946778400,"2023-02-07T09:26:00.000Z",1675761960000,2115400,3059300,22526100,8200,41626327600,14772312100,26719090500,134925000
400800,14338626700,366254099300,866800,-735900,-8947507800,"2023-02-07T09:28:00.000Z",1675762080000,1602700,2478700,25004800,9200,41970966600,16239192700,25186700500,545073400
-339100,7589241300,407708171300,799600,-739900,-6749385400,"2023-02-07T09:30:00.000Z",1675762200000,1539500,2358100,27362900,19000,41454072000,17070776800,23820162200,563133000
-839200,4730705000,446680959600,962200,-500100,-2858536300,"2023-02-07T09:32:00.000Z",1675762320000,1462300,2468400,29831300,43900,38972788300,17497204800,20355741100,1119842400
-557000,12072727600,480009146800,1073700,282200,7342022600,"2023-02-07T09:34:00.000Z",1675762440000,791500,1868500,31699800,3300,33328187200,20306307400,12964284800,57595000
306200,29928590100,521112488300,1558600,863200,17855862500,"2023-02-07T09:36:00.000Z",1675762560000,695400,2267400,33967200,13400,41103341500,29374556200,11518693700,210091600
1286800,48414201200,574090238800,1971500,980600,18485611100,"2023-02-07T09:38:00.000Z",1675762680000,990900,2977200,36944400,14800,52977750500,35655797600,17170186500,151766400
2378600,72128096000,623446638800,1953000,1091800,23713894800,"2023-02-07T09:40:00.000Z",1675762800000,861200,2817300,39761700,3100,49356400000,36456379400,12742484600,157536000
4304000,102406301800,689797879200,2777900,1925400,30278205800,"2023-02-07T09:42:00.000Z",1675762920000,852500,3649300,43411000,18900,66351240400,48075043600,17796837800,479359000
5340000,122366057900,749055647700,2084000,1036000,19959756100,"2023-02-07T09:44:00.000Z",1675763040000,1048000,3142700,46553700,10700,59257768500,39389679800,19429923700,438165000
