┌─────────┬───────┬────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │   c   │ change │  pct  │   h   │   l   │   o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 13400 │  -500  │ -3.6  │ 13400 │ 13400 │ 13400 │ 300 │ 4020000 │    300    │   300   │ 4020000  │  4020000  │ 1679914800000 │ '2023-03-27T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1307.1 │ 21.4 │  0  │ 14  │ -300  │ -4020000  │ 17646428.6 │  287142.9  │   -300    │   -4020000    │      0      │   4020000   │ -0.2  │      │          │     │
│    1    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   3100    │  2800   │ 37800000 │ 41820000  │ 1679922000000 │ '2023-03-27T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 2800  │ 37800000  │ 17646428.6 │  287142.9  │   2500    │   33780000    │  37800000   │   4020000   │  2.2  │ 2800 │ 37800000 │ 2.1 │
│    2    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   5100    │  2000   │ 27000000 │ 68820000  │ 1679922300000 │ '2023-03-27T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 2000  │ 27000000  │ 17646428.6 │  287142.9  │   4500    │   60780000    │  64800000   │   4020000   │  1.6  │ 2000 │ 27000000 │ 1.5 │
│    3    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   6100    │  1000   │ 13500000 │ 82320000  │ 1679922900000 │ '2023-03-27T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 1000  │ 13500000  │ 17646428.6 │  287142.9  │   5500    │   74280000    │  78300000   │   4020000   │  0.8  │ 1000 │ 13500000 │ 0.8 │
│    4    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   7600    │  1500   │ 20250000 │ 102570000 │ 1679923200000 │ '2023-03-27T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 1500  │ 20250000  │ 17646428.6 │  287142.9  │   7000    │   94530000    │  98550000   │   4020000   │  1.2  │ 1500 │ 20250000 │ 1.1 │
│    5    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   10100   │  2500   │ 33750000 │ 136320000 │ 1679923500000 │ '2023-03-27T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 2500  │ 33750000  │ 17646428.6 │  287142.9  │   9500    │   128280000   │  132300000  │   4020000   │  1.9  │ 2500 │ 33750000 │ 1.9 │
│    6    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   10700   │   600   │ 8100000  │ 144420000 │ 1679923800000 │ '2023-03-27T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │  600  │  8100000  │ 17646428.6 │  287142.9  │   10100   │   136380000   │  140400000  │   4020000   │  0.5  │ 600  │ 8100000  │ 0.5 │
│    7    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   10800   │   100   │ 1350000  │ 145770000 │ 1679924400000 │ '2023-03-27T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │  100  │  1350000  │ 17646428.6 │  287142.9  │   10200   │   137730000   │  141750000  │   4020000   │  0.1  │ 100  │ 1350000  │ 0.1 │
│    8    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   11600   │   800   │ 10800000 │ 156570000 │ 1679925000000 │ '2023-03-27T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │  800  │ 10800000  │ 17646428.6 │  287142.9  │   11000   │   148530000   │  152550000  │   4020000   │  0.6  │ 800  │ 10800000 │ 0.6 │
│    9    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   12100   │   500   │ 6750000  │ 163320000 │ 1679925300000 │ '2023-03-27T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │  500  │  6750000  │ 17646428.6 │  287142.9  │   11500   │   155280000   │  159300000  │   4020000   │  0.4  │ 500  │ 6750000  │ 0.4 │
│   10    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   13100   │  1000   │ 13500000 │ 176820000 │ 1679925900000 │ '2023-03-27T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 1000  │ 13500000  │ 17646428.6 │  287142.9  │   12500   │   168780000   │  172800000  │   4020000   │  0.8  │ 1000 │ 13500000 │ 0.8 │
│   11    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   15100   │  2000   │ 27000000 │ 203820000 │ 1679926200000 │ '2023-03-27T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 2000  │ 27000000  │ 17646428.6 │  287142.9  │   14500   │   195780000   │  199800000  │   4020000   │  1.6  │ 2000 │ 27000000 │ 1.5 │
│   12    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   16100   │  1000   │ 13500000 │ 217320000 │ 1679926500000 │ '2023-03-27T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 1000  │ 13500000  │ 17646428.6 │  287142.9  │   15500   │   209280000   │  213300000  │   4020000   │  0.8  │ 1000 │ 13500000 │ 0.8 │
│   13    │ 13500 │  -400  │ -2.88 │ 13500 │ 13500 │ 13500 │     │         │   18600   │  2500   │ 33750000 │ 251070000 │ 1679928300000 │ '2023-03-27T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1307.1 │ 21.4 │  0  │     │ 2500  │ 33750000  │ 17646428.6 │  287142.9  │   18000   │   243030000   │  247050000  │   4020000   │  1.9  │ 2500 │ 33750000 │ 1.9 │
