"price","change","match_qtty","side","time","total_vol"
7.9,0.7,400,"sd","14:10:01",55200
7.9,0.7,600,"sd","14:04:42",54800
7.9,0.7,100,"sd","14:02:45",54200
7.9,0.7,1400,"sd","14:00:00",54100
7.9,0.7,3400,"sd","13:23:54",52700
7.9,0.7,3200,"bu","13:14:30",49300
7.9,0.7,5000,"bu","13:04:05",46100
7.9,0.7,200,"bu","10:59:24",41100
7.9,0.7,1500,"bu","10:39:49",40900
7.9,0.7,5000,"bu","10:34:43",39400
7.6,0.4,100,"sd","10:33:45",34400
7.5,0.3,100,"sd","10:24:12",34300
7.9,0.7,8800,"sd","10:15:23",34200
7.9,0.7,1000,"sd","09:48:12",25400
7.9,0.7,2000,"sd","09:46:47",24400
7.9,0.7,1000,"sd","09:42:57",22400
7.9,0.7,500,"sd","09:41:52",21400
7.9,0.7,500,"sd","09:41:11",20900
7.9,0.7,1000,"sd","09:40:51",20400
7.9,0.7,5600,"sd","09:40:16",19400
7.9,0.7,100,"sd","09:39:41",13800
7.9,0.7,200,"sd","09:36:39",13700
7.9,0.7,500,"sd","09:36:14",13500
7.9,0.7,1200,"sd","09:36:07",13000
7.9,0.7,500,"sd","09:34:53",11800
7.9,0.7,100,"sd","09:29:17",11300
7.9,0.7,5400,"unknown","09:28:27",11200
7.9,0.7,2500,"bu","09:28:15",5800
7.8,0.6,700,"unknown","09:28:07",3300
7.7,0.5,100,"sd","09:25:53",2600
7.7,0.5,100,"sd","09:25:28",2500
7.7,0.5,300,"sd","09:25:10",2400
7.7,0.5,2000,"sd","09:22:51",2100
7.7,0.5,100,"bu","09:19:25",100
"price","change","match_qtty","side","time","total_vol"
"price","change","match_qtty","side","time","total_vol"
"price","change","match_qtty","side","time","total_vol"
"price","change","match_qtty","side","time","total_vol"
