┌─────────┬───────┬───────┬───────┬───────┬─────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 24.2  │ 24.2  │ 24.2  │ 24.2  │ 700 │ 16940000 │    700    │   700   │ 16940000 │ 16940000  │ 1675156440000 │ '2023-01-31T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 366.7 │ 400 │ 77.8 │  9  │   0   │     0     │ 8570822.2  │ 1878288.9  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 24.8  │ 24.8  │ 24.4  │ 24.4  │     │          │   1000    │   300   │ 7360000  │ 24300000  │ 1675156680000 │ '2023-01-31T09:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 366.7 │ 400 │ 77.8 │     │  300  │  7360000  │ 8570822.2  │ 1878288.9  │    300    │    7360000    │   7360000   │      0      │  1.1  │ 300  │ 7360000  │ 0.8 │      │          │     │
│    2    │ 24.05 │ 24.05 │ 24.05 │ 24.05 │     │          │   1500    │   500   │ 12025000 │ 36325000  │ 1675163400000 │ '2023-01-31T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 366.7 │ 400 │ 77.8 │     │ -500  │ -12025000 │ 8570822.2  │ 1878288.9  │   -200    │   -4665000    │   7360000   │  12025000   │  1.8  │      │          │     │ 500  │ 12025000 │ 1.3 │
│    3    │  24   │ 24.05 │  24   │ 24.05 │     │          │   4600    │  3100   │ 4879600  │ 41204600  │ 1675163640000 │ '2023-01-31T11:14:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 366.7 │ 400 │ 77.8 │     │ -3100 │ -4879600  │ 8570822.2  │ 1878288.9  │   -3300   │   -9544600    │   7360000   │  16904600   │  0.7  │      │          │     │ 3100 │ 4879600  │ 7.8 │
│    4    │ 24.05 │ 24.05 │  24   │  24   │     │          │   5000    │   400   │ 7217400  │ 48422000  │ 1675163880000 │ '2023-01-31T11:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 366.7 │ 400 │ 77.8 │     │  400  │  7217400  │ 8570822.2  │ 1878288.9  │   -2900   │   -2327200    │  14577400   │  16904600   │  1.1  │ 400  │ 7217400  │ 1.1 │      │          │     │
│    5    │ 24.05 │ 24.05 │ 24.05 │ 24.05 │     │          │   5100    │   100   │ 2405000  │ 50827000  │ 1675164000000 │ '2023-01-31T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 366.7 │ 400 │ 77.8 │     │  100  │  2405000  │ 8570822.2  │ 1878288.9  │   -2800   │     77800     │  16982400   │  16904600   │  0.4  │ 100  │ 2405000  │ 0.3 │      │          │     │
│    6    │ 24.05 │ 24.05 │ 24.05 │ 24.05 │     │          │   7100    │  2000   │ 48100000 │ 98927000  │ 1675170840000 │ '2023-01-31T13:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 366.7 │ 400 │ 77.8 │     │ 2000  │ 48100000  │ 8570822.2  │ 1878288.9  │   -800    │   48177800    │  65082400   │  16904600   │  7.2  │ 2000 │ 48100000 │ 5.5 │      │          │     │
│    7    │ 24.2  │ 24.2  │ 24.05 │ 24.05 │     │          │   7500    │   400   │ 9635000  │ 108562000 │ 1675170960000 │ '2023-01-31T13:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 366.7 │ 400 │ 77.8 │     │  400  │  9635000  │ 8570822.2  │ 1878288.9  │   -400    │   57812800    │  74717400   │  16904600   │  1.4  │ 400  │ 9635000  │ 1.1 │      │          │     │
│    8    │ 24.2  │ 24.2  │ 24.2  │ 24.2  │     │          │   7600    │   100   │ 2420000  │ 110982000 │ 1675176240000 │ '2023-01-31T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 366.7 │ 400 │ 77.8 │     │  100  │  2420000  │ 8570822.2  │ 1878288.9  │   -300    │   60232800    │  77137400   │  16904600   │  0.4  │ 100  │ 2420000  │ 0.3 │      │          │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴─────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

