┌─────────┬─────┬─────┬─────┬─────┬────────┬───────────┬───────────┬─────────┬───────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬─────────┬─────┬─────┬─────────┬────────────┬────────────┬─────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c  │  h  │  l  │  o  │   sd   │  val_sd   │ total_vol │ sum_vol │    val    │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │   asd   │ auk │ rsd │  bu-sd  │ bu-sd_val  │ avg_val_bu │ avg_val_sd  │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼─────┼─────┼─────┼─────┼────────┼───────────┼───────────┼─────────┼───────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼─────────┼─────┼─────┼─────────┼────────────┼────────────┼─────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │ 122500 │ 845250000 │  122500   │ 122500  │ 845250000 │ 845250000  │ 1675155600000 │ '2023-01-31T09:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 7.7 │ -122500 │ -845250000 │     0      │ 110265833.3 │  -122500  │  -845250000   │      0      │  845250000  │  7.7  │
│    1    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │  2200  │ 15180000  │  124700   │  2200   │ 15180000  │ 860430000  │ 1675155900000 │ '2023-01-31T09:05:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 0.1 │  -2200  │ -15180000  │     0      │ 110265833.3 │  -124700  │  -860430000   │      0      │  860430000  │  0.1  │
│    2    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │ 10200  │ 70380000  │  134900   │  10200  │ 70380000  │ 930810000  │ 1675156200000 │ '2023-01-31T09:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 0.6 │ -10200  │ -70380000  │     0      │ 110265833.3 │  -134900  │  -930810000   │      0      │  930810000  │  0.6  │
│    3    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │ 101300 │ 698970000 │  236200   │ 101300  │ 698970000 │ 1629780000 │ 1675156500000 │ '2023-01-31T09:15:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 6.3 │ -101300 │ -698970000 │     0      │ 110265833.3 │  -236200  │  -1629780000  │      0      │ 1629780000  │  6.3  │
│    4    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │ 67800  │ 467820000 │  304000   │  67800  │ 467820000 │ 2097600000 │ 1675156800000 │ '2023-01-31T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 4.2 │ -67800  │ -467820000 │     0      │ 110265833.3 │  -304000  │  -2097600000  │      0      │ 2097600000  │  4.2  │
│    5    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │ 73200  │ 505080000 │  377200   │  73200  │ 505080000 │ 2602680000 │ 1675157100000 │ '2023-01-31T09:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 4.6 │ -73200  │ -505080000 │     0      │ 110265833.3 │  -377200  │  -2602680000  │      0      │ 2602680000  │  4.6  │
│    6    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │  4100  │ 28290000  │  381300   │  4100   │ 28290000  │ 2630970000 │ 1675157400000 │ '2023-01-31T09:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 0.3 │  -4100  │ -28290000  │     0      │ 110265833.3 │  -381300  │  -2630970000  │      0      │ 2630970000  │  0.3  │
│    7    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │ 10600  │ 73140000  │  391900   │  10600  │ 73140000  │ 2704110000 │ 1675157700000 │ '2023-01-31T09:35:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 0.7 │ -10600  │ -73140000  │     0      │ 110265833.3 │  -391900  │  -2704110000  │      0      │ 2704110000  │  0.7  │
│    8    │ 6.9 │ 6.9 │ 6.9 │ 6.9 │  6300  │ 43470000  │  398200   │  6300   │ 43470000  │ 2747580000 │ 1675158000000 │ '2023-01-31T09:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 15980.6 │  0  │ 0.4 │  -6300  │ -43470000  │     0      │ 110265833.3 │  -398200  │  -2747580000  │      0      │ 2747580000  │  0.4  │
