"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-25899700,-376915582000,4471622085000,1307000,243200,3115639000,"2023-01-31T10:56:00.000Z",1675162560000,1063800,2396400,244710200,25600,46133509000,24411621000,21295982000,425906000
-26061700,-379895105000,4514694771000,1014100,-162000,-2979523000,"2023-01-31T10:58:00.000Z",1675162680000,1176100,2217400,246927600,27200,43072686000,19874933000,22854456000,343297000
-26821700,-388076678000,4563424428000,955400,-760000,-8181573000,"2023-01-31T11:00:00.000Z",1675162800000,1715400,2671500,249599100,700,48729657000,20267859000,28449432000,12366000
-27727500,-391902131000,4622082568000,1157800,-905800,-3825453000,"2023-01-31T11:02:00.000Z",1675162920000,2063600,3223200,252822300,1800,58658140000,27407504000,31232957000,17679000
-27908200,-396482780000,4682148413000,1496000,-180700,-4580649000,"2023-01-31T11:04:00.000Z",1675163040000,1676700,3189100,256011400,16400,60065845000,27648652000,32229301000,187892000
-28291600,-402224224000,4736372928000,1521800,-383400,-5741444000,"2023-01-31T11:06:00.000Z",1675163160000,1905200,3428000,259439400,1000,54224515000,24237864000,29979308000,7343000
-29412200,-418708789000,4801991172000,1209800,-1120600,-16484565000,"2023-01-31T11:08:00.000Z",1675163280000,2330400,3550800,262990200,10600,65618244000,24457247000,40941812000,219185000
-31162300,-444557340000,4872014859000,811900,-1750100,-25848551000,"2023-01-31T11:10:00.000Z",1675163400000,2562000,3378500,266368700,4600,70023687000,22069034000,47917585000,37068000
-33513700,-480724447000,4939364407000,715800,-2351400,-36167107000,"2023-01-31T11:12:00.000Z",1675163520000,3067200,3795700,270164400,12700,67349548000,15503526000,51670633000,175389000
-34945400,-511128325000,5001811959000,906600,-1431700,-30403878000,"2023-01-31T11:14:00.000Z",1675163640000,2338300,3263200,273427600,18300,62447552000,15937871000,46341749000,167932000
-37458900,-555337185000,5085190063000,1106700,-2513500,-44208860000,"2023-01-31T11:16:00.000Z",1675163760000,3620200,4764600,278192200,37700,83378104000,19309702000,63518562000,549840000
-38976200,-573128861000,5145809485000,1070800,-1517300,-17791676000,"2023-01-31T11:18:00.000Z",1675163880000,2588100,3660800,281853000,1900,60619422000,21407180000,39198856000,13386000
-40118900,-591335036000,5203089308000,1022000,-1142700,-18206175000,"2023-01-31T11:20:00.000Z",1675164000000,2164700,3227200,285080200,40500,57279823000,18977416000,37183591000,1118816000
-40947800,-603629254000,5256818748000,1184700,-828900,-12294218000,"2023-01-31T11:22:00.000Z",1675164120000,2013600,3210900,288291100,12600,53729440000,20686643000,32980861000,61936000.00000001
-41609500,-616692873000,5312516053000,1201400,-661700,-13063619000,"2023-01-31T11:24:00.000Z",1675164240000,1863100,3069400,291360500,4900,55697305000,21262878000,34326497000,107930000
-42090800,-623410485000,5355530433000,1011800,-481300,-6717612000,"2023-01-31T11:26:00.000Z",1675164360000,1493100,2507500,293868000,2600,43014380000,18089964000,24807576000,116840000
-44486500,-653671970000,5429335430000,995100,-2395700,-30261485000,"2023-01-31T11:28:00.000Z",1675164480000,3390800,4411900,298279900,26000,73804997000,21639676000,51901161000,264160000
-44537900,-655053605000,5430891345000,4600,-51400,-1381635000,"2023-01-31T11:30:00.000Z",1675164600000,56000,60600,298340500,0,1555915000,87140000,1468775000,0
-49777700,-724590505000,5647083546000,4039500,-5239800,-69536900000,"2023-01-31T13:00:00.000Z",1675170000000,9279300,13627400,311967900,308600,216192201000,71005540000,140542440000,4644221000
-53568000,-778193868000,5756291157000,1532000,-3790300,-53603363000,"2023-01-31T13:02:00.000Z",1675170120000,5322300,6957100,318925000,102800,109207611000,27517129000,81120492000,569990000
-54241800,-774722818000,5900637443000,3655000,-673800,3471050000,"2023-01-31T13:04:00.000Z",1675170240000,4328800,8018200,326943200,34400,144346286000,73344830000,69873780000,1127676000
-53694300,-769010651000,6000064149000,2979900,547500,5712167000,"2023-01-31T13:06:00.000Z",1675170360000,2432400,5483100,332426300,70800,99426706000,51974497000,46262330000,1189879000
-53165300,-753150520000,6093367411000,2959600,529000,15860131000,"2023-01-31T13:08:00.000Z",1675170480000,2430600,5419800,337846100,29600,93303262000,54490089000,38629958000,183215000
-53363500,-754960149000,6186874552000,2523500,-198200,-1809629000,"2023-01-31T13:10:00.000Z",1675170600000,2721700,5298400,343144500,53200,93507141000,45313971000,47123600000,1069570000
