┌─────────┬─────┬─────┬─────┬─────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬───────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬──────┬──────┬──────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │  auk  │ rsd  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │  val_uk  │ ruk  │  bu  │  val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼───────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼──────┼──────┼──────────┼─────┤
│    0    │ 6.4 │ 6.4 │ 6.4 │ 6.4 │ 100  │  640000  │    100    │   100   │  640000  │ 121820000 │ 1670406360000 │ '2022-12-07T09:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1009.1 │ 372.7 │ 381.8 │ 0.3  │ -100  │  -640000  │ 6598181.8  │ 2421818.2  │   -100    │    -640000    │      0      │   640000    │  0.2  │      │          │      │      │          │     │
│    1    │ 6.7 │ 6.7 │ 6.7 │ 6.7 │      │          │    300    │   200   │ 1340000  │ 123160000 │ 1670418840000 │ '2022-12-07T13:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1009.1 │ 372.7 │ 381.8 │      │   0   │     0     │ 6598181.8  │ 2421818.2  │   -100    │    -640000    │      0      │   640000    │   0   │ 200  │ 1340000  │ 0.5  │      │          │     │
│    2    │ 6.8 │ 6.8 │ 6.8 │ 6.8 │      │          │    600    │   300   │ 2040000  │ 125200000 │ 1670419560000 │ '2022-12-07T13:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1009.1 │ 372.7 │ 381.8 │      │  300  │  2040000  │ 6598181.8  │ 2421818.2  │    200    │    1400000    │   2040000   │   640000    │  0.5  │      │          │      │ 300  │ 2040000  │ 0.3 │
│    3    │ 6.7 │ 6.7 │ 6.7 │ 6.7 │      │          │    700    │  1400   │ 9380000  │ 65280000  │ 1670419800000 │ '2022-12-07T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1009.1 │ 372.7 │ 381.8 │      │ 1400  │  9380000  │ 6598181.8  │ 2421818.2  │   1600    │   10780000    │  11420000   │   640000    │  2.2  │      │          │      │ 1400 │ 9380000  │ 1.4 │
│    4    │ 6.8 │ 6.8 │ 6.8 │ 6.8 │      │          │    700    │   100   │  680000  │ 125880000 │ 1670420520000 │ '2022-12-07T13:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1009.1 │ 372.7 │ 381.8 │      │  100  │  680000   │ 6598181.8  │ 2421818.2  │   1700    │   11460000    │  12100000   │   640000    │  0.2  │      │          │      │ 100  │  680000  │ 0.1 │
│    5    │ 6.5 │ 6.5 │ 6.5 │ 6.5 │ 4000 │ 26000000 │   2700    │  4000   │ 26000000 │ 78280000  │ 1670423160000 │ '2022-12-07T14:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1009.1 │ 372.7 │ 381.8 │ 10.7 │ -4000 │ -26000000 │ 6598181.8  │ 2421818.2  │   -2300   │   -14540000   │  12100000   │  26640000   │  6.2  │      │          │      │      │          │     │
│    6    │ 6.5 │ 6.5 │ 6.5 │ 6.5 │      │          │   4700    │  4000   │ 26000000 │ 91280000  │ 1670423280000 │ '2022-12-07T14:28:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1009.1 │ 372.7 │ 381.8 │      │   0   │     0     │ 6598181.8  │ 2421818.2  │   -2300   │   -14540000   │  12100000   │  26640000   │   0   │ 4000 │ 26000000 │ 10.5 │      │          │     │
│    7    │ 6.5 │ 6.5 │ 6.5 │ 6.5 │      │          │   6700    │  4000   │ 26000000 │ 104280000 │ 1670423400000 │ '2022-12-07T14:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1009.1 │ 372.7 │ 381.8 │      │ 4000  │ 26000000  │ 6598181.8  │ 2421818.2  │   1700    │   11460000    │  38100000   │  26640000   │  6.2  │      │          │      │ 4000 │ 26000000 │  4  │
│    8    │ 6.8 │ 6.8 │ 6.8 │ 6.8 │      │          │    800    │   100   │  680000  │ 126560000 │ 1670423520000 │ '2022-12-07T14:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1009.1 │ 372.7 │ 381.8 │      │  100  │  680000   │ 6598181.8  │ 2421818.2  │   1800    │   12140000    │  38780000   │  26640000   │  0.2  │      │          │      │ 100  │  680000  │ 0.1 │
│    9    │ 6.5 │ 6.5 │ 6.5 │ 6.5 │      │          │   6800    │   200   │ 1300000  │ 104930000 │ 1670423880000 │ '2022-12-07T14:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1009.1 │ 372.7 │ 381.8 │      │  200  │  1300000  │ 6598181.8  │ 2421818.2  │   2000    │   13440000    │  40080000   │  26640000   │  0.3  │      │          │      │ 200  │ 1300000  │ 0.2 │
│   10    │ 6.5 │ 6.5 │ 6.5 │ 6.5 │      │          │   9300    │  5000   │ 32500000 │ 121180000 │ 1670425080000 │ '2022-12-07T14:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1009.1 │ 372.7 │ 381.8 │      │ 5000  │ 32500000  │ 6598181.8  │ 2421818.2  │   7000    │   45940000    │  72580000   │  26640000   │  7.8  │      │          │      │ 5000 │ 32500000 │  5  │
└─────────┴─────┴─────┴─────┴─────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴───────┴───────┴──────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴──────┴──────┴──────────┴─────┘

