┌─────────┬──────┬──────┬──────┬──────┬───────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬────────┬──────┬─────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬───────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk   │  val_uk   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd   │ auk  │ ruk │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │ val_bu  │ rbu │  sd   │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼───────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼────────┼──────┼─────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼───────┼──────────┼─────┤
│    0    │ 7200 │ 7200 │ 7200 │ 7200 │ 18000 │ 129600000 │   18000   │  18000  │ 129600000 │ 129600000 │ 1677142800000 │ '2023-02-23T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 344.4 │ 1111.1 │ 2000 │  9  │   0    │     0     │ 2445555.6  │ 7555555.6  │     0     │       0       │      0      │      0      │  -0   │     │         │     │       │          │     │
│    1    │ 7100 │ 7100 │ 7100 │ 7100 │       │           │   18500   │   500   │  3550000  │ 133150000 │ 1677145200000 │ '2023-02-23T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 1111.1 │ 2000 │     │  500   │  3550000  │ 2445555.6  │ 7555555.6  │    500    │    3550000    │   3550000   │      0      │ -0.7  │ 500 │ 3550000 │ 1.5 │       │          │     │
│    2    │ 7100 │ 7100 │ 7100 │ 7100 │       │           │   18900   │   400   │  2840000  │ 135990000 │ 1677146100000 │ '2023-02-23T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 1111.1 │ 2000 │     │  400   │  2840000  │ 2445555.6  │ 7555555.6  │    900    │    6390000    │   6390000   │      0      │ -0.6  │ 400 │ 2840000 │ 1.2 │       │          │     │
│    3    │ 7100 │ 7100 │ 7100 │ 7100 │       │           │   19500   │   600   │  4260000  │ 140250000 │ 1677147000000 │ '2023-02-23T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 1111.1 │ 2000 │     │  600   │  4260000  │ 2445555.6  │ 7555555.6  │   1500    │   10650000    │  10650000   │      0      │ -0.8  │ 600 │ 4260000 │ 1.7 │       │          │     │
│    4    │ 7100 │ 7100 │ 7100 │ 7100 │       │           │   19800   │   300   │  2130000  │ 142380000 │ 1677148500000 │ '2023-02-23T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 1111.1 │ 2000 │     │  300   │  2130000  │ 2445555.6  │ 7555555.6  │   1800    │   12780000    │  12780000   │      0      │ -0.4  │ 300 │ 2130000 │ 0.9 │       │          │     │
│    5    │ 7100 │ 7100 │ 7100 │ 7100 │       │           │   20300   │   500   │  3550000  │ 145930000 │ 1677148800000 │ '2023-02-23T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 1111.1 │ 2000 │     │  500   │  3550000  │ 2445555.6  │ 7555555.6  │   2300    │   16330000    │  16330000   │      0      │ -0.7  │ 500 │ 3550000 │ 1.5 │       │          │     │
│    6    │ 7100 │ 7100 │ 7100 │ 7100 │       │           │   20800   │   500   │  3550000  │ 149480000 │ 1677157800000 │ '2023-02-23T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 1111.1 │ 2000 │     │  500   │  3550000  │ 2445555.6  │ 7555555.6  │   2800    │   19880000    │  19880000   │      0      │ -0.7  │ 500 │ 3550000 │ 1.5 │       │          │     │
│    7    │ 6800 │ 6800 │ 6800 │ 6800 │       │           │   30800   │  10000  │ 68000000  │ 217480000 │ 1677158100000 │ '2023-02-23T13:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 344.4 │ 1111.1 │ 2000 │     │ -10000 │ -68000000 │ 2445555.6  │ 7555555.6  │   -7200   │   -48120000   │  19880000   │  68000000   │ 13.3  │     │         │     │ 10000 │ 68000000 │  9  │
│    8    │ 7100 │ 7100 │ 7100 │ 7100 │       │           │   31100   │   300   │  2130000  │ 219610000 │ 1677158400000 │ '2023-02-23T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 1111.1 │ 2000 │     │  300   │  2130000  │ 2445555.6  │ 7555555.6  │   -6900   │   -45990000   │  22010000   │  68000000   │ -0.4  │ 300 │ 2130000 │ 0.9 │       │          │     │
└─────────┴──────┴──────┴──────┴──────┴───────┴───────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴────────┴──────┴─────┴────────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴───────┴──────────┴─────┘

