┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk  │ val_uk  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │ val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┼─────┼─────────┼─────┤
│    0    │ 3600 │ 3600 │ 3600 │ 3600 │ 1200 │ 4320000 │   1200    │  1200   │ 4320000 │ 4320000  │ 1677143100000 │ '2023-02-23T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 122.2 │ 277.8 │ 133.3 │  9  │   0   │     0     │  428888.9  │  972222.2  │     0     │       0       │      0      │      0      │  -0   │      │         │     │     │         │     │
│    1    │ 3500 │ 3500 │ 3500 │ 3500 │      │         │   1600    │   400   │ 1400000 │ 5720000  │ 1677150000000 │ '2023-02-23T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 277.8 │ 133.3 │     │ -400  │ -1400000  │  428888.9  │  972222.2  │   -400    │   -1400000    │      0      │   1400000   │  2.6  │ 400  │ 1400000 │ 1.4 │     │         │     │
│    2    │ 3500 │ 3500 │ 3500 │ 3500 │      │         │   1800    │   200   │ 700000  │ 6420000  │ 1677150900000 │ '2023-02-23T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 277.8 │ 133.3 │     │ -200  │  -700000  │  428888.9  │  972222.2  │   -600    │   -2100000    │      0      │   2100000   │  1.3  │ 200  │ 700000  │ 0.7 │     │         │     │
│    3    │ 3500 │ 3500 │ 3500 │ 3500 │      │         │   2500    │   700   │ 2450000 │ 8870000  │ 1677157200000 │ '2023-02-23T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 277.8 │ 133.3 │     │ -700  │ -2450000  │  428888.9  │  972222.2  │   -1300   │   -4550000    │      0      │   4550000   │  4.5  │ 700  │ 2450000 │ 2.5 │     │         │     │
│    4    │ 3500 │ 3500 │ 3500 │ 3500 │      │         │   3600    │  1100   │ 3850000 │ 12720000 │ 1677157500000 │ '2023-02-23T13:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 277.8 │ 133.3 │     │ -1100 │ -3850000  │  428888.9  │  972222.2  │   -2400   │   -8400000    │      0      │   8400000   │  7.1  │ 1100 │ 3850000 │  4  │     │         │     │
│    5    │ 3600 │ 3600 │ 3600 │ 3600 │      │         │   3700    │   100   │ 360000  │ 13080000 │ 1677160200000 │ '2023-02-23T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 122.2 │ 277.8 │ 133.3 │     │  100  │  360000   │  428888.9  │  972222.2  │   -2300   │   -8040000    │   360000    │   8400000   │ -0.7  │      │         │     │ 100 │ 360000  │ 0.8 │
│    6    │ 3500 │ 3500 │ 3500 │ 3500 │      │         │   4400    │   700   │ 2450000 │ 15530000 │ 1677161400000 │ '2023-02-23T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 122.2 │ 277.8 │ 133.3 │     │  700  │  2450000  │  428888.9  │  972222.2  │   -1600   │   -5590000    │   2810000   │   8400000   │ -4.5  │      │         │     │ 700 │ 2450000 │ 5.7 │
│    7    │ 3500 │ 3500 │ 3500 │ 3500 │      │         │   4700    │   300   │ 1050000 │ 16580000 │ 1677161700000 │ '2023-02-23T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 122.2 │ 277.8 │ 133.3 │     │  300  │  1050000  │  428888.9  │  972222.2  │   -1300   │   -4540000    │   3860000   │   8400000   │ -1.9  │      │         │     │ 300 │ 1050000 │ 2.5 │
│    8    │ 3500 │ 3500 │ 3500 │ 3500 │      │         │   4800    │   100   │ 350000  │ 16930000 │ 1677163500000 │ '2023-02-23T14:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 277.8 │ 133.3 │     │ -100  │  -350000  │  428888.9  │  972222.2  │   -1400   │   -4890000    │   3860000   │   8750000   │  0.6  │ 100  │ 350000  │ 0.4 │     │         │     │
└─────────┴──────┴──────┴──────┴──────┴──────┴─────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴─────┴─────┴─────────┴─────┘

