┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┬──────┬─────────┬──────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu  │ rbu │  sd  │ val_sd  │ rsd  │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┼──────┼─────────┼──────┤
│    0    │ 1100 │ 1100 │ 1100 │ 1100 │ 200 │ 220000 │    200    │   200   │  220000  │  220000  │ 1676624700000 │ '2023-02-17T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 4233.3 │ 220 │ 13.3 │ 15  │   0   │     0     │ 4329333.3  │  236666.7  │     0     │       0       │      0      │      0      │   0   │       │          │     │      │         │      │
│    1    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │    400    │   200   │  220000  │  440000  │ 1676625000000 │ '2023-02-17T09:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4233.3 │ 220 │ 13.3 │     │  200  │  220000   │ 4329333.3  │  236666.7  │    200    │    220000     │   220000    │      0      │  0.1  │  200  │  220000  │  0  │      │         │      │
│    2    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   1300    │   900   │  990000  │ 1430000  │ 1676625600000 │ '2023-02-17T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4233.3 │ 220 │ 13.3 │     │  900  │  990000   │ 4329333.3  │  236666.7  │   1100    │    1210000    │   1210000   │      0      │  0.2  │  900  │  990000  │ 0.2 │      │         │      │
│    3    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   1400    │   100   │  110000  │ 1540000  │ 1676627700000 │ '2023-02-17T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 4233.3 │ 220 │ 13.3 │     │ -100  │  -110000  │ 4329333.3  │  236666.7  │   1000    │    1100000    │   1210000   │   110000    │  -0   │       │          │     │ 100  │ 110000  │ 0.5  │
│    4    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   3800    │  2400   │ 2640000  │ 4180000  │ 1676630100000 │ '2023-02-17T10:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 4233.3 │ 220 │ 13.3 │     │ -2400 │ -2640000  │ 4329333.3  │  236666.7  │   -1400   │   -1540000    │   1210000   │   2750000   │ -0.6  │       │          │     │ 2400 │ 2640000 │ 10.9 │
│    5    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   4000    │   200   │  220000  │ 4400000  │ 1676631900000 │ '2023-02-17T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4233.3 │ 220 │ 13.3 │     │  200  │  220000   │ 4329333.3  │  236666.7  │   -1200   │   -1320000    │   1430000   │   2750000   │  0.1  │  200  │  220000  │  0  │      │         │      │
│    6    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   4700    │   700   │  770000  │ 5170000  │ 1676639400000 │ '2023-02-17T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4233.3 │ 220 │ 13.3 │     │  700  │  770000   │ 4329333.3  │  236666.7  │   -500    │    -550000    │   2200000   │   2750000   │  0.2  │  700  │  770000  │ 0.2 │      │         │      │
│    7    │ 1000 │ 1000 │ 1000 │ 1000 │     │        │   5500    │   800   │  800000  │ 5970000  │ 1676640900000 │ '2023-02-17T13:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 4233.3 │ 220 │ 13.3 │     │ -800  │  -800000  │ 4329333.3  │  236666.7  │   -1300   │   -1350000    │   2200000   │   3550000   │ -0.2  │       │          │     │ 800  │ 800000  │ 3.6  │
│    8    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   13900   │  8400   │ 9240000  │ 15210000 │ 1676641200000 │ '2023-02-17T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4233.3 │ 220 │ 13.3 │     │ 8400  │  9240000  │ 4329333.3  │  236666.7  │   7100    │    7890000    │  11440000   │   3550000   │  2.3  │ 8400  │ 9240000  │  2  │      │         │      │
│    9    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   15700   │  1800   │ 1980000  │ 17190000 │ 1676641500000 │ '2023-02-17T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4233.3 │ 220 │ 13.3 │     │ 1800  │  1980000  │ 4329333.3  │  236666.7  │   8900    │    9870000    │  13420000   │   3550000   │  0.5  │ 1800  │ 1980000  │ 0.4 │      │         │      │
│   10    │ 1100 │ 1100 │ 1100 │ 1100 │     │        │   17900   │  2200   │ 2420000  │ 19610000 │ 1676642700000 │ '2023-02-17T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 4233.3 │ 220 │ 13.3 │     │ 2200  │  2420000  │ 4329333.3  │  236666.7  │   11100   │   12290000    │  15840000   │   3550000   │  0.6  │ 2200  │ 2420000  │ 0.5 │      │         │      │
