┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 1700 │ 1700 │ 1700 │ 1700 │ 500  │ 850000  │    500    │   500   │  850000  │  850000  │ 1676625480000 │ '2023-02-17T09:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 857.1 │ 107.1 │  0  │ 4.7 │ -500  │  -850000  │ 1542857.1  │  182142.9  │   -500    │    -850000    │      0      │   850000    │ -0.6  │      │          │     │
│    1    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   1500    │  1000   │ 1800000  │ 2650000  │ 1676627160000 │ '2023-02-17T09:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │ 1000  │  1800000  │ 1542857.1  │  182142.9  │    500    │    950000     │   1800000   │   850000    │  1.3  │ 1000 │ 1800000  │ 1.2 │
│    2    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   1600    │   100   │  180000  │ 2830000  │ 1676628720000 │ '2023-02-17T10:12:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │  100  │  180000   │ 1542857.1  │  182142.9  │    600    │    1130000    │   1980000   │   850000    │  0.1  │ 100  │  180000  │ 0.1 │
│    3    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   1700    │   100   │  180000  │ 3010000  │ 1676630400000 │ '2023-02-17T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │  100  │  180000   │ 1542857.1  │  182142.9  │    700    │    1310000    │   2160000   │   850000    │  0.1  │ 100  │  180000  │ 0.1 │
│    4    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   2000    │   300   │  540000  │ 3550000  │ 1676630520000 │ '2023-02-17T10:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │  300  │  540000   │ 1542857.1  │  182142.9  │   1000    │    1850000    │   2700000   │   850000    │  0.4  │ 300  │  540000  │ 0.4 │
│    5    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   2600    │   600   │ 1080000  │ 4630000  │ 1676631000000 │ '2023-02-17T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │  600  │  1080000  │ 1542857.1  │  182142.9  │   1600    │    2930000    │   3780000   │   850000    │  0.8  │ 600  │ 1080000  │ 0.7 │
│    6    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   2700    │   100   │  180000  │ 4810000  │ 1676631120000 │ '2023-02-17T10:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │  100  │  180000   │ 1542857.1  │  182142.9  │   1700    │    3110000    │   3960000   │   850000    │  0.1  │ 100  │  180000  │ 0.1 │
│    7    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   8400    │  5700   │ 10260000 │ 15070000 │ 1676639400000 │ '2023-02-17T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │ 5700  │ 10260000  │ 1542857.1  │  182142.9  │   7400    │   13370000    │  14220000   │   850000    │  7.5  │ 5700 │ 10260000 │ 6.7 │
│    8    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   9000    │   600   │ 1080000  │ 16150000 │ 1676640720000 │ '2023-02-17T13:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │  600  │  1080000  │ 1542857.1  │  182142.9  │   8000    │   14450000    │  15300000   │   850000    │  0.8  │ 600  │ 1080000  │ 0.7 │
│    9    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   10000   │  1000   │ 1800000  │ 17950000 │ 1676642040000 │ '2023-02-17T13:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │ 1000  │  1800000  │ 1542857.1  │  182142.9  │   9000    │   16250000    │  17100000   │   850000    │  1.3  │ 1000 │ 1800000  │ 1.2 │
│   10    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   11000   │  1000   │ 1800000  │ 19750000 │ 1676643600000 │ '2023-02-17T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │ 1000  │  1800000  │ 1542857.1  │  182142.9  │   10000   │   18050000    │  18900000   │   850000    │  1.3  │ 1000 │ 1800000  │ 1.2 │
│   11    │ 1700 │ 1700 │ 1700 │ 1700 │ 1000 │ 1700000 │   12000   │  1000   │ 1700000  │ 21450000 │ 1676643840000 │ '2023-02-17T14:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 857.1 │ 107.1 │  0  │ 9.3 │ -1000 │ -1700000  │ 1542857.1  │  182142.9  │   9000    │   16350000    │  18900000   │   2550000   │ -1.2  │      │          │     │
│   12    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   13000   │  1000   │ 1800000  │ 23250000 │ 1676644080000 │ '2023-02-17T14:28:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │ 1000  │  1800000  │ 1542857.1  │  182142.9  │   10000   │   18150000    │  20700000   │   2550000   │  1.3  │ 1000 │ 1800000  │ 1.2 │
│   13    │ 1800 │ 1800 │ 1800 │ 1800 │      │         │   13500   │   500   │  900000  │ 24150000 │ 1676644920000 │ '2023-02-17T14:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 857.1 │ 107.1 │  0  │     │  500  │  900000   │ 1542857.1  │  182142.9  │   10500   │   19050000    │  21600000   │   2550000   │  0.7  │ 500  │  900000  │ 0.6 │
└─────────┴──────┴──────┴──────┴──────┴──────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

