┌─────────┬──────┬──────┬──────┬──────┬────────┬────────────┬───────────┬─────────┬────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬───────┬─────┬──────┬─────────┬─────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd  │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼────────┼────────────┼───────────┼─────────┼────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼───────┼─────┼──────┼─────────┼─────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 2870 │ 2870 │ 2870 │ 2870 │ 686600 │ 1970542000 │  686600   │ 686600  │ 1970542000 │ 1970542000 │ 1676625240000 │ '2023-02-17T09:14:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 49.4 │ -686600 │ -1970542000 │     0      │  39893000  │  -686600  │  -1970542000  │      0      │ 1970542000  │ 49.4  │
│    1    │ 2870 │ 2870 │ 2870 │ 2870 │  2800  │  8036000   │  689400   │  2800   │  8036000   │ 1978578000 │ 1676625360000 │ '2023-02-17T09:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.2  │  -2800  │  -8036000   │     0      │  39893000  │  -689400  │  -1978578000  │      0      │ 1978578000  │  0.2  │
│    2    │ 2870 │ 2870 │ 2870 │ 2870 │ 11500  │  33005000  │  700900   │  11500  │  33005000  │ 2011583000 │ 1676625480000 │ '2023-02-17T09:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.8  │ -11500  │  -33005000  │     0      │  39893000  │  -700900  │  -2011583000  │      0      │ 2011583000  │  0.8  │
│    3    │ 2870 │ 2870 │ 2870 │ 2870 │  6900  │  19803000  │  707800   │  6900   │  19803000  │ 2031386000 │ 1676625600000 │ '2023-02-17T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.5  │  -6900  │  -19803000  │     0      │  39893000  │  -707800  │  -2031386000  │      0      │ 2031386000  │  0.5  │
│    4    │ 2870 │ 2870 │ 2870 │ 2870 │ 26900  │  77203000  │  734700   │  26900  │  77203000  │ 2108589000 │ 1676625720000 │ '2023-02-17T09:22:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 1.9  │ -26900  │  -77203000  │     0      │  39893000  │  -734700  │  -2108589000  │      0      │ 2108589000  │  1.9  │
│    5    │ 2870 │ 2870 │ 2870 │ 2870 │  1000  │  2870000   │  735700   │  1000   │  2870000   │ 2111459000 │ 1676625840000 │ '2023-02-17T09:24:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.1  │  -1000  │  -2870000   │     0      │  39893000  │  -735700  │  -2111459000  │      0      │ 2111459000  │  0.1  │
│    6    │ 2870 │ 2870 │ 2870 │ 2870 │  300   │   861000   │  736000   │   300   │   861000   │ 2112320000 │ 1676625960000 │ '2023-02-17T09:26:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -300   │   -861000   │     0      │  39893000  │  -736000  │  -2112320000  │      0      │ 2112320000  │   0   │
│    7    │ 2870 │ 2870 │ 2870 │ 2870 │ 10000  │  28700000  │  746000   │  10000  │  28700000  │ 2141020000 │ 1676626080000 │ '2023-02-17T09:28:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.7  │ -10000  │  -28700000  │     0      │  39893000  │  -746000  │  -2141020000  │      0      │ 2141020000  │  0.7  │
│    8    │ 2870 │ 2870 │ 2870 │ 2870 │  4400  │  12628000  │  750400   │  4400   │  12628000  │ 2153648000 │ 1676626200000 │ '2023-02-17T09:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.3  │  -4400  │  -12628000  │     0      │  39893000  │  -750400  │  -2153648000  │      0      │ 2153648000  │  0.3  │
│    9    │ 2870 │ 2870 │ 2870 │ 2870 │  4000  │  11480000  │  754400   │  4000   │  11480000  │ 2165128000 │ 1676626320000 │ '2023-02-17T09:32:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.3  │  -4000  │  -11480000  │     0      │  39893000  │  -754400  │  -2165128000  │      0      │ 2165128000  │  0.3  │
│   10    │ 2870 │ 2870 │ 2870 │ 2870 │  6500  │  18655000  │  760900   │  6500   │  18655000  │ 2183783000 │ 1676626440000 │ '2023-02-17T09:34:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.5  │  -6500  │  -18655000  │     0      │  39893000  │  -760900  │  -2183783000  │      0      │ 2183783000  │  0.5  │
│   11    │ 2870 │ 2870 │ 2870 │ 2870 │  2500  │  7175000   │  763400   │  2500   │  7175000   │ 2190958000 │ 1676626680000 │ '2023-02-17T09:38:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.2  │  -2500  │  -7175000   │     0      │  39893000  │  -763400  │  -2190958000  │      0      │ 2190958000  │  0.2  │
│   12    │ 2870 │ 2870 │ 2870 │ 2870 │  4200  │  12054000  │  767600   │  4200   │  12054000  │ 2203012000 │ 1676626800000 │ '2023-02-17T09:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.3  │  -4200  │  -12054000  │     0      │  39893000  │  -767600  │  -2203012000  │      0      │ 2203012000  │  0.3  │
│   13    │ 2870 │ 2870 │ 2870 │ 2870 │  200   │   574000   │  767800   │   200   │   574000   │ 2203586000 │ 1676626920000 │ '2023-02-17T09:42:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -200   │   -574000   │     0      │  39893000  │  -767800  │  -2203586000  │      0      │ 2203586000  │   0   │
│   14    │ 2870 │ 2870 │ 2870 │ 2870 │  3000  │  8610000   │  770800   │  3000   │  8610000   │ 2212196000 │ 1676627520000 │ '2023-02-17T09:52:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.2  │  -3000  │  -8610000   │     0      │  39893000  │  -770800  │  -2212196000  │      0      │ 2212196000  │  0.2  │
│   15    │ 2870 │ 2870 │ 2870 │ 2870 │ 10000  │  28700000  │  780800   │  10000  │  28700000  │ 2240896000 │ 1676627640000 │ '2023-02-17T09:54:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.7  │ -10000  │  -28700000  │     0      │  39893000  │  -780800  │  -2240896000  │      0      │ 2240896000  │  0.7  │
│   16    │ 2870 │ 2870 │ 2870 │ 2870 │  1000  │  2870000   │  781800   │  1000   │  2870000   │ 2243766000 │ 1676627880000 │ '2023-02-17T09:58:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.1  │  -1000  │  -2870000   │     0      │  39893000  │  -781800  │  -2243766000  │      0      │ 2243766000  │  0.1  │
│   17    │ 2870 │ 2870 │ 2870 │ 2870 │  100   │   287000   │  781900   │   100   │   287000   │ 2244053000 │ 1676628000000 │ '2023-02-17T10:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -100   │   -287000   │     0      │  39893000  │  -781900  │  -2244053000  │      0      │ 2244053000  │   0   │
│   18    │ 2870 │ 2870 │ 2870 │ 2870 │  200   │   574000   │  782100   │   200   │   574000   │ 2244627000 │ 1676628240000 │ '2023-02-17T10:04:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -200   │   -574000   │     0      │  39893000  │  -782100  │  -2244627000  │      0      │ 2244627000  │   0   │
│   19    │ 2870 │ 2870 │ 2870 │ 2870 │  1100  │  3157000   │  783200   │  1100   │  3157000   │ 2247784000 │ 1676628720000 │ '2023-02-17T10:12:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.1  │  -1100  │  -3157000   │     0      │  39893000  │  -783200  │  -2247784000  │      0      │ 2247784000  │  0.1  │
│   20    │ 2870 │ 2870 │ 2870 │ 2870 │ 22200  │  63714000  │  805400   │  22200  │  63714000  │ 2311498000 │ 1676628960000 │ '2023-02-17T10:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 1.6  │ -22200  │  -63714000  │     0      │  39893000  │  -805400  │  -2311498000  │      0      │ 2311498000  │  1.6  │
├─────────┼──────┼──────┼──────┼──────┼────────┼────────────┼───────────┼─────────┼────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼───────┼─────┼──────┼─────────┼─────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│ (index) │  c   │  h   │  l   │  o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd  │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼────────┼────────────┼───────────┼─────────┼────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼───────┼─────┼──────┼─────────┼─────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│   21    │ 2870 │ 2870 │ 2870 │ 2870 │  600   │  1722000   │  806000   │   600   │  1722000   │ 2313220000 │ 1676629080000 │ '2023-02-17T10:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -600   │  -1722000   │     0      │  39893000  │  -806000  │  -2313220000  │      0      │ 2313220000  │   0   │
│   22    │ 2870 │ 2870 │ 2870 │ 2870 │  1100  │  3157000   │  807100   │  1100   │  3157000   │ 2316377000 │ 1676629200000 │ '2023-02-17T10:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.1  │  -1100  │  -3157000   │     0      │  39893000  │  -807100  │  -2316377000  │      0      │ 2316377000  │  0.1  │
│   23    │ 2870 │ 2870 │ 2870 │ 2870 │  3700  │  10619000  │  810800   │  3700   │  10619000  │ 2326996000 │ 1676629320000 │ '2023-02-17T10:22:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.3  │  -3700  │  -10619000  │     0      │  39893000  │  -810800  │  -2326996000  │      0      │ 2326996000  │  0.3  │
│   24    │ 2870 │ 2870 │ 2870 │ 2870 │  1500  │  4305000   │  812300   │  1500   │  4305000   │ 2331301000 │ 1676629440000 │ '2023-02-17T10:24:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.1  │  -1500  │  -4305000   │     0      │  39893000  │  -812300  │  -2331301000  │      0      │ 2331301000  │  0.1  │
│   25    │ 2870 │ 2870 │ 2870 │ 2870 │  500   │  1435000   │  812800   │   500   │  1435000   │ 2332736000 │ 1676629560000 │ '2023-02-17T10:26:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -500   │  -1435000   │     0      │  39893000  │  -812800  │  -2332736000  │      0      │ 2332736000  │   0   │
│   26    │ 2870 │ 2870 │ 2870 │ 2870 │  500   │  1435000   │  813300   │   500   │  1435000   │ 2334171000 │ 1676629800000 │ '2023-02-17T10:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -500   │  -1435000   │     0      │  39893000  │  -813300  │  -2334171000  │      0      │ 2334171000  │   0   │
│   27    │ 2870 │ 2870 │ 2870 │ 2870 │  200   │   574000   │  813500   │   200   │   574000   │ 2334745000 │ 1676630160000 │ '2023-02-17T10:36:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -200   │   -574000   │     0      │  39893000  │  -813500  │  -2334745000  │      0      │ 2334745000  │   0   │
│   28    │ 2870 │ 2870 │ 2870 │ 2870 │  1100  │  3157000   │  814600   │  1100   │  3157000   │ 2337902000 │ 1676630280000 │ '2023-02-17T10:38:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.1  │  -1100  │  -3157000   │     0      │  39893000  │  -814600  │  -2337902000  │      0      │ 2337902000  │  0.1  │
│   29    │ 2870 │ 2870 │ 2870 │ 2870 │  4300  │  12341000  │  818900   │  4300   │  12341000  │ 2350243000 │ 1676630400000 │ '2023-02-17T10:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.3  │  -4300  │  -12341000  │     0      │  39893000  │  -818900  │  -2350243000  │      0      │ 2350243000  │  0.3  │
│   30    │ 2870 │ 2870 │ 2870 │ 2870 │  100   │   287000   │  819000   │   100   │   287000   │ 2350530000 │ 1676630520000 │ '2023-02-17T10:42:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │  0   │  -100   │   -287000   │     0      │  39893000  │  -819000  │  -2350530000  │      0      │ 2350530000  │   0   │
│   31    │ 2870 │ 2870 │ 2870 │ 2870 │  2000  │  5740000   │  821000   │  2000   │  5740000   │ 2356270000 │ 1676630760000 │ '2023-02-17T10:46:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 13900 │  0  │ 0.1  │  -2000  │  -5740000   │     0      │  39893000  │  -821000  │  -2356270000  │      0      │ 2356270000  │  0.1  │
