┌─────────┬──────┬──────┬──────┬──────┬──────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │  val_bu   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 23.7 │ 23.7 │ 23.7 │ 23.7 │ 1200 │ 28440000  │   1200    │  1200   │ 28440000  │ 28440000  │ 1675679280000 │ '2023-02-06T10:28:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 545.5 │ 509.1 │  0  │ 2.2 │ 1200  │ 28440000  │ 13014545.5 │ 12021818.2 │   1200    │   28440000    │  28440000   │      0      │ 28.6  │      │          │     │
│    1    │ 23.9 │ 23.9 │ 23.9 │ 23.9 │ 4800 │ 114720000 │   6000    │  4800   │ 114720000 │ 143160000 │ 1675679880000 │ '2023-02-06T10:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 545.5 │ 509.1 │  0  │ 8.8 │ 4800  │ 114720000 │ 13014545.5 │ 12021818.2 │   6000    │   143160000   │  143160000  │      0      │ 115.6 │      │          │     │
│    2    │ 23.9 │ 23.9 │ 23.9 │ 23.9 │      │           │   6100    │   100   │  2390000  │ 145550000 │ 1675680360000 │ '2023-02-06T10:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -100  │ -2390000  │ 13014545.5 │ 12021818.2 │   5900    │   140770000   │  143160000  │   2390000   │  2.4  │ 100  │ 2390000  │ 0.2 │
│    3    │ 23.9 │ 23.9 │ 23.9 │ 23.9 │      │           │   6200    │   100   │  2390000  │ 147940000 │ 1675680480000 │ '2023-02-06T10:48:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -100  │ -2390000  │ 13014545.5 │ 12021818.2 │   5800    │   138380000   │  143160000  │   4780000   │  2.4  │ 100  │ 2390000  │ 0.2 │
│    4    │ 23.7 │ 23.7 │ 23.7 │ 23.7 │      │           │   6400    │   200   │  4740000  │ 152680000 │ 1675680600000 │ '2023-02-06T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -200  │ -4740000  │ 13014545.5 │ 12021818.2 │   5600    │   133640000   │  143160000  │   9520000   │  4.8  │ 200  │ 4740000  │ 0.4 │
│    5    │ 23.6 │ 23.6 │ 23.6 │ 23.6 │      │           │   6700    │   300   │  7080000  │ 159760000 │ 1675681440000 │ '2023-02-06T11:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -300  │ -7080000  │ 13014545.5 │ 12021818.2 │   5300    │   126560000   │  143160000  │  16600000   │  7.1  │ 300  │ 7080000  │ 0.6 │
│    6    │ 23.6 │ 23.6 │ 23.6 │ 23.6 │      │           │   6900    │   200   │  4720000  │ 164480000 │ 1675682520000 │ '2023-02-06T11:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -200  │ -4720000  │ 13014545.5 │ 12021818.2 │   5100    │   121840000   │  143160000  │  21320000   │  4.8  │ 200  │ 4720000  │ 0.4 │
│    7    │ 23.6 │ 23.6 │ 23.6 │ 23.6 │      │           │   7000    │   100   │  2360000  │ 166840000 │ 1675688400000 │ '2023-02-06T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -100  │ -2360000  │ 13014545.5 │ 12021818.2 │   5000    │   119480000   │  143160000  │  23680000   │  2.4  │ 100  │ 2360000  │ 0.2 │
│    8    │ 23.6 │ 23.6 │ 23.6 │ 23.6 │      │           │   8100    │  1100   │ 25960000  │ 192800000 │ 1675688880000 │ '2023-02-06T13:08:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -1100 │ -25960000 │ 13014545.5 │ 12021818.2 │   3900    │   93520000    │  143160000  │  49640000   │ 26.2  │ 1100 │ 25960000 │ 2.2 │
│    9    │ 23.6 │ 23.6 │ 23.6 │ 23.6 │      │           │   8600    │   500   │ 11800000  │ 204600000 │ 1675689480000 │ '2023-02-06T13:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -500  │ -11800000 │ 13014545.5 │ 12021818.2 │   3400    │   81720000    │  143160000  │  61440000   │ 11.9  │ 500  │ 11800000 │  1  │
│   10    │ 23.6 │ 23.6 │ 23.6 │ 23.6 │      │           │   11600   │  3000   │ 70800000  │ 275400000 │ 1675693080000 │ '2023-02-06T14:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 545.5 │ 509.1 │  0  │     │ -3000 │ -70800000 │ 13014545.5 │ 12021818.2 │    400    │   10920000    │  143160000  │  132240000  │ 71.3  │ 3000 │ 70800000 │ 5.9 │
