┌─────────┬───┬───┬───┬───┬──────┬────────┬───────────┬─────────┬───────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬────────┬─────┬──────┬────────┬─────┐
│ (index) │ c │ h │ l │ o │  uk  │ val_uk │ total_vol │ sum_vol │  val  │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │ val_sd │ rsd │  bu  │ val_bu │ rbu │
├─────────┼───┼───┼───┼───┼──────┼────────┼───────────┼─────────┼───────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼────────┼─────┼──────┼────────┼─────┤
│    0    │ 5 │ 5 │ 5 │ 5 │ 2400 │ 12000  │   2400    │  2400   │ 12000 │  12000   │ 1675675440000 │ '2023-02-06T09:24:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 823.1 │ 15.4 │ 184.6 │ 13  │   0   │     0     │   4115.4   │    76.9    │     0     │       0       │      0      │      0      │   0   │     │        │     │      │        │     │
│    1    │ 5 │ 5 │ 5 │ 5 │      │        │   2500    │   100   │  500  │  12500   │ 1675675560000 │ '2023-02-06T09:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 823.1 │ 15.4 │ 184.6 │     │ -100  │   -500    │   4115.4   │    76.9    │   -100    │     -500      │      0      │     500     │  0.1  │ 100 │  500   │ 6.5 │      │        │     │
│    2    │ 5 │ 5 │ 5 │ 5 │      │        │   3000    │   500   │ 2500  │  15000   │ 1675676520000 │ '2023-02-06T09:42:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │  500  │   2500    │   4115.4   │    76.9    │    400    │     2000      │    2500     │     500     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    3    │ 5 │ 5 │ 5 │ 5 │      │        │   3500    │   500   │ 2500  │  17500   │ 1675677000000 │ '2023-02-06T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │  500  │   2500    │   4115.4   │    76.9    │    900    │     4500      │    5000     │     500     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    4    │ 5 │ 5 │ 5 │ 5 │      │        │   3600    │   100   │  500  │  18000   │ 1675677600000 │ '2023-02-06T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 823.1 │ 15.4 │ 184.6 │     │ -100  │   -500    │   4115.4   │    76.9    │    800    │     4000      │    5000     │    1000     │  0.1  │ 100 │  500   │ 6.5 │      │        │     │
│    5    │ 5 │ 5 │ 5 │ 5 │      │        │   4000    │   400   │ 2000  │  20000   │ 1675677960000 │ '2023-02-06T10:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │  400  │   2000    │   4115.4   │    76.9    │   1200    │     6000      │    7000     │    1000     │  0.5  │     │        │     │ 400  │  2000  │ 0.5 │
│    6    │ 5 │ 5 │ 5 │ 5 │      │        │   4500    │   500   │ 2500  │  22500   │ 1675678200000 │ '2023-02-06T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │  500  │   2500    │   4115.4   │    76.9    │   1700    │     8500      │    9500     │    1000     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    7    │ 5 │ 5 │ 5 │ 5 │      │        │   8500    │  4000   │ 20000 │  42500   │ 1675678920000 │ '2023-02-06T10:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │ 4000  │   20000   │   4115.4   │    76.9    │   5700    │     28500     │    29500    │    1000     │   5   │     │        │     │ 4000 │ 20000  │ 4.9 │
│    8    │ 5 │ 5 │ 5 │ 5 │      │        │   9000    │   500   │ 2500  │  45000   │ 1675688640000 │ '2023-02-06T13:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │  500  │   2500    │   4115.4   │    76.9    │   6200    │     31000     │    32000    │    1000     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    9    │ 5 │ 5 │ 5 │ 5 │      │        │   9100    │   100   │  500  │  45500   │ 1675690320000 │ '2023-02-06T13:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │  100  │    500    │   4115.4   │    76.9    │   6300    │     31500     │    32500    │    1000     │  0.1  │     │        │     │ 100  │  500   │ 0.1 │
│   10    │ 5 │ 5 │ 5 │ 5 │      │        │   12800   │  3700   │ 18500 │  64000   │ 1675693200000 │ '2023-02-06T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 823.1 │ 15.4 │ 184.6 │     │ 3700  │   18500   │   4115.4   │    76.9    │   10000   │     50000     │    51000    │    1000     │  4.6  │     │        │     │ 3700 │ 18500  │ 4.5 │
