"symbol","time","close","open","high","low","vol"
"SWC",1696819200,24.1,24.1,24.1,24.1,100
"SWC",1696834800,23.8,23.8,23.8,23.8,500
"SWC",1696836000,23.8,23.8,23.8,23.8,800
"SWC",1696906800,24,24,24,24,100
"SWC",1696907100,24.2,24.2,24.2,24.2,1800
"SWC",1696922400,23.8,23.8,23.8,23.8,500
"SWC",1696923600,23.8,23.8,23.8,23.8,500
"SWC",1697004600,24,24,24,24,700
"SWC",1697005200,24,24,24,24,1300
"SWC",1697005800,24,24,24,24,2000
"SWC",1697006400,24,24,24,24,500
"SWC",1697010600,24,24,24,24,1600
"SWC",1697080200,24,24,24,24,800
"SWC",1697082600,24,24,24,24,2000
"SWC",1697090400,24,24,24,24,100
"SWC",1697091000,24.4,24.4,24.4,24.4,2400
"SWC",1697092500,24.4,24.4,24.4,24.4,2700
"SWC",1697093400,24.4,24.4,24.4,24.4,3000
"SWC",1697094300,24.4,24.4,24.4,24.4,700
"SWC",1697094600,24.4,24.4,24.4,24.4,200
"SWC",1697096100,24.5,24.5,24.5,24.5,100
"SWC",1697097300,24.5,24.5,24.5,24.5,700
