"symbol","time","close","open","high","low","vol"
"TCR",1696822500,3.45,3.45,3.45,3.45,100
"TCR",1696905900,3.5,3.5,3.5,3.5,400
"TCR",1696907400,3.5,3.5,3.5,3.5,100
"TCR",1696908000,3.5,3.5,3.5,3.5,400
"TCR",1696908300,3.5,3.5,3.5,3.5,100
"TCR",1696993800,3.3,3.46,3.46,3.3,1000
"TCR",1696994100,3.3,3.3,3.3,3.3,1000
"TCR",1696998300,3.5,3.5,3.5,3.5,100
"TCR",1697005800,3.32,3.32,3.32,3.32,900
"TCR",1697007600,3.32,3.33,3.33,3.32,1000
"TCR",1697077200,3.32,3.32,3.32,3.32,2000
"TCR",1697079900,3.53,3.53,3.53,3.53,100
"TCR",1697091000,3.52,3.4,3.52,3.4,700
