"symbol","time","close","open","high","low","vol"
"HSV",1696818900,3.7,3.7,3.7,3.7,700
"HSV",1696822500,4,4,4,4,100
"HSV",1696831500,3.9,3.9,3.9,3.9,100
"HSV",1696833000,3.8,3.8,3.8,3.8,3700
"HSV",1696835400,3.9,3.9,3.9,3.9,100
"HSV",1696835700,3.8,3.8,3.8,3.8,100
"HSV",1696904400,3.9,3.9,3.9,3.9,100
"HSV",1696906800,3.9,3.9,3.9,3.9,200
"HSV",1696907700,3.9,3.9,3.9,3.9,3400
"HSV",1696910100,3.9,3.9,3.9,3.9,400
"HSV",1696911900,3.9,3.9,3.9,3.9,100
"HSV",1696918200,3.8,3.8,3.8,3.8,4900
"HSV",1696918500,3.8,3.8,3.8,3.8,12000
"HSV",1696918800,3.8,3.8,3.8,3.8,3300
"HSV",1696919100,3.8,3.8,3.8,3.8,400
"HSV",1696919400,3.8,3.8,3.8,3.8,300
"HSV",1696919700,3.8,3.8,3.8,3.8,500
"HSV",1696920300,3.8,3.8,3.8,3.8,300
"HSV",1696920900,3.9,3.8,3.9,3.8,7500
"HSV",1696921200,4,3.9,4,3.9,3300
"HSV",1696921500,3.9,3.9,3.9,3.9,300
"HSV",1696998000,3.9,3.9,3.9,3.9,1000
"HSV",1696998300,3.9,3.9,3.9,3.9,100
"HSV",1697004000,3.9,3.9,3.9,3.9,500
"HSV",1697005200,3.9,3.9,3.9,3.9,1500
"HSV",1697078700,3.8,3.8,3.8,3.8,100
"HSV",1697080500,3.9,3.9,3.9,3.9,100
"HSV",1697083500,3.8,3.8,3.8,3.8,100
"HSV",1697090700,3.8,3.8,3.8,3.8,3000
"HSV",1697091600,3.8,3.8,3.8,3.8,3500
"HSV",1697093400,3.9,3.9,3.9,3.9,4000
"HSV",1697093700,3.9,3.9,3.9,3.9,3100
"HSV",1697094000,4.1,4.1,4.1,4.1,100
"HSV",1697094300,3.9,3.9,3.9,3.9,3000
"HSV",1697095200,3.9,3.9,3.9,3.9,300
