"symbol","time","close","open","high","low","vol"
"CDC",1696817700,19.85,19.75,19.85,19.75,13900
"CDC",1696818000,19.75,19.8,19.8,19.75,8300
"CDC",1696818300,19.8,19.8,19.8,19.8,2900
"CDC",1696818600,19.85,19.85,19.9,19.85,10800
"CDC",1696818900,19.85,19.9,19.9,19.8,12600
"CDC",1696819200,19.85,19.85,19.9,19.85,6900
"CDC",1696819500,19.9,19.9,19.9,19.9,6300
"CDC",1696819800,19.9,19.85,19.9,19.85,10700
"CDC",1696820100,19.9,19.85,19.95,19.8,9300
"CDC",1696820400,19.8,19.85,19.85,19.8,6800
"CDC",1696820700,19.8,19.85,19.85,19.8,5500
"CDC",1696821000,19.85,19.85,19.85,19.85,5200
"CDC",1696821300,19.8,19.85,19.85,19.8,4600
"CDC",1696821600,19.85,19.85,19.9,19.8,8500
"CDC",1696821900,19.85,19.9,19.9,19.85,6600
"CDC",1696822200,19.95,19.85,19.95,19.85,7200
"CDC",1696822500,19.9,19.95,20,19.9,5300
"CDC",1696822800,19.85,19.9,19.95,19.85,7200
"CDC",1696823100,19.95,19.95,19.95,19.9,8800
"CDC",1696823400,19.9,19.95,19.95,19.85,10700
"CDC",1696823700,19.9,19.9,19.9,19.9,4200
"CDC",1696824000,19.9,19.9,19.9,19.85,5900
"CDC",1696824300,19.9,19.85,19.9,19.85,400
"CDC",1696824600,19.9,19.85,19.9,19.85,4200
"CDC",1696824900,19.9,19.9,19.95,19.9,12900
"CDC",1696825200,19.85,19.9,19.95,19.85,16800
"CDC",1696825500,19.85,19.85,19.85,19.85,12900
"CDC",1696833300,19.75,19.85,19.85,19.75,123300
"CDC",1696833600,19.75,19.75,19.75,19.75,16300
"CDC",1696833900,19.75,19.75,19.75,19.75,17800
"CDC",1696834200,19.75,19.75,19.75,19.7,30900
"CDC",1696834500,19.75,19.75,19.75,19.7,21500
"CDC",1696834800,19.75,19.75,19.75,19.7,17400
"CDC",1696835100,19.75,19.75,19.75,19.7,22700
"CDC",1696835400,19.7,19.75,19.75,19.6,21000
"CDC",1696835700,19.75,19.7,19.75,19.7,13900
"CDC",1696836000,19.6,19.7,19.7,19.6,5300
"CDC",1696836300,19.7,19.6,19.7,19.5,10600
"CDC",1696837500,19.8,19.8,19.8,19.8,200
"CDC",1696904100,19.8,19.8,19.85,19.8,10400
"CDC",1696904400,19.9,19.85,19.95,19.85,12600
"CDC",1696904700,19.9,19.9,19.9,19.85,7000
"CDC",1696905000,19.9,19.9,19.9,19.9,6700
"CDC",1696905300,20,19.95,20,19.9,10700
"CDC",1696905600,19.9,20,20,19.9,5700
"CDC",1696905900,19.95,19.9,19.95,19.9,9300
"CDC",1696906200,19.95,19.95,20,19.95,9300
"CDC",1696906500,19.95,19.9,19.95,19.9,9400
"CDC",1696906800,20,19.95,20,19.95,4500
"CDC",1696907100,19.95,19.95,20,19.95,11500
"CDC",1696907400,20,19.95,20,19.95,4900
"CDC",1696907700,19.95,20,20.05,19.95,8300
"CDC",1696908000,19.95,19.95,19.95,19.9,4000
"CDC",1696908300,19.95,19.95,20,19.95,9800
"CDC",1696908600,19.95,19.9,19.95,19.9,12900
"CDC",1696908900,19.9,19.95,19.95,19.9,10500
"CDC",1696909200,19.9,19.95,20,19.9,13900
"CDC",1696909500,19.9,19.9,19.95,19.9,5500
"CDC",1696909800,19.9,19.9,19.9,19.9,2500
"CDC",1696910100,19.9,19.9,19.95,19.9,6900
"CDC",1696910700,19.95,19.9,19.95,19.9,16800
"CDC",1696911000,19.95,19.95,19.95,19.95,10500
