"symbol","time","close","open","high","low","vol"
"TVB",1696833300,5.01,5.04,5.15,5,47800
"TVB",1696833600,5.01,5.01,5.01,5.01,1500
"TVB",1696833900,5.01,5.01,5.01,5.01,4500
"TVB",1696834200,4.98,5,5,4.98,14900
"TVB",1696834500,4.99,4.98,4.99,4.98,3400
"TVB",1696834800,4.99,4.99,4.99,4.99,2000
"TVB",1696835100,5,4.99,5,4.99,7700
"TVB",1696835400,5,5.01,5.01,5,3200
"TVB",1696835700,5.02,5.02,5.02,5.02,200
"TVB",1696836000,5.01,5.02,5.02,5.01,3600
"TVB",1696836300,5,5,5,5,6000
"TVB",1696837500,5.01,5.01,5.01,5.01,1500
"TVB",1696917600,5.17,5.01,5.17,5.01,2700
"TVB",1696918200,5.05,5.1,5.1,5.05,1100
"TVB",1696918500,5.06,5.06,5.06,5.06,800
"TVB",1696918800,5.07,5.12,5.12,5.07,600
"TVB",1696919100,5.1,5.1,5.1,5.1,200
"TVB",1696919400,5.1,5.1,5.1,5.1,400
"TVB",1696919700,5.11,5.1,5.11,5.1,3800
"TVB",1696920000,5.1,5.1,5.1,5.1,2700
"TVB",1696920300,5.05,5.1,5.11,5.05,26000
"TVB",1696920600,5.04,5.05,5.08,5.04,26400
"TVB",1696920900,5.04,5.04,5.04,5.04,13000
"TVB",1696921200,5.05,5.05,5.05,5.04,400
"TVB",1696921500,5.04,5.05,5.05,5.04,1600
"TVB",1696921800,5.03,5.03,5.03,5.02,2500
"TVB",1696922100,5.02,5.03,5.04,5.02,13800
"TVB",1696922700,5.02,5.03,5.03,5.02,5600
"TVB",1696923000,5.02,5.02,5.02,5.02,42300
"TVB",1696923900,5.02,5.02,5.02,5.02,15000
"TVB",1697004300,5.02,5.03,5.03,5.02,400
"TVB",1697004600,5.03,5.02,5.03,5.02,11400
"TVB",1697004900,5.03,5.03,5.03,5.03,600
"TVB",1697005200,5.02,5.02,5.02,5.02,2200
"TVB",1697005500,5.02,5.02,5.02,5.02,2500
"TVB",1697005800,5.03,5.02,5.03,5.02,3600
"TVB",1697006100,5,5.04,5.05,5,8100
"TVB",1697006400,5.04,5.03,5.04,5.03,2400
"TVB",1697006700,5.05,5.02,5.05,5.02,15300
"TVB",1697007000,5.03,5.05,5.06,5.03,17700
"TVB",1697007300,5.02,5.03,5.03,5.02,10800
"TVB",1697007600,5.02,5.02,5.02,5.01,18300
"TVB",1697007900,5.02,5.02,5.02,5.02,1900
"TVB",1697008200,5.01,5.02,5.02,5.01,2000
"TVB",1697008500,5.02,5.02,5.02,5.01,7100
"TVB",1697008800,5.03,5.02,5.03,5.02,700
"TVB",1697009100,5.03,5.03,5.03,5.03,9900
"TVB",1697010300,5.05,5.05,5.05,5.05,12100
"TVB",1697090400,5.08,5.08,5.08,5.08,1400
"TVB",1697090700,5.1,5.08,5.1,5.08,15600
"TVB",1697091000,5.09,5.09,5.1,5.09,16100
"TVB",1697091300,5.09,5.09,5.1,5.08,20200
"TVB",1697091600,5.11,5.1,5.12,5.09,19800
"TVB",1697091900,5.12,5.11,5.12,5.11,29100
"TVB",1697092200,5.13,5.12,5.13,5.12,21700
"TVB",1697092500,5.12,5.12,5.13,5.11,4200
"TVB",1697092800,5.12,5.11,5.12,5.11,2900
"TVB",1697093100,5.11,5.12,5.12,5.11,16100
"TVB",1697093400,5.11,5.12,5.12,5.11,30900
"TVB",1697093700,5.1,5.1,5.1,5.09,37100
"TVB",1697094000,5.11,5.1,5.11,5.1,1000
"TVB",1697094300,5.1,5.1,5.1,5.09,3500
"TVB",1697094600,5.09,5.1,5.1,5.09,19300
"TVB",1697094900,5.1,5.09,5.1,5.09,1100
"TVB",1697095200,5.08,5.1,5.1,5.08,14800
"TVB",1697095500,5.11,5.08,5.11,5.08,6400
"TVB",1697096700,5.12,5.12,5.12,5.12,3400
