┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬─────┬─────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬───────┬──────────┬──────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk │ ruk │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │ val_bu  │ rbu │  sd   │  val_sd  │ rsd  │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼─────┼─────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼───────┼──────────┼──────┤
│    0    │ 2.83 │ 2.83 │ 2.83 │ 2.83 │ 300 │ 849000 │    300    │   300   │  849000  │  849000  │ 1672305240000 │ '2022-12-29T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 150 │ 866.7 │ 25  │ 12  │   0    │     0     │  420083.3  │ 2424666.7  │     0     │       0       │      0      │      0      │   0   │     │         │     │       │          │      │
│    1    │ 2.83 │ 2.83 │ 2.83 │ 2.83 │     │        │    700    │   400   │ 1132000  │ 1981000  │ 1672306440000 │ '2022-12-29T09:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  400   │  1132000  │  420083.3  │ 2424666.7  │    400    │    1132000    │   1132000   │      0      │  0.6  │ 400 │ 1132000 │ 2.7 │       │          │      │
│    2    │ 2.8  │ 2.8  │ 2.8  │ 2.8  │     │        │   10700   │  10000  │ 28000000 │ 29981000 │ 1672306560000 │ '2022-12-29T09:36:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 866.7 │ 25  │     │ -10000 │ -28000000 │  420083.3  │ 2424666.7  │   -9600   │   -26868000   │   1132000   │  28000000   │  14   │     │         │     │ 10000 │ 28000000 │ 11.5 │
│    3    │ 2.82 │ 2.82 │ 2.82 │ 2.82 │     │        │   10800   │   100   │  282000  │ 30263000 │ 1672307520000 │ '2022-12-29T09:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  100   │  282000   │  420083.3  │ 2424666.7  │   -9500   │   -26586000   │   1414000   │  28000000   │  0.1  │ 100 │ 282000  │ 0.7 │       │          │      │
│    4    │ 2.8  │ 2.8  │ 2.8  │ 2.8  │     │        │   10900   │   100   │  280000  │ 30543000 │ 1672312560000 │ '2022-12-29T11:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  100   │  280000   │  420083.3  │ 2424666.7  │   -9400   │   -26306000   │   1694000   │  28000000   │  0.1  │ 100 │ 280000  │ 0.7 │       │          │      │
│    5    │ 2.79 │ 2.79 │ 2.79 │ 2.79 │     │        │   11000   │   100   │  279000  │ 30822000 │ 1672321680000 │ '2022-12-29T13:48:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  100   │  279000   │  420083.3  │ 2424666.7  │   -9300   │   -26027000   │   1973000   │  28000000   │  0.1  │ 100 │ 279000  │ 0.7 │       │          │      │
│    6    │ 2.79 │ 2.79 │ 2.79 │ 2.79 │     │        │   11100   │   100   │  279000  │ 31101000 │ 1672321920000 │ '2022-12-29T13:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  100   │  279000   │  420083.3  │ 2424666.7  │   -9200   │   -25748000   │   2252000   │  28000000   │  0.1  │ 100 │ 279000  │ 0.7 │       │          │      │
│    7    │ 2.78 │ 2.78 │ 2.78 │ 2.78 │     │        │   11200   │   100   │  278000  │ 31379000 │ 1672322280000 │ '2022-12-29T13:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  100   │  278000   │  420083.3  │ 2424666.7  │   -9100   │   -25470000   │   2530000   │  28000000   │  0.1  │ 100 │ 278000  │ 0.7 │       │          │      │
│    8    │ 2.79 │ 2.79 │ 2.79 │ 2.79 │     │        │   11500   │   300   │  837000  │ 32216000 │ 1672323120000 │ '2022-12-29T14:12:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  300   │  837000   │  420083.3  │ 2424666.7  │   -8800   │   -24633000   │   3367000   │  28000000   │  0.4  │ 300 │ 837000  │  2  │       │          │      │
│    9    │ 2.79 │ 2.79 │ 2.79 │ 2.79 │     │        │   12000   │   500   │ 1395000  │ 33611000 │ 1672323720000 │ '2022-12-29T14:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 866.7 │ 25  │     │  500   │  1395000  │  420083.3  │ 2424666.7  │   -8300   │   -23238000   │   4762000   │  28000000   │  0.7  │ 500 │ 1395000 │ 3.3 │       │          │      │
│   10    │ 2.73 │ 2.76 │ 2.73 │ 2.76 │     │        │   12400   │   400   │ 1096000  │ 34707000 │ 1672323840000 │ '2022-12-29T14:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 866.7 │ 25  │     │  -400  │ -1096000  │  420083.3  │ 2424666.7  │   -8700   │   -24334000   │   4762000   │  29096000   │  0.5  │     │         │     │  400  │ 1096000  │ 0.5  │
