┌─────────┬──────┬──────┬──────┬──────┬─────┬───────────────────┬───────────┬─────────┬────────────────────┬────────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬────────────────────┬────────────┬────────────┬───────────┬────────────────────┬────────────────────┬─────────────┬───────┬──────┬────────────────────┬─────┬─────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │      val_uk       │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │     bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │   acum_busd_val    │    acum_val_bu     │ acum_val_sd │ rbusd │  bu  │       val_bu       │ rbu │ sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼───────────────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼────────────────────┼────────────┼────────────┼───────────┼────────────────────┼────────────────────┼─────────────┼───────┼──────┼────────────────────┼─────┼─────┼──────────┼─────┤
│    0    │ 70.4 │ 70.4 │ 70.4 │ 70.4 │ 100 │ 7040000.000000001 │    100    │   100   │ 7040000.000000001  │ 7040000.000000001  │ 1672305240000 │ '2022-12-29T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 740 │ 60  │ 10  │ 10  │   0   │         0          │  53176000  │  4112000   │     0     │         0          │         0          │      0      │   0   │      │                    │     │     │          │     │
│    1    │ 70.4 │ 70.4 │ 70.4 │ 70.4 │     │                   │    300    │   200   │ 14080000.000000002 │ 21120000.000000004 │ 1672306560000 │ '2022-12-29T09:36:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 740 │ 60  │ 10  │     │  200  │ 14080000.000000002 │  53176000  │  4112000   │    200    │ 14080000.000000002 │ 14080000.000000002 │      0      │  0.3  │ 200  │ 14080000.000000002 │ 0.3 │     │          │     │
│    2    │ 69.9 │ 69.9 │ 69.9 │ 69.9 │     │                   │    500    │   200   │ 13980000.000000002 │ 35100000.00000001  │ 1672309680000 │ '2022-12-29T10:28:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 740 │ 60  │ 10  │     │  200  │ 13980000.000000002 │  53176000  │  4112000   │    400    │ 28060000.000000004 │ 28060000.000000004 │      0      │  0.3  │ 200  │ 13980000.000000002 │ 0.3 │     │          │     │
│    3    │ 69.8 │ 69.8 │ 69.8 │ 69.8 │     │                   │    600    │   100   │      6980000       │ 42080000.00000001  │ 1672312200000 │ '2022-12-29T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 740 │ 60  │ 10  │     │  100  │      6980000       │  53176000  │  4112000   │    500    │      35040000      │      35040000      │      0      │  0.1  │ 100  │      6980000       │ 0.1 │     │          │     │
│    4    │ 68.5 │ 68.6 │ 68.5 │ 68.6 │     │                   │    900    │   300   │      20560000      │ 62640000.00000001  │ 1672319040000 │ '2022-12-29T13:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 740 │ 60  │ 10  │     │ -300  │     -20560000      │  53176000  │  4112000   │    200    │      14480000      │      35040000      │  20560000   │  0.4  │      │                    │     │ 300 │ 20560000 │  5  │
│    5    │ 68.5 │ 68.6 │ 68.5 │ 68.6 │     │                   │   1200    │   300   │      20560000      │      83200000      │ 1672320840000 │ '2022-12-29T13:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 740 │ 60  │ 10  │     │ -300  │     -20560000      │  53176000  │  4112000   │   -100    │      -6080000      │      35040000      │  41120000   │  0.4  │      │                    │     │ 300 │ 20560000 │  5  │
│    6    │ 68.8 │ 68.8 │ 68.8 │ 68.8 │     │                   │   2300    │  1100   │      75680000      │     158880000      │ 1672321560000 │ '2022-12-29T13:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 740 │ 60  │ 10  │     │ 1100  │      75680000      │  53176000  │  4112000   │   1000    │      69600000      │     110720000      │  41120000   │  1.5  │ 1100 │      75680000      │ 1.5 │     │          │     │
│    7    │ 68.8 │ 68.8 │ 68.8 │ 68.8 │     │                   │   2500    │   200   │      13760000      │     172640000      │ 1672322640000 │ '2022-12-29T14:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 740 │ 60  │ 10  │     │  200  │      13760000      │  53176000  │  4112000   │   1200    │      83360000      │     124480000      │  41120000   │  0.3  │ 200  │      13760000      │ 0.3 │     │          │     │
│    8    │ 69.8 │ 69.8 │ 69.5 │ 69.5 │     │                   │   2800    │   300   │      20910000      │     193550000      │ 1672323600000 │ '2022-12-29T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 740 │ 60  │ 10  │     │  300  │      20910000      │  53176000  │  4112000   │   1500    │     104270000      │     145390000      │  41120000   │  0.4  │ 300  │      20910000      │ 0.4 │     │          │     │
│    9    │ 72.9 │ 72.9 │ 72.9 │ 72.9 │     │                   │   8100    │  5300   │ 386370000.00000006 │     579920000      │ 1672325040000 │ '2022-12-29T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 740 │ 60  │ 10  │     │ 5300  │ 386370000.00000006 │  53176000  │  4112000   │   6800    │ 490640000.00000006 │ 531760000.00000006 │  41120000   │  7.9  │ 5300 │ 386370000.00000006 │ 7.2 │     │          │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴───────────────────┴───────────┴─────────┴────────────────────┴────────────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴────────────────────┴────────────┴────────────┴───────────┴────────────────────┴────────────────────┴─────────────┴───────┴──────┴────────────────────┴─────┴─────┴──────────┴─────┘
