┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │ val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┼──────┼──────────┼─────┤
│    0    │ 5.49 │ 5.49 │ 5.49 │ 5.49 │ 100 │ 549000 │    100    │   100   │  549000  │  549000  │ 1671441240000 │ '2022-12-19T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 283.3 │ 238.9 │ 5.6 │ 17.9 │   0   │     0     │ 1556388.9  │ 1310055.6  │     0     │       0       │      0      │      0      │   0   │      │         │     │      │          │     │
│    1    │ 5.49 │ 5.49 │ 5.49 │ 5.49 │     │        │    200    │   100   │  549000  │ 1098000  │ 1671442320000 │ '2022-12-19T09:32:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 283.3 │ 238.9 │ 5.6 │      │ -100  │  -549000  │ 1556388.9  │ 1310055.6  │   -100    │    -549000    │      0      │   549000    │  2.2  │ 100  │ 549000  │ 0.4 │      │          │     │
│    2    │ 5.5  │ 5.5  │ 5.5  │ 5.5  │     │        │    300    │   100   │  550000  │ 1648000  │ 1671442680000 │ '2022-12-19T09:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 283.3 │ 238.9 │ 5.6 │      │  100  │  550000   │ 1556388.9  │ 1310055.6  │     0     │     1000      │   550000    │   549000    │  2.2  │      │         │     │ 100  │  550000  │ 0.4 │
│    3    │ 5.5  │ 5.5  │ 5.5  │ 5.5  │     │        │    700    │   400   │ 2200000  │ 3848000  │ 1671442800000 │ '2022-12-19T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 283.3 │ 238.9 │ 5.6 │      │  400  │  2200000  │ 1556388.9  │ 1310055.6  │    400    │    2201000    │   2750000   │   549000    │  8.9  │      │         │     │ 400  │ 2200000  │ 1.4 │
│    4    │ 5.5  │ 5.51 │ 5.5  │ 5.51 │     │        │   1200    │   500   │ 2752000  │ 6600000  │ 1671443520000 │ '2022-12-19T09:52:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 283.3 │ 238.9 │ 5.6 │      │ -500  │ -2752000  │ 1556388.9  │ 1310055.6  │   -100    │    -551000    │   2750000   │   3301000   │ 11.2  │ 500  │ 2752000 │ 2.1 │      │          │     │
│    5    │ 5.5  │ 5.5  │ 5.5  │ 5.5  │     │        │   1300    │   100   │  550000  │ 7150000  │ 1671444240000 │ '2022-12-19T10:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 283.3 │ 238.9 │ 5.6 │      │  100  │  550000   │ 1556388.9  │ 1310055.6  │     0     │     -1000     │   3300000   │   3301000   │  2.2  │      │         │     │ 100  │  550000  │ 0.4 │
│    6    │ 5.5  │ 5.5  │ 5.5  │ 5.5  │     │        │   2700    │  1400   │ 7700000  │ 14850000 │ 1671447480000 │ '2022-12-19T10:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 283.3 │ 238.9 │ 5.6 │      │ -1400 │ -7700000  │ 1556388.9  │ 1310055.6  │   -1400   │   -7701000    │   3300000   │  11001000   │ 31.3  │ 1400 │ 7700000 │ 5.9 │      │          │     │
│    7    │ 5.5  │ 5.5  │ 5.5  │ 5.5  │     │        │   2800    │   100   │  550000  │ 15400000 │ 1671448200000 │ '2022-12-19T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 283.3 │ 238.9 │ 5.6 │      │  100  │  550000   │ 1556388.9  │ 1310055.6  │   -1300   │   -7151000    │   3850000   │  11001000   │  2.2  │      │         │     │ 100  │  550000  │ 0.4 │
│    8    │ 5.5  │ 5.5  │ 5.5  │ 5.5  │     │        │   3000    │   200   │ 1100000  │ 16500000 │ 1671449040000 │ '2022-12-19T11:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 283.3 │ 238.9 │ 5.6 │      │  200  │  1100000  │ 1556388.9  │ 1310055.6  │   -1100   │   -6051000    │   4950000   │  11001000   │  4.5  │      │         │     │ 200  │ 1100000  │ 0.7 │
│    9    │ 5.5  │ 5.5  │ 5.49 │ 5.49 │     │        │   3400    │   400   │ 2198000  │ 18698000 │ 1671454800000 │ '2022-12-19T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 283.3 │ 238.9 │ 5.6 │      │ -400  │ -2198000  │ 1556388.9  │ 1310055.6  │   -1500   │   -8249000    │   4950000   │  13199000   │  8.9  │ 400  │ 2198000 │ 1.7 │      │          │     │
│   10    │ 5.5  │ 5.5  │ 5.5  │ 5.5  │     │        │   3700    │   300   │ 1650000  │ 20348000 │ 1671456480000 │ '2022-12-19T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 283.3 │ 238.9 │ 5.6 │      │ -300  │ -1650000  │ 1556388.9  │ 1310055.6  │   -1800   │   -9899000    │   4950000   │  14849000   │  6.7  │ 300  │ 1650000 │ 1.3 │      │          │     │
