┌─────────┬──────┬──────┬──────┬──────┬───────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬────────┬─────┬──────┬────────┬─────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │  sd   │       val_sd       │ total_vol │ sum_vol │        val         │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd  │ bu-sd  │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼───────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼────────┼─────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │ 58100 │     337561000      │   58100   │  58100  │     337561000      │ 337561000  │ 1671441240000 │ '2022-12-19T09:14:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │ 13.6 │ -58100 │     -337561000      │     0      │ 24886166.7 │  -58100   │  -337561000   │      0      │  337561000  │ 13.6  │
│    1    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │ 16100 │      93541000      │   74200   │  16100  │      93541000      │ 431102000  │ 1671441360000 │ '2022-12-19T09:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │ 3.8  │ -16100 │      -93541000      │     0      │ 24886166.7 │  -74200   │  -431102000   │      0      │  431102000  │  3.8  │
│    2    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │ 3300  │      19173000      │   77500   │  3300   │      19173000      │ 450275000  │ 1671441480000 │ '2022-12-19T09:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │ 0.8  │ -3300  │      -19173000      │     0      │ 24886166.7 │  -77500   │  -450275000   │      0      │  450275000  │  0.8  │
│    3    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │  100  │       581000       │   77600   │   100   │       581000       │ 450856000  │ 1671441600000 │ '2022-12-19T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │  0   │  -100  │       -581000       │     0      │ 24886166.7 │  -77600   │  -450856000   │      0      │  450856000  │   0   │
│    4    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │ 2400  │      13944000      │   80000   │  2400   │      13944000      │ 464800000  │ 1671441720000 │ '2022-12-19T09:22:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │ 0.6  │ -2400  │      -13944000      │     0      │ 24886166.7 │  -80000   │  -464800000   │      0      │  464800000  │  0.6  │
│    5    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │ 7800  │ 45317999.99999999  │   87800   │  7800   │ 45317999.99999999  │ 510118000  │ 1671441840000 │ '2022-12-19T09:24:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │ 1.8  │ -7800  │ -45317999.99999999  │     0      │ 24886166.7 │  -87800   │  -510118000   │      0      │  510118000  │  1.8  │
│    6    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │ 1000  │      5810000       │   88800   │  1000   │      5810000       │ 515928000  │ 1671441960000 │ '2022-12-19T09:26:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │ 0.2  │ -1000  │      -5810000       │     0      │ 24886166.7 │  -88800   │  -515928000   │      0      │  515928000  │  0.2  │
│    7    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │ 5300  │      30793000      │   94100   │  5300   │      30793000      │ 546721000  │ 1671442080000 │ '2022-12-19T09:28:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │ 1.2  │ -5300  │      -30793000      │     0      │ 24886166.7 │  -94100   │  -546721000   │      0      │  546721000  │  1.2  │
│    8    │ 5.81 │ 5.81 │ 5.81 │ 5.81 │  200  │      1162000       │   94300   │   200   │      1162000       │ 547883000  │ 1671442200000 │ '2022-12-19T09:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 4283.3 │  0  │  0   │  -200  │      -1162000       │     0      │ 24886166.7 │  -94300   │  -547883000   │      0      │  547883000  │   0   │
