┌─────────┬───────┬───────┬───────┬───────┬─────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬──────┐
│ (index) │   c   │   h   │   l   │   o   │ sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │  auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  uk  │  val_uk  │ ruk  │
├─────────┼───────┼───────┼───────┼───────┼─────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼──────┤
│    0    │ 13900 │ 13900 │ 13900 │ 13900 │ 200 │ 2780000  │    200    │   200   │ 2780000  │  2780000  │ 1678267200000 │ '2023-03-08T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 500 │ 100 │ 472.7 │  2  │ -200  │ -2780000  │  7100000   │ 1414545.5  │   -200    │   -2780000    │      0      │   2780000   │ -0.5  │      │          │     │      │          │      │
│    1    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │    500    │   300   │ 4260000  │  7040000  │ 1678269300000 │ '2023-03-08T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 500 │ 100 │ 472.7 │     │  300  │  4260000  │  7100000   │ 1414545.5  │    100    │    1480000    │   4260000   │   2780000   │  0.7  │ 300  │ 4260000  │ 0.6 │      │          │      │
│    2    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │   3500    │  3000   │ 42600000 │ 49640000  │ 1678269600000 │ '2023-03-08T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 500 │ 100 │ 472.7 │     │ 3000  │ 42600000  │  7100000   │ 1414545.5  │   3100    │   44080000    │  46860000   │   2780000   │  7.5  │ 3000 │ 42600000 │  6  │      │          │      │
│    3    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │   4900    │  1400   │ 19880000 │ 69520000  │ 1678270200000 │ '2023-03-08T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 500 │ 100 │ 472.7 │     │ 1400  │ 19880000  │  7100000   │ 1414545.5  │   4500    │   63960000    │  66740000   │   2780000   │  3.5  │ 1400 │ 19880000 │ 2.8 │      │          │      │
│    4    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │   9900    │  5000   │ 71000000 │ 140520000 │ 1678271400000 │ '2023-03-08T10:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 500 │ 100 │ 472.7 │     │   0   │     0     │  7100000   │ 1414545.5  │   4500    │   63960000    │  66740000   │   2780000   │   0   │      │          │     │ 5000 │ 71000000 │ 10.6 │
│    5    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │   10200   │   300   │ 4260000  │ 144780000 │ 1678273500000 │ '2023-03-08T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 500 │ 100 │ 472.7 │     │  300  │  4260000  │  7100000   │ 1414545.5  │   4800    │   68220000    │  71000000   │   2780000   │  0.7  │ 300  │ 4260000  │ 0.6 │      │          │      │
│    6    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │   10500   │   300   │ 4260000  │ 149040000 │ 1678280700000 │ '2023-03-08T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 500 │ 100 │ 472.7 │     │  300  │  4260000  │  7100000   │ 1414545.5  │   5100    │   72480000    │  75260000   │   2780000   │  0.7  │ 300  │ 4260000  │ 0.6 │      │          │      │
│    7    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │   10600   │   100   │ 1420000  │ 150460000 │ 1678282500000 │ '2023-03-08T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 500 │ 100 │ 472.7 │     │  100  │  1420000  │  7100000   │ 1414545.5  │   5200    │   73900000    │  76680000   │   2780000   │  0.2  │ 100  │ 1420000  │ 0.2 │      │          │      │
│    8    │ 14200 │ 14200 │ 14200 │ 14200 │ 900 │ 12780000 │   11500   │   900   │ 12780000 │ 163240000 │ 1678282800000 │ '2023-03-08T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 500 │ 100 │ 472.7 │  9  │ -900  │ -12780000 │  7100000   │ 1414545.5  │   4300    │   61120000    │  76680000   │  15560000   │ -2.2  │      │          │     │      │          │      │
│    9    │ 14200 │ 14200 │ 14200 │ 14200 │     │          │   11600   │   100   │ 1420000  │ 164660000 │ 1678283100000 │ '2023-03-08T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 500 │ 100 │ 472.7 │     │  100  │  1420000  │  7100000   │ 1414545.5  │   4400    │   62540000    │  78100000   │  15560000   │  0.2  │ 100  │ 1420000  │ 0.2 │      │          │      │
│   10    │ 14100 │ 14100 │ 14100 │ 14100 │     │          │   11800   │   200   │ 2820000  │ 167480000 │ 1678286100000 │ '2023-03-08T14:35:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 500 │ 100 │ 472.7 │     │   0   │     0     │  7100000   │ 1414545.5  │   4400    │   62540000    │  78100000   │  15560000   │   0   │      │          │     │ 200  │ 2820000  │ 0.4  │
