┌─────────┬───────┬───────┬───────┬───────┬─────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬──────┬─────┬───────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬───────────┬──────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │  val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd   │ rsd  │
├─────────┼───────┼───────┼───────┼───────┼─────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼──────┼─────┼───────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼───────────┼──────┤
│    0    │ 54500 │ 54500 │ 54500 │ 54500 │ 200 │ 10900000 │    200    │   200   │ 10900000  │ 10900000  │ 1678266900000 │ '2023-03-08T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 241.7 │ 175 │ 16.7 │ 12  │   0   │     0      │ 13066666.7 │  9450000   │     0     │       0       │      0      │      0      │   0   │      │          │     │      │           │      │
│    1    │ 54400 │ 54400 │ 54400 │ 54400 │     │          │    300    │   100   │  5440000  │ 16340000  │ 1678267200000 │ '2023-03-08T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │  100  │  5440000   │ 13066666.7 │  9450000   │    100    │    5440000    │   5440000   │      0      │  1.5  │ 100  │ 5440000  │ 0.4 │      │           │      │
│    2    │ 54400 │ 54400 │ 54400 │ 54400 │     │          │    400    │   100   │  5440000  │ 21780000  │ 1678267500000 │ '2023-03-08T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │  100  │  5440000   │ 13066666.7 │  9450000   │    200    │   10880000    │  10880000   │      0      │  1.5  │ 100  │ 5440000  │ 0.4 │      │           │      │
│    3    │ 54200 │ 54200 │ 54200 │ 54200 │     │          │    700    │   300   │ 16260000  │ 38040000  │ 1678269900000 │ '2023-03-08T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │  300  │  16260000  │ 13066666.7 │  9450000   │    500    │   27140000    │  27140000   │      0      │  4.5  │ 300  │ 16260000 │ 1.2 │      │           │      │
│    4    │ 54200 │ 54200 │ 54200 │ 54200 │     │          │    900    │   200   │ 10840000  │ 48880000  │ 1678272600000 │ '2023-03-08T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │  200  │  10840000  │ 13066666.7 │  9450000   │    700    │   37980000    │  37980000   │      0      │   3   │ 200  │ 10840000 │ 0.8 │      │           │      │
│    5    │ 54000 │ 54000 │ 54000 │ 54000 │     │          │   1000    │   100   │  5400000  │ 54280000  │ 1678273200000 │ '2023-03-08T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 241.7 │ 175 │ 16.7 │     │ -100  │  -5400000  │ 13066666.7 │  9450000   │    600    │   32580000    │  37980000   │   5400000   │ -1.5  │      │          │     │ 100  │  5400000  │ 0.6  │
│    6    │ 54000 │ 54000 │ 54000 │ 54000 │     │          │   3000    │  2000   │ 108000000 │ 162280000 │ 1678281000000 │ '2023-03-08T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 241.7 │ 175 │ 16.7 │     │ -2000 │ -108000000 │ 13066666.7 │  9450000   │   -1400   │   -75420000   │  37980000   │  113400000  │ -29.9 │      │          │     │ 2000 │ 108000000 │ 11.4 │
│    7    │ 54000 │ 54000 │ 54000 │ 54000 │     │          │   3600    │   600   │ 32400000  │ 194680000 │ 1678281900000 │ '2023-03-08T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │  600  │  32400000  │ 13066666.7 │  9450000   │   -800    │   -43020000   │  70380000   │  113400000  │   9   │ 600  │ 32400000 │ 2.5 │      │           │      │
│    8    │ 54000 │ 54000 │ 54000 │ 54000 │     │          │   4600    │  1000   │ 54000000  │ 248680000 │ 1678282800000 │ '2023-03-08T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │ 1000  │  54000000  │ 13066666.7 │  9450000   │    200    │   10980000    │  124380000  │  113400000  │ 14.9  │ 1000 │ 54000000 │ 4.1 │      │           │      │
│    9    │ 54000 │ 54000 │ 54000 │ 54000 │     │          │   5000    │   400   │ 21600000  │ 270280000 │ 1678283100000 │ '2023-03-08T13:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │  400  │  21600000  │ 13066666.7 │  9450000   │    600    │   32580000    │  145980000  │  113400000  │   6   │ 400  │ 21600000 │ 1.7 │      │           │      │
│   10    │ 54000 │ 54000 │ 54000 │ 54000 │     │          │   5100    │   100   │  5400000  │ 275680000 │ 1678284600000 │ '2023-03-08T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 241.7 │ 175 │ 16.7 │     │  100  │  5400000   │ 13066666.7 │  9450000   │    700    │   37980000    │  151380000  │  113400000  │  1.5  │ 100  │ 5400000  │ 0.4 │      │           │      │
