┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │  auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │  val_uk  │ ruk │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 13.9 │ 13.9 │ 13.9 │ 13.9 │ 100 │ 1390000 │    100    │   100   │ 1390000  │ 1390000  │ 1674033300000 │ '2023-01-18T09:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 800 │ 11.1 │ 277.8 │  9  │ -100  │ -1390000  │  1710600   │  154444.4  │   -100    │   -1390000    │      0      │   1390000   │ -0.9  │      │          │     │      │          │     │
│    1    │ 13.9 │ 13.9 │ 13.9 │ 13.9 │     │         │   1600    │  1500   │ 20850000 │ 22240000 │ 1674038400000 │ '2023-01-18T10:40:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 800 │ 11.1 │ 277.8 │     │   0   │     0     │  1710600   │  154444.4  │   -100    │   -1390000    │      0      │   1390000   │   0   │ 1500 │ 20850000 │ 5.4 │      │          │     │
│    2    │ 13.9 │ 13.9 │ 13.9 │ 13.9 │     │         │   2600    │  1000   │ 13900000 │ 36140000 │ 1674047100000 │ '2023-01-18T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 800 │ 11.1 │ 277.8 │     │ 1000  │ 13900000  │  1710600   │  154444.4  │    900    │   12510000    │  13900000   │   1390000   │  8.9  │      │          │     │ 1000 │ 13900000 │ 1.3 │
│    3    │  14  │  14  │  14  │  14  │     │         │   4600    │  2000   │  28000   │ 36168000 │ 1674048300000 │ '2023-01-18T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 800 │ 11.1 │ 277.8 │     │ 2000  │   28000   │  1710600   │  154444.4  │   2900    │   12538000    │  13928000   │   1390000   │   0   │      │          │     │ 2000 │  28000   │ 2.5 │
│    4    │ 14.1 │ 14.1 │ 14.1 │ 14.1 │     │         │   4700    │   100   │ 1410000  │ 37578000 │ 1674048600000 │ '2023-01-18T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 800 │ 11.1 │ 277.8 │     │  100  │  1410000  │  1710600   │  154444.4  │   3000    │   13948000    │  15338000   │   1390000   │  0.9  │      │          │     │ 100  │ 1410000  │ 0.1 │
│    5    │ 13.9 │ 13.9 │ 13.9 │ 13.9 │     │         │   5700    │  1000   │ 13900000 │ 51478000 │ 1674050400000 │ '2023-01-18T14:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 800 │ 11.1 │ 277.8 │     │   0   │     0     │  1710600   │  154444.4  │   3000    │   13948000    │  15338000   │   1390000   │   0   │ 1000 │ 13900000 │ 3.6 │      │          │     │
│    6    │  14  │  14  │  14  │  14  │     │         │   5800    │   100   │   1400   │ 51479400 │ 1674051000000 │ '2023-01-18T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 800 │ 11.1 │ 277.8 │     │  100  │   1400    │  1710600   │  154444.4  │   3100    │   13949400    │  15339400   │   1390000   │   0   │      │          │     │ 100  │   1400   │ 0.1 │
│    7    │  14  │  14  │  14  │  14  │     │         │   7800    │  2000   │  28000   │ 51507400 │ 1674052200000 │ '2023-01-18T14:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 800 │ 11.1 │ 277.8 │     │ 2000  │   28000   │  1710600   │  154444.4  │   5100    │   13977400    │  15367400   │   1390000   │   0   │      │          │     │ 2000 │  28000   │ 2.5 │
│    8    │  14  │  14  │  14  │  14  │     │         │   9800    │  2000   │  28000   │ 51535400 │ 1674053700000 │ '2023-01-18T14:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 800 │ 11.1 │ 277.8 │     │ 2000  │   28000   │  1710600   │  154444.4  │   7100    │   14005400    │  15395400   │   1390000   │   0   │      │          │     │ 2000 │  28000   │ 2.5 │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

