┌─────────┬───────────────┬─────────┬──────────┬──────────┬────────────────────┬──────────────┬────────────────────┬──────────┬────────────────────┬────────────────────────────┬───────────────┬───────────┬──────────┬─────────────────────┬───────────┬───────────────┐
│ (index) │   datetime    │   sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │  bu-sd   │      bu-sd_val      │ acum_busd │ acum_busd_val │
├─────────┼───────────────┼─────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼─────────────────────┼───────────┼───────────────┤
│    0    │ 1672218000000 │   300   │  24100   │    0     │      3090000       │  246620000   │         0          │  24400   │     249710000      │ '2022-12-28T09:00:00.000Z' │   249710000   │   24400   │  23800   │      243530000      │   23800   │   243530000   │
│    1    │ 1672218120000 │  1200   │    0     │    0     │      12360000      │      0       │         0          │   1200   │      12360000      │ '2022-12-28T09:02:00.000Z' │   262070000   │   25600   │  -1200   │      -12360000      │   22600   │   231170000   │
│    2    │ 1672218240000 │   500   │    0     │    0     │      5150000       │      0       │         0          │   500    │      5150000       │ '2022-12-28T09:04:00.000Z' │   267220000   │   26100   │   -500   │      -5150000       │   22100   │   226020000   │
│    3    │ 1672218360000 │   500   │    0     │    0     │      5150000       │      0       │         0          │   500    │      5150000       │ '2022-12-28T09:06:00.000Z' │   272370000   │   26600   │   -500   │      -5150000       │   21600   │   220870000   │
│    4    │ 1672218480000 │  2200   │    0     │    0     │      22660000      │      0       │         0          │   2200   │      22660000      │ '2022-12-28T09:08:00.000Z' │   295030000   │   28800   │  -2200   │      -22660000      │   19400   │   198210000   │
│    5    │ 1672218600000 │  3000   │    0     │    0     │ 30900000.000000004 │      0       │         0          │   3000   │ 30900000.000000004 │ '2022-12-28T09:10:00.000Z' │   325930000   │   31800   │  -3000   │ -30900000.000000004 │   16400   │   167310000   │
│    6    │ 1672218720000 │    0    │   1700   │    0     │         0          │   17680000   │         0          │   1700   │      17680000      │ '2022-12-28T09:12:00.000Z' │   343610000   │   33500   │   1700   │      17680000       │   18100   │   184990000   │
│    7    │ 1672218840000 │ 2673300 │ 1770200  │ 2926000  │    30971721800     │ 24693936700  │    36082655300     │ 7369500  │    91748313800     │ '2022-12-28T09:14:00.000Z' │  92091923800  │  7403000  │ -903100  │     -6277785100     │  -885000  │  -6092795100  │
│    8    │ 1672218960000 │ 1987000 │ 1695100  │  17300   │    30116164400     │ 21478258000  │     421438000      │ 3699400  │    52015860400     │ '2022-12-28T09:16:00.000Z' │ 144107784200  │ 11102400  │ -291900  │     -8637906400     │ -1176900  │ -14730701500  │
│    9    │ 1672219080000 │ 1751000 │ 1712200  │   6900   │    21010388500     │ 22369932200  │     104291500      │ 3470100  │    43484612200     │ '2022-12-28T09:18:00.000Z' │ 187592396400  │ 14572500  │  -38800  │     1359543700      │ -1215700  │ -13371157800  │
│   10    │ 1672219200000 │ 1443900 │ 1329200  │  16800   │    18573523300     │ 15106857000  │     197913000      │ 2789900  │    33878293300     │ '2022-12-28T09:20:00.000Z' │ 221470689700  │ 17362400  │ -114700  │     -3466666300     │ -1330400  │ -16837824100  │
│   11    │ 1672219320000 │ 1195500 │ 1217800  │   5900   │    15958969300     │ 20679993600  │     257635000      │ 2419200  │    36896597900     │ '2022-12-28T09:22:00.000Z' │ 258367287600  │ 19781600  │  22300   │     4721024300      │ -1308100  │ -12116799800  │
│   12    │ 1672219440000 │ 1460100 │ 1369700  │   3600   │    18320216800     │ 20224698900  │     145729600      │ 2833400  │    38690645300     │ '2022-12-28T09:24:00.000Z' │ 297057932900  │ 22615000  │  -90400  │     1904482100      │ -1398500  │ -10212317700  │
│   13    │ 1672219560000 │ 1908300 │ 1093300  │   9500   │    28417546700     │ 13033978000  │     181718800      │ 3011100  │    41633243500     │ '2022-12-28T09:26:00.000Z' │ 338691176400  │ 25626100  │ -815000  │    -15383568700     │ -2213500  │ -25595886400  │
│   14    │ 1672219680000 │ 1505500 │  545700  │   8200   │    18261451300     │  8575295500  │      95453700      │ 2059400  │    26932200500     │ '2022-12-28T09:28:00.000Z' │ 365623376900  │ 27685500  │ -959800  │     -9686155800     │ -3173300  │ -35282042200  │
│   15    │ 1672219800000 │ 1333900 │ 1361300  │  21900   │    19995844200     │ 19308980900  │     407876000      │ 2717100  │    39712701100     │ '2022-12-28T09:30:00.000Z' │ 405336078000  │ 30402600  │  27400   │     -686863300      │ -3145900  │ -35968905500  │
│   16    │ 1672219920000 │ 981800  │ 1292400  │  11000   │    10690310800     │ 19043296500  │     125682000      │ 2285200  │    29859289300     │ '2022-12-28T09:32:00.000Z' │ 435195367300  │ 32687800  │  310600  │     8352985700      │ -2835300  │ -27615919800  │
│   17    │ 1672220040000 │ 1044000 │ 1101700  │   1800   │    16520296400     │ 17299423400  │      55857000      │ 2147500  │    33875576800     │ '2022-12-28T09:34:00.000Z' │ 469070944100  │ 34835300  │  57700   │      779127000      │ -2777600  │ -26836792800  │
│   18    │ 1672220160000 │ 948200  │ 1753100  │  77200   │    10767544600     │ 21329214100  │ 672492599.9999999  │ 2778500  │    32769251300     │ '2022-12-28T09:36:00.000Z' │ 501840195400  │ 37613800  │  804900  │     10561669500     │ -1972700  │ -16275123300  │
│   19    │ 1672220280000 │ 602300  │ 1199000  │   1500   │     9416645500     │ 16684949100  │      32213000      │ 1802800  │    26133807600     │ '2022-12-28T09:38:00.000Z' │ 527974003000  │ 39416600  │  596700  │     7268303600      │ -1376000  │  -9006819700  │
│   20    │ 1672220400000 │ 1961500 │  920800  │   6300   │    28699368400     │ 12682644800  │      89772700      │ 2888600  │    41471785900     │ '2022-12-28T09:40:00.000Z' │ 569445788900  │ 42305200  │ -1040700 │    -16016723600     │ -2416700  │ -25023543300  │
├─────────┼───────────────┼─────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼─────────────────────┼───────────┼───────────────┤
│ (index) │   datetime    │   sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │  bu-sd   │      bu-sd_val      │ acum_busd │ acum_busd_val │
├─────────┼───────────────┼─────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼─────────────────────┼───────────┼───────────────┤
│   21    │ 1672220520000 │ 2149300 │  533700  │  22100   │    32394094200     │  7803278700  │     245535000      │ 2705100  │    40442907900     │ '2022-12-28T09:42:00.000Z' │ 609888696800  │ 45010300  │ -1615600 │    -24590815500     │ -4032300  │ -49614358800  │
│   22    │ 1672220640000 │ 1366900 │  651500  │   2200   │    20748816000     │ 10021678000  │      93396000      │ 2020600  │    30863890000     │ '2022-12-28T09:44:00.000Z' │ 640752586800  │ 47030900  │ -715400  │    -10727138000     │ -4747700  │ -60341496800  │
│   23    │ 1672220760000 │ 2304700 │  662600  │   9300   │    32305210400     │ 12187157700  │     226008700      │ 2976600  │    44718376800     │ '2022-12-28T09:46:00.000Z' │ 685470963600  │ 50007500  │ -1642100 │    -20118052700     │ -6389800  │ -80459549500  │
│   24    │ 1672220880000 │ 2237700 │  678000  │  17600   │    27119609200     │ 11239838300  │     225980000      │ 2933300  │    38585427500     │ '2022-12-28T09:48:00.000Z' │ 724056391100  │ 52940800  │ -1559700 │    -15879770900     │ -7949500  │ -96339320400  │
│   25    │ 1672221000000 │ 1590700 │  664500  │  24100   │    20947201600     │  8658209400  │     477445000      │ 2279300  │    30082856000     │ '2022-12-28T09:50:00.000Z' │ 754139247100  │ 55220100  │ -926200  │    -12288992200     │ -8875700  │ -108628312600 │
│   26    │ 1672221120000 │ 1214700 │  703500  │  10000   │    15560773500     │ 10232949900  │      99769000      │ 1928200  │    25893492400     │ '2022-12-28T09:52:00.000Z' │ 780032739500  │ 57148300  │ -511200  │     -5327823600     │ -9386900  │ -113956136200 │
│   27    │ 1672221240000 │ 772400  │ 1027000  │  10300   │    12291444100     │ 14193920900  │     103216000      │ 1809700  │    26588581000     │ '2022-12-28T09:54:00.000Z' │ 806621320500  │ 58958000  │  254600  │     1902476800      │ -9132300  │ -112053659400 │
│   28    │ 1672221360000 │ 613100  │ 1736400  │  13200   │     7644463300     │ 27342206800  │     201558000      │ 2362700  │    35188228100     │ '2022-12-28T09:56:00.000Z' │ 841809548600  │ 61320700  │ 1123300  │     19697743500     │ -8009000  │ -92355915900  │
│   29    │ 1672221480000 │ 700100  │ 1615700  │  39900   │    12545294300     │ 26547321600  │     390251600      │ 2355700  │    39482867500     │ '2022-12-28T09:58:00.000Z' │ 881292416100  │ 63676400  │  915600  │     14002027300     │ -7093400  │ -78353888600  │
│   30    │ 1672221600000 │ 1048800 │ 1565600  │   4700   │    16336800800     │ 22686969600  │      84184000      │ 2619100  │    39107954400     │ '2022-12-28T10:00:00.000Z' │ 920400370500  │ 66295500  │  516800  │     6350168800      │ -6576600  │ -72003719800  │
│   31    │ 1672221720000 │ 1861300 │  557800  │   5700   │    32140839100     │  8428465200  │     227524000      │ 2424800  │    40796828300     │ '2022-12-28T10:02:00.000Z' │ 961197198800  │ 68720300  │ -1303500 │    -23712373900     │ -7880100  │ -95716093700  │
│   32    │ 1672221840000 │ 795300  │  554100  │   6600   │    11614467700     │  9384662200  │      85828000      │ 1356000  │    21084957900     │ '2022-12-28T10:04:00.000Z' │ 982282156700  │ 70076300  │ -241200  │     -2229805500     │ -8121300  │ -97945899200  │
│   33    │ 1672221960000 │ 927700  │  732600  │   2100   │    14539160700     │ 10228120900  │      69157000      │ 1662400  │    24836438600     │ '2022-12-28T10:06:00.000Z' │ 1007118595300 │ 71738700  │ -195100  │     -4311039800     │ -8316400  │ -102256939000 │
│   34    │ 1672222080000 │ 1356700 │  385500  │  27800   │    21098346700     │  7950444700  │     363910000      │ 1770000  │    29412701400     │ '2022-12-28T10:08:00.000Z' │ 1036531296700 │ 73508700  │ -971200  │    -13147902000     │ -9287600  │ -115404841000 │
│   35    │ 1672222200000 │ 1106800 │  463200  │  14100   │    18589356300     │  7955642800  │     311973000      │ 1584100  │    26856972100     │ '2022-12-28T10:10:00.000Z' │ 1063388268800 │ 75092800  │ -643600  │    -10633713500     │ -9931200  │ -126038554500 │
│   36    │ 1672222320000 │ 556500  │  696700  │   100    │     8578189800     │ 12352123800  │ 3254999.9999999995 │ 1253300  │    20933568600     │ '2022-12-28T10:12:00.000Z' │ 1084321837400 │ 76346100  │  140200  │     3773934000      │ -9791000  │ -122264620500 │
│   37    │ 1672222440000 │ 656200  │  539800  │  21900   │     9621700100     │ 10389044100  │     1415888400     │ 1217900  │    21426632600     │ '2022-12-28T10:14:00.000Z' │ 1105748470000 │ 77564000  │ -116400  │      767344000      │ -9907400  │ -121497276500 │
│   38    │ 1672222560000 │ 1329800 │  399400  │   3700   │    15643354900     │  5987232300  │      33734200      │ 1732900  │    21664321400     │ '2022-12-28T10:16:00.000Z' │ 1127412791400 │ 79296900  │ -930400  │     -9656122600     │ -10837800 │ -131153399100 │
│   39    │ 1672222680000 │ 875500  │  782400  │   5900   │    12069901700     │ 14476096300  │     201860000      │ 1663800  │    26747858000     │ '2022-12-28T10:18:00.000Z' │ 1154160649400 │ 80960700  │  -93100  │     2406194600      │ -10930900 │ -128747204500 │
│   40    │ 1672222800000 │ 787200  │  626900  │  12400   │    11911794000     │ 13004559100  │     192583100      │ 1426500  │    25108936200     │ '2022-12-28T10:20:00.000Z' │ 1179269585600 │ 82387200  │ -160300  │     1092765100      │ -11091200 │ -127654439400 │
├─────────┼───────────────┼─────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼─────────────────────┼───────────┼───────────────┤
│ (index) │   datetime    │   sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │  bu-sd   │      bu-sd_val      │ acum_busd │ acum_busd_val │
├─────────┼───────────────┼─────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼─────────────────────┼───────────┼───────────────┤
│   41    │ 1672222920000 │ 1262700 │  704300  │   8000   │    11439270200     │ 10683288400  │     106863800      │ 1975000  │    22229422400     │ '2022-12-28T10:22:00.000Z' │ 1201499008000 │ 84362200  │ -558400  │     -755981800      │ -11649600 │ -128410421200 │
│   42    │ 1672223040000 │ 666900  │ 1246500  │   5300   │     8264290100     │ 20585275800  │     177560000      │ 1918700  │    29027125900     │ '2022-12-28T10:24:00.000Z' │ 1230526133900 │ 86280900  │  579600  │     12320985700     │ -11070000 │ -116089435500 │
│   43    │ 1672223160000 │ 623900  │ 1554700  │   2900   │     8331039400     │ 22608816900  │      16212800      │ 2181500  │    30956069100     │ '2022-12-28T10:26:00.000Z' │ 1261482203000 │ 88462400  │  930800  │     14277777500     │ -10139200 │ -101811658000 │
│   44    │ 1672223280000 │ 727500  │ 1520700  │  18400   │    13589513000     │ 23486777600  │     846498000      │ 2266600  │    37922788600     │ '2022-12-28T10:28:00.000Z' │ 1299404991600 │ 90729000  │  793200  │     9897264600      │ -9346000  │ -91914393400  │
│   45    │ 1672223400000 │ 890600  │ 2088500  │  15400   │    14443381400     │ 25547734600  │     1083512000     │ 2994500  │    41074628000     │ '2022-12-28T10:30:00.000Z' │ 1340479619600 │ 93723500  │ 1197900  │     11104353200     │ -8148100  │ -80810040200  │
│   46    │ 1672223520000 │ 622200  │ 3111500  │   3100   │     8176020200     │ 34261549200  │      24638800      │ 3736800  │    42462208200     │ '2022-12-28T10:32:00.000Z' │ 1382941827800 │ 97460300  │ 2489300  │     26085529000     │ -5658800  │ -54724511200  │
│   47    │ 1672223640000 │ 1986300 │ 3625200  │  82200   │    26925549400     │ 43627799200  │     873302600      │ 5693700  │    71426651200     │ '2022-12-28T10:34:00.000Z' │ 1454368479000 │ 103154000 │ 1638900  │     16702249800     │ -4019900  │ -38022261400  │
│   48    │ 1672223760000 │ 3133700 │ 2005500  │  31300   │    47049967200     │ 24103948400  │     306753000      │ 5170500  │    71460668600     │ '2022-12-28T10:36:00.000Z' │ 1525829147600 │ 108324500 │ -1128200 │    -22946018800     │ -5148100  │ -60968280200  │
│   49    │ 1672223880000 │ 1114100 │ 1266000  │  23900   │    15627856300     │ 14478298000  │     127224500      │ 2404000  │    30233378800     │ '2022-12-28T10:38:00.000Z' │ 1556062526400 │ 110728500 │  151900  │     -1149558300     │ -4996200  │ -62117838500  │
│   50    │ 1672224000000 │ 1335300 │  675400  │   700    │    23749053600     │ 12555286300  │      78600000      │ 2011400  │    36382939900     │ '2022-12-28T10:40:00.000Z' │ 1592445466300 │ 112739900 │ -659900  │    -11193767300     │ -5656100  │ -73311605800  │
│   51    │ 1672224120000 │ 770500  │  880400  │   700    │    12983889800     │ 17070976400  │      6735000       │ 1651600  │    30061601200     │ '2022-12-28T10:42:00.000Z' │ 1622507067500 │ 114391500 │  109900  │     4087086600      │ -5546200  │ -69224519200  │
│   52    │ 1672224240000 │ 542900  │  897400  │   4100   │     7571411300     │ 16390953700  │     186883000      │ 1444400  │    24149248000     │ '2022-12-28T10:44:00.000Z' │ 1646656315500 │ 115835900 │  354500  │     8819542400      │ -5191700  │ -60404976800  │
│   53    │ 1672224360000 │ 302000  │ 1301100  │  13900   │     5677797200     │ 27266445400  │     308060000      │ 1617000  │    33252302600     │ '2022-12-28T10:46:00.000Z' │ 1679908618100 │ 117452900 │  999100  │     21588648200     │ -4192600  │ -38816328600  │
│   54    │ 1672224480000 │ 570600  │ 1946900  │   500    │     9949246700     │ 31656407900  │      9100000       │ 2518000  │    41614754600     │ '2022-12-28T10:48:00.000Z' │ 1721523372700 │ 119970900 │ 1376300  │     21707161200     │ -2816300  │ -17109167400  │
│   55    │ 1672224600000 │ 685700  │ 2031000  │   5500   │    11528398700     │ 29525584700  │      92480000      │ 2722200  │    41146463400     │ '2022-12-28T10:50:00.000Z' │ 1762669836100 │ 122693100 │ 1345300  │     17997186000     │ -1471000  │   888018600   │
│   56    │ 1672224720000 │ 931300  │ 2500500  │   4400   │    12107791300     │ 39457320600  │      95241000      │ 3436200  │    51660352900     │ '2022-12-28T10:52:00.000Z' │ 1814330189000 │ 126129300 │ 1569200  │     27349529300     │   98200   │  28237547900  │
│   57    │ 1672224840000 │ 1072500 │ 1982200  │  20200   │    16133594600     │ 32711280200  │     236184000      │ 3074900  │    49081058800     │ '2022-12-28T10:54:00.000Z' │ 1863411247800 │ 129204200 │  909700  │     16577685600     │  1007900  │  44815233500  │
│   58    │ 1672224960000 │ 1206900 │ 1754900  │  21700   │    19646195600     │ 24981596700  │     281347000      │ 2983500  │    44909139300     │ '2022-12-28T10:56:00.000Z' │ 1908320387100 │ 132187700 │  548000  │     5335401100      │  1555900  │  50150634600  │
│   59    │ 1672225080000 │ 1145400 │  933000  │   5900   │    15256125400     │ 15981426300  │      90240000      │ 2084300  │    31327791700     │ '2022-12-28T10:58:00.000Z' │ 1939648178800 │ 134272000 │ -212400  │      725300900      │  1343500  │  50875935500  │
│   60    │ 1672225200000 │ 1659000 │  557500  │  12800   │    25624326000     │  9917760400  │     376680000      │ 2229300  │    35918766400     │ '2022-12-28T11:00:00.000Z' │ 1975566945200 │ 136501300 │ -1101500 │    -15706565600     │  242000   │  35169369900  │
├─────────┼───────────────┼─────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼─────────────────────┼───────────┼───────────────┤
│ (index) │   datetime    │   sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │  bu-sd   │      bu-sd_val      │ acum_busd │ acum_busd_val │
├─────────┼───────────────┼─────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼─────────────────────┼───────────┼───────────────┤
│   61    │ 1672225320000 │ 1566700 │  410500  │   9700   │    23057809200     │  7793831000  │     124318000      │ 1986900  │    30975958200     │ '2022-12-28T11:02:00.000Z' │ 2006542903400 │ 138488200 │ -1156200 │    -15263978200     │  -914200  │  19905391700  │
│   62    │ 1672225440000 │ 824500  │  960800  │   5800   │    13576697800     │ 16242882500  │     219800000      │ 1791100  │    30039380300     │ '2022-12-28T11:04:00.000Z' │ 2036582283700 │ 140279300 │  136300  │     2666184700      │  -777900  │  22571576400  │
│   63    │ 1672225560000 │ 1053700 │  947700  │   5300   │    14406349900     │ 15359642600  │      36209000      │ 2006700  │    29802201500     │ '2022-12-28T11:06:00.000Z' │ 2066384485200 │ 142286000 │ -106000  │      953292700      │  -883900  │  23524869100  │
│   64    │ 1672225680000 │ 799400  │  518500  │   5200   │    14093674300     │  8834932300  │      29320000      │ 1323100  │    22957926600     │ '2022-12-28T11:08:00.000Z' │ 2089342411800 │ 143609100 │ -280900  │     -5258742000     │ -1164800  │  18266127100  │
│   65    │ 1672225800000 │ 1709400 │  355900  │  19300   │    25187196000     │  7737771400  │     467470000      │ 2084600  │    33392437400     │ '2022-12-28T11:10:00.000Z' │ 2122734849200 │ 145693700 │ -1353500 │    -17449424600     │ -2518300  │   816702500   │
│   66    │ 1672225920000 │ 572400  │  341600  │    0     │     8548210000     │  7106366200  │         0          │  914000  │    15654576200     │ '2022-12-28T11:12:00.000Z' │ 2138389425400 │ 146607700 │ -230800  │     -1441843800     │ -2749100  │  -625141300   │
│   67    │ 1672226040000 │ 676400  │  543100  │   1000   │    11866891000     │  9935064300  │      62300000      │ 1220500  │    21864255300     │ '2022-12-28T11:14:00.000Z' │ 2160253680700 │ 147828200 │ -133300  │     -1931826700     │ -2882400  │  -2556968000  │
│   68    │ 1672226160000 │ 660600  │  554100  │   4600   │    10348401200     │ 11844965900  │      82420000      │ 1219300  │    22275787100     │ '2022-12-28T11:16:00.000Z' │ 2182529467800 │ 149047500 │ -106500  │     1496564700      │ -2988900  │  -1060403300  │
│   69    │ 1672226280000 │ 715000  │  517100  │    0     │    12544243400     │ 11143983100  │         0          │ 1232100  │    23688226500     │ '2022-12-28T11:18:00.000Z' │ 2206217694300 │ 150279600 │ -197900  │     -1400260300     │ -3186800  │  -2460663600  │
│   70    │ 1672226400000 │ 1368500 │  529800  │   100    │    24353598500     │ 10133175800  │      4240000       │ 1898400  │    34491014300     │ '2022-12-28T11:20:00.000Z' │ 2240708708600 │ 152178000 │ -838700  │    -14220422700     │ -4025500  │ -16681086300  │
│   71    │ 1672226520000 │ 1612600 │  703600  │  11900   │    25821740600     │ 13607091800  │     157500000      │ 2328100  │    39586332400     │ '2022-12-28T11:22:00.000Z' │ 2280295041000 │ 154506100 │ -909000  │    -12214648800     │ -4934500  │ -28895735100  │
│   72    │ 1672226640000 │ 973500  │  664600  │    0     │    14590622400     │ 14225949800  │         0          │ 1638100  │    28816572200     │ '2022-12-28T11:24:00.000Z' │ 2309111613200 │ 156144200 │ -308900  │     -364672600      │ -5243400  │ -29260407700  │
│   73    │ 1672226760000 │ 628000  │  851100  │   1200   │     8436675600     │ 13239128600  │      27838000      │ 1480300  │    21703642200     │ '2022-12-28T11:26:00.000Z' │ 2330815255400 │ 157624500 │  223100  │     4802453000      │ -5020300  │ -24457954700  │
│   74    │ 1672226880000 │ 589500  │  708000  │   8600   │     9712595400     │ 12239485000  │     457796000      │ 1306100  │    22409876400     │ '2022-12-28T11:28:00.000Z' │ 2353225131800 │ 158930600 │  118500  │     2526889600      │ -4901800  │ -21931065100  │
│   75    │ 1672227000000 │   800   │   1100   │    0     │      13058000      │   13445000   │         0          │   1900   │      26503000      │ '2022-12-28T11:30:00.000Z' │ 2353251634800 │ 158932500 │   300    │       387000        │ -4901500  │ -21930678100  │
│   76    │ 1672232280000 │  1500   │    0     │    0     │      17250000      │      0       │         0          │   1500   │      17250000      │ '2022-12-28T12:58:00.000Z' │ 2353268884800 │ 158934000 │  -1500   │      -17250000      │ -4903000  │ -21947928100  │
│   77    │ 1672232400000 │ 3252100 │ 1931800  │  159500  │    45258718500     │ 30068911800  │     2164390400     │ 5343400  │    77492020700     │ '2022-12-28T13:00:00.000Z' │ 2430760905500 │ 164277400 │ -1320300 │    -15189806700     │ -6223300  │ -37137734800  │
│   78    │ 1672232520000 │ 1311900 │  845700  │   5900   │    20561411500     │ 13579144400  │     216764000      │ 2163500  │    34357319900     │ '2022-12-28T13:02:00.000Z' │ 2465118225400 │ 166440900 │ -466200  │     -6982267100     │ -6689500  │ -44120001900  │
│   79    │ 1672232640000 │ 1226600 │  913200  │  22500   │    16861565600     │ 16518918900  │     243687000      │ 2162300  │    33624171500     │ '2022-12-28T13:04:00.000Z' │ 2498742396900 │ 168603200 │ -313400  │     -342646700      │ -7002900  │ -44462648600  │
