┌─────────┬───────────────┬─────────┬─────────┬──────────┬──────────────┬─────────────┬────────────────────┬──────────┬──────────────┬────────────────────────────┬───────────────┬───────────┬──────────┬───────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────┬──────────┬──────────────┬───────┐
│ (index) │   datetime    │   sd    │   bu    │    uk    │    val_sd    │   val_bu    │       val_uk       │ sum_vol  │     val      │            date            │   acum_val    │ total_vol │  bu-sd   │   bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd │ avg_busd_val │ rbusd │
├─────────┼───────────────┼─────────┼─────────┼──────────┼──────────────┼─────────────┼────────────────────┼──────────┼──────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼───────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼──────────┼──────────────┼───────┤
│    0    │ 1674810840000 │ 6178200 │ 4810100 │ 3412000  │ 105247037600 │ 72645022100 │    19044579000     │ 14400300 │ 196936638700 │ '2023-01-27T09:14:00.000Z' │ 196936638700  │ 14400300  │ -1368100 │ -32602015500  │ -1368100  │ -32602015500  │  72645022100  │ 105247037600  │  4810100  │  6178200  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │ 21.9  │
│    1    │ 1674810960000 │ 4204800 │ 5445200 │  80000   │ 68580540600  │ 92079004200 │     1154007800     │ 9730000  │ 161813552600 │ '2023-01-27T09:16:00.000Z' │ 358750191300  │ 24130300  │ 1240400  │  23498463600  │  -127700  │  -9103551900  │ 164724026300  │ 173827578200  │ 10255300  │ 10383000  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │ 15.8  │
│    2    │ 1674811080000 │ 4853600 │ 4173600 │  89700   │ 77193850000  │ 69590435000 │     785057400      │ 9116900  │ 147569342400 │ '2023-01-27T09:18:00.000Z' │ 506319533700  │ 33247200  │ -680000  │  -7603415000  │  -807700  │ -16706966900  │ 234314461300  │ 251021428200  │ 14428900  │ 15236600  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │  5.1  │
│    3    │ 1674811200000 │ 4265400 │ 3328500 │  111800  │ 77581599600  │ 61304058300 │     2396630000     │ 7705700  │ 141282287900 │ '2023-01-27T09:20:00.000Z' │ 647601821600  │ 40952900  │ -936900  │ -16277541300  │ -1744600  │ -32984508200  │ 295618519600  │ 328603027800  │ 17757400  │ 19502000  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │ 10.9  │
│    4    │ 1674811320000 │ 4022300 │ 3144700 │  33800   │ 66381256800  │ 58784529100 │     996797000      │ 7200800  │ 126162582900 │ '2023-01-27T09:22:00.000Z' │ 773764404500  │ 48153700  │ -877600  │  -7596727700  │ -2622200  │ -40581235900  │ 354403048700  │ 394984284600  │ 20902100  │ 23524300  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │  5.1  │
│    5    │ 1674811440000 │ 3811700 │ 2516400 │  36400   │ 61411044100  │ 44399719600 │     760506000      │ 6364500  │ 106571269700 │ '2023-01-27T09:24:00.000Z' │ 880335674200  │ 54518200  │ -1295300 │ -17011324500  │ -3917500  │ -57592560400  │ 398802768300  │ 456395328700  │ 23418500  │ 27336000  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │ 11.4  │
│    6    │ 1674811560000 │ 2676600 │ 3727000 │  17700   │ 43196485300  │ 54925265700 │     290090000      │ 6421300  │ 98411841000  │ '2023-01-27T09:26:00.000Z' │ 978747515200  │ 60939500  │ 1050400  │  11728780400  │ -2867100  │ -45863780000  │ 453728034000  │ 499591814000  │ 27145500  │ 30012600  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │  7.9  │
│    7    │ 1674811680000 │ 2196500 │ 3059700 │  13100   │ 36920019600  │ 56835198200 │     525229000      │ 5269300  │ 94280446800  │ '2023-01-27T09:28:00.000Z' │ 1073027962000 │ 66208800  │  863200  │  19915178600  │ -2003900  │ -25948601400  │ 510563232200  │ 536511833600  │ 30205200  │ 32209100  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │ 13.4  │
│    8    │ 1674811800000 │ 1963300 │ 3791700 │   6400   │ 31245919800  │ 64489400100 │      43682000      │ 5761400  │ 95779001900  │ '2023-01-27T09:30:00.000Z' │ 1168806963900 │ 71970200  │ 1828400  │  33243480300  │  -175500  │  7294878900   │ 575052632300  │ 567757753400  │ 33996900  │ 34172400  │ 38446373403.4 │ 36958594775.9 │ 79608212803.4 │ 4724572.4 │ 2228313.8 │ 2229293.1 │  -979.3  │ 1487778627.6 │ 22.3  │
