┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 17.3  │ 17.3  │ 17.3  │ 17.3  │ 100 │ 1730000 │    100    │   100   │ 1730000  │  1730000  │ 1670836440000 │ '2022-12-12T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 41.7 │ 475 │ 8.3 │ 12  │   0   │     0     │  720833.3  │ 8200833.3  │     0     │       0       │      0      │      0      │   0   │      │          │     │     │         │     │
│    1    │ 17.3  │ 17.3  │ 17.3  │ 17.3  │     │         │    300    │   200   │ 3460000  │  5190000  │ 1670840640000 │ '2022-12-12T10:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -200  │ -3460000  │  720833.3  │ 8200833.3  │   -200    │   -3460000    │      0      │   3460000   │  0.5  │ 200  │ 3460000  │ 0.4 │     │         │     │
│    2    │ 17.3  │ 17.3  │ 17.3  │ 17.3  │     │         │    400    │   100   │ 1730000  │  6920000  │ 1670842440000 │ '2022-12-12T10:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 41.7 │ 475 │ 8.3 │     │  100  │  1730000  │  720833.3  │ 8200833.3  │   -100    │   -1730000    │   1730000   │   3460000   │  0.2  │      │          │     │ 100 │ 1730000 │ 2.4 │
│    3    │ 17.3  │ 17.3  │ 17.3  │ 17.3  │     │         │    800    │   400   │ 6920000  │ 13840000  │ 1670842800000 │ '2022-12-12T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 41.7 │ 475 │ 8.3 │     │  400  │  6920000  │  720833.3  │ 8200833.3  │    300    │    5190000    │   8650000   │   3460000   │  0.9  │      │          │     │ 400 │ 6920000 │ 9.6 │
│    4    │ 17.3  │ 17.3  │ 17.3  │ 17.3  │     │         │   1400    │   600   │ 10380000 │ 24220000  │ 1670850120000 │ '2022-12-12T13:02:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -600  │ -10380000 │  720833.3  │ 8200833.3  │   -300    │   -5190000    │   8650000   │  13840000   │  1.4  │ 600  │ 10380000 │ 1.3 │     │         │     │
│    5    │ 17.3  │ 17.3  │ 17.3  │ 17.3  │     │         │   2200    │   800   │ 13840000 │ 38060000  │ 1670850360000 │ '2022-12-12T13:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -800  │ -13840000 │  720833.3  │ 8200833.3  │   -1100   │   -19030000   │   8650000   │  27680000   │  1.9  │ 800  │ 13840000 │ 1.7 │     │         │     │
│    6    │ 17.3  │ 17.3  │ 17.3  │ 17.3  │     │         │   2300    │   100   │ 1730000  │ 39790000  │ 1670851800000 │ '2022-12-12T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -100  │ -1730000  │  720833.3  │ 8200833.3  │   -1200   │   -20760000   │   8650000   │  29410000   │  0.2  │ 100  │ 1730000  │ 0.2 │     │         │     │
│    7    │ 17.25 │ 17.25 │ 17.25 │ 17.25 │     │         │   4300    │  2100   │ 36225000 │ 76015000  │ 1670853000000 │ '2022-12-12T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -2100 │ -36225000 │  720833.3  │ 8200833.3  │   -3300   │   -56985000   │   8650000   │  65635000   │  4.8  │ 2100 │ 36225000 │ 4.4 │     │         │     │
│    8    │ 17.25 │ 17.25 │ 17.25 │ 17.25 │     │         │   5400    │  1000   │ 17250000 │ 93265000  │ 1670853120000 │ '2022-12-12T13:52:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -1000 │ -17250000 │  720833.3  │ 8200833.3  │   -4300   │   -74235000   │   8650000   │  82885000   │  2.3  │ 1000 │ 17250000 │ 2.1 │     │         │     │
│    9    │ 17.25 │ 17.25 │ 17.25 │ 17.25 │     │         │   5800    │   400   │ 6900000  │ 100165000 │ 1670853240000 │ '2022-12-12T13:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -400  │ -6900000  │  720833.3  │ 8200833.3  │   -4700   │   -81135000   │   8650000   │  89785000   │  0.9  │ 400  │ 6900000  │ 0.8 │     │         │     │
│   10    │ 17.25 │ 17.25 │ 17.25 │ 17.25 │     │         │   5900    │   100   │ 1725000  │ 101890000 │ 1670854680000 │ '2022-12-12T14:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -100  │ -1725000  │  720833.3  │ 8200833.3  │   -4800   │   -82860000   │   8650000   │  91510000   │  0.2  │ 100  │ 1725000  │ 0.2 │     │         │     │
│   11    │ 17.25 │ 17.25 │ 17.25 │ 17.25 │     │         │   6300    │   400   │ 6900000  │ 108790000 │ 1670856240000 │ '2022-12-12T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 41.7 │ 475 │ 8.3 │     │ -400  │ -6900000  │  720833.3  │ 8200833.3  │   -5200   │   -89760000   │   8650000   │  98410000   │  0.9  │ 400  │ 6900000  │ 0.8 │     │         │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘

