┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │ 1000 │ 10950000 │   1000    │  1000   │ 10950000 │ 10950000  │ 1675242840000 │ '2023-02-01T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1100 │ 300 │ 90.9 │ 11  │   0   │     0     │  10951100  │  3270000   │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   2300    │  1300   │ 14235000 │ 25185000  │ 1675243680000 │ '2023-02-01T09:28:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │ 1300  │ 14235000  │  10951100  │  3270000   │   1300    │   14235000    │  14235000   │      0      │  1.9  │ 1300 │ 14235000 │ 1.2 │      │          │     │
│    2    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │          │   5300    │  3000   │ 32700000 │ 57885000  │ 1675246920000 │ '2023-02-01T10:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1100 │ 300 │ 90.9 │     │ -3000 │ -32700000 │  10951100  │  3270000   │   -1700   │   -18465000   │  14235000   │  32700000   │  4.3  │      │          │     │ 3000 │ 32700000 │ 10  │
│    3    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   6300    │  1000   │ 10950000 │ 68835000  │ 1675248840000 │ '2023-02-01T10:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │ 1000  │ 10950000  │  10951100  │  3270000   │   -700    │   -7515000    │  25185000   │  32700000   │  1.4  │ 1000 │ 10950000 │ 0.9 │      │          │     │
│    4    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │          │   6600    │   300   │ 3270000  │ 72105000  │ 1675249080000 │ '2023-02-01T10:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1100 │ 300 │ 90.9 │     │ -300  │ -3270000  │  10951100  │  3270000   │   -1000   │   -10785000   │  25185000   │  35970000   │  0.4  │      │          │     │ 300  │ 3270000  │  1  │
│    5    │  11   │  11   │  11   │  11   │      │          │   7600    │  1000   │  11000   │ 72116000  │ 1675249800000 │ '2023-02-01T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │ 1000  │   11000   │  10951100  │  3270000   │     0     │   -10774000   │  25196000   │  35970000   │   0   │ 1000 │  11000   │ 0.9 │      │          │     │
│    6    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   8600    │  1000   │ 10950000 │ 83066000  │ 1675250040000 │ '2023-02-01T11:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │ 1000  │ 10950000  │  10951100  │  3270000   │   1000    │    176000     │  36146000   │  35970000   │  1.4  │ 1000 │ 10950000 │ 0.9 │      │          │     │
│    7    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   10800   │  2200   │ 24090000 │ 107156000 │ 1675250160000 │ '2023-02-01T11:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │ 2200  │ 24090000  │  10951100  │  3270000   │   3200    │   24266000    │  60236000   │  35970000   │  3.1  │ 2200 │ 24090000 │  2  │      │          │     │
│    8    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   13800   │  3000   │ 32850000 │ 140006000 │ 1675259160000 │ '2023-02-01T13:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │ 3000  │ 32850000  │  10951100  │  3270000   │   6200    │   57116000    │  93086000   │  35970000   │  4.3  │ 3000 │ 32850000 │ 2.7 │      │          │     │
│    9    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   16300   │  2500   │ 27375000 │ 167381000 │ 1675259760000 │ '2023-02-01T13:56:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │ 2500  │ 27375000  │  10951100  │  3270000   │   8700    │   84491000    │  120461000  │  35970000   │  3.6  │ 2500 │ 27375000 │ 2.3 │      │          │     │
│   10    │  11   │  11   │  11   │  11   │      │          │   16400   │   100   │   1100   │ 167382100 │ 1675262640000 │ '2023-02-01T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1100 │ 300 │ 90.9 │     │  100  │   1100    │  10951100  │  3270000   │   8800    │   84492100    │  120462100  │  35970000   │   0   │ 100  │   1100   │ 0.1 │      │          │     │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴─────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

