┌─────────┬─────┬─────┬─────┬─────┬──────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬────────┬───────┬─────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd   │  auk  │ ruk │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼──────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼────────┼───────┼─────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 3.4 │ 3.4 │ 3.4 │ 3.4 │ 2100 │ 7140000 │   2100    │  2100   │ 7140000  │ 7140000  │ 1675242300000 │ '2023-02-01T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 122.2 │ 1633.3 │ 233.3 │  9  │   0    │     0     │  415555.6  │  5390000   │     0     │       0       │      0      │      0      │  -0   │       │          │     │     │         │     │
│    1    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │      │         │   2300    │   200   │  660000  │ 7800000  │ 1675245300000 │ '2023-02-01T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 1633.3 │ 233.3 │     │  -200  │  -660000  │  415555.6  │  5390000   │   -200    │    -660000    │      0      │   660000    │  0.1  │  200  │  660000  │ 0.1 │     │         │     │
│    2    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │      │         │   2800    │   500   │ 1650000  │ 9450000  │ 1675246200000 │ '2023-02-01T10:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 1633.3 │ 233.3 │     │  -500  │ -1650000  │  415555.6  │  5390000   │   -700    │   -2310000    │      0      │   2310000   │  0.3  │  500  │ 1650000  │ 0.3 │     │         │     │
│    3    │ 3.4 │ 3.4 │ 3.4 │ 3.4 │      │         │   3400    │   600   │ 2040000  │ 11490000 │ 1675248900000 │ '2023-02-01T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 122.2 │ 1633.3 │ 233.3 │     │  600   │  2040000  │  415555.6  │  5390000   │   -100    │    -270000    │   2040000   │   2310000   │ -0.4  │       │          │     │ 600 │ 2040000 │ 4.9 │
│    4    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │      │         │   16800   │  13400  │ 44220000 │ 55710000 │ 1675250100000 │ '2023-02-01T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 1633.3 │ 233.3 │     │ -13400 │ -44220000 │  415555.6  │  5390000   │  -13500   │   -44490000   │   2040000   │  46530000   │  8.9  │ 13400 │ 44220000 │ 8.2 │     │         │     │
│    5    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │      │         │   17100   │   300   │  990000  │ 56700000 │ 1675250400000 │ '2023-02-01T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 1633.3 │ 233.3 │     │  -300  │  -990000  │  415555.6  │  5390000   │  -13800   │   -45480000   │   2040000   │  47520000   │  0.2  │  300  │  990000  │ 0.2 │     │         │     │
│    6    │ 3.4 │ 3.4 │ 3.4 │ 3.4 │      │         │   17400   │   300   │ 1020000  │ 57720000 │ 1675256400000 │ '2023-02-01T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 122.2 │ 1633.3 │ 233.3 │     │  300   │  1020000  │  415555.6  │  5390000   │  -13500   │   -44460000   │   3060000   │  47520000   │ -0.2  │       │          │     │ 300 │ 1020000 │ 2.5 │
│    7    │ 3.4 │ 3.4 │ 3.4 │ 3.4 │      │         │   17600   │   200   │  680000  │ 58400000 │ 1675257900000 │ '2023-02-01T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 122.2 │ 1633.3 │ 233.3 │     │  200   │  680000   │  415555.6  │  5390000   │  -13300   │   -43780000   │   3740000   │  47520000   │ -0.1  │       │          │     │ 200 │ 680000  │ 1.6 │
│    8    │ 3.3 │ 3.3 │ 3.3 │ 3.3 │      │         │   17900   │   300   │  990000  │ 59390000 │ 1675261200000 │ '2023-02-01T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 122.2 │ 1633.3 │ 233.3 │     │  -300  │  -990000  │  415555.6  │  5390000   │  -13600   │   -44770000   │   3740000   │  48510000   │  0.2  │  300  │  990000  │ 0.2 │     │         │     │
└─────────┴─────┴─────┴─────┴─────┴──────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴────────┴───────┴─────┴────────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴──────────┴─────┴─────┴─────────┴─────┘

