┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 12.3 │ 12.3 │ 12.3 │ 12.3 │ 100 │ 1230000 │    100    │   100   │ 1230000  │ 1230000  │ 1675242000000 │ '2023-02-01T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 555.6 │ 55.6 │ 11.1 │  9  │   0   │     0     │ 6238044.4  │  646666.7  │     0     │       0       │      0      │      0      │   0   │      │          │     │     │         │     │
│    1    │  12  │ 12.2 │  12  │ 12.2 │     │         │    800    │   700   │ 7311200  │ 8541200  │ 1675245900000 │ '2023-02-01T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 555.6 │ 55.6 │ 11.1 │     │  700  │  7311200  │ 6238044.4  │  646666.7  │    700    │    7311200    │   7311200   │      0      │  1.3  │ 700  │ 7311200  │ 1.3 │     │         │     │
│    2    │ 11.7 │ 11.7 │ 11.7 │ 11.7 │     │         │    900    │   100   │ 1170000  │ 9711200  │ 1675247100000 │ '2023-02-01T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 55.6 │ 11.1 │     │ -100  │ -1170000  │ 6238044.4  │  646666.7  │    600    │    6141200    │   7311200   │   1170000   │ -0.2  │      │          │     │ 100 │ 1170000 │ 1.8 │
│    3    │ 12.2 │ 12.2 │ 12.2 │ 12.2 │     │         │   1000    │   100   │ 1220000  │ 10931200 │ 1675248000000 │ '2023-02-01T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 555.6 │ 55.6 │ 11.1 │     │  100  │  1220000  │ 6238044.4  │  646666.7  │    700    │    7361200    │   8531200   │   1170000   │  0.2  │ 100  │ 1220000  │ 0.2 │     │         │     │
│    4    │ 11.7 │ 11.7 │ 11.7 │ 11.7 │     │         │   1100    │   100   │ 1170000  │ 12101200 │ 1675248300000 │ '2023-02-01T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 55.6 │ 11.1 │     │ -100  │ -1170000  │ 6238044.4  │  646666.7  │    600    │    6191200    │   8531200   │   2340000   │ -0.2  │      │          │     │ 100 │ 1170000 │ 1.8 │
│    5    │ 11.6 │ 11.6 │ 11.6 │ 11.6 │     │         │   1400    │   300   │ 3480000  │ 15581200 │ 1675249800000 │ '2023-02-01T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 555.6 │ 55.6 │ 11.1 │     │ -300  │ -3480000  │ 6238044.4  │  646666.7  │    300    │    2711200    │   8531200   │   5820000   │ -0.6  │      │          │     │ 300 │ 3480000 │ 5.4 │
│    6    │ 11.6 │ 11.6 │ 11.6 │ 11.6 │     │         │   5400    │  4000   │ 46400000 │ 61981200 │ 1675257300000 │ '2023-02-01T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 555.6 │ 55.6 │ 11.1 │     │ 4000  │ 46400000  │ 6238044.4  │  646666.7  │   4300    │   49111200    │  54931200   │   5820000   │  8.3  │ 4000 │ 46400000 │ 7.2 │     │         │     │
│    7    │  12  │  12  │  12  │  12  │     │         │   5500    │   100   │   1200   │ 61982400 │ 1675258800000 │ '2023-02-01T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 555.6 │ 55.6 │ 11.1 │     │  100  │   1200    │ 6238044.4  │  646666.7  │   4400    │   49112400    │  54932400   │   5820000   │   0   │ 100  │   1200   │ 0.2 │     │         │     │
│    8    │ 12.1 │ 12.1 │ 12.1 │ 12.1 │     │         │   5600    │   100   │ 1210000  │ 63192400 │ 1675260600000 │ '2023-02-01T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 555.6 │ 55.6 │ 11.1 │     │  100  │  1210000  │ 6238044.4  │  646666.7  │   4500    │   50322400    │  56142400   │   5820000   │  0.2  │ 100  │ 1210000  │ 0.2 │     │         │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘

