,date,symbol,priceHigh,priceLow,priceOpen,priceAverage,priceClose,priceBasic,totalVolume,dealVolume,putthroughVolume,totalValue,putthroughValue,buyForeignQuantity,buyForeignValue,sellForeignQuantity,sellForeignValue,buyCount,buyQuantity,sellCount,sellQuantity,adjRatio,currentForeignRoom,propTradingNetDealValue,propTradingNetPTValue,propTradingNetValue
0,2022-10-27T00:00:00,VNINDEX,1028.01,990.48,994.8199999999999,1028.01,1028.01,993.36,647723295.0,572328800.0,75394495.0,11121739000000.0,1589509479260.0,53417642.0,1129148040000.0,60173419.0,1297663260000.0,339596.0,3807147062.0,316520.0,2710954563.0,1.0,0.0,287565127000.0,-35345200000.0,252219927000.0
1,2022-10-26T00:00:00,VNINDEX,1004.5500000000001,984.7099999999999,1000.7099999999999,993.36,993.36,997.7,448275048.0,352376800.0,95898248.0,8048501000000.0,2194336069300.0,30412187.0,626898700000.0,34587484.0,683608790000.0,290977.0,2841588981.0,252465.0,2295143683.0,1.0,0.0,46594129000.0,-3306500000.0,43287629000.0
2,2022-10-25T00:00:00,VNINDEX,1011.3899999999999,962.4499999999999,980.47,997.7,997.7,986.15,751178249.0,670274300.0,80903949.0,12607567000000.0,1568058043800.0,61596171.0,1267578000000.0,73300947.0,1352716400000.0,389566.0,4524440912.0,355920.0,4051223082.0,1.0,0.0,53091651000.0,33058600000.0,86150251000.0
3,2022-10-24T00:00:00,VNINDEX,1023.5099999999999,977.4100000000001,1021.25,986.15,986.15,1019.8199999999999,654944880.0,547149700.0,107795180.0,12072317000000.0,3091884706050.0,46982264.0,1216288350000.0,46960526.0,1142950490000.0,338466.0,3868247049.0,278669.0,3479075418.0,1.0,0.0,-77669922000.0,0.0,-77669922000.0
4,2022-10-21T00:00:00,VNINDEX,1059.03,1013.69,1059.03,1019.8199999999999,1019.8199999999999,1058.45,742095685.0,642204890.0,99890795.0,14616034000000.0,3019219808000.0,47414310.0,1383144420000.0,84009378.0,1822111300000.0,452136.0,3775213894.0,280063.0,3270271262.0,1.0,0.0,-141765982000.0,-70741650000.0,-212507632000.0
5,2022-10-20T00:00:00,VNINDEX,1065.28,1048.21,1056.14,1058.45,1058.45,1060.07,398325488.0,352499633.0,45825855.0,8392164000000.0,1222004851830.0,38524976.0,1065313670000.0,38770633.0,880522360000.0,326579.0,3090794015.0,213695.0,2605786000.0,1.0,0.0,-83193060000.0,-36557300000.0,-119750360000.0
6,2022-10-19T00:00:00,VNINDEX,1065.99,1052.29,1065.08,1060.07,1060.07,1063.6599999999999,400659500.0,343358600.0,57300900.0,8274079000000.0,1854821376000.0,37538889.0,998179300000.0,47994757.0,1078755170000.0,294989.0,3109306148.0,242577.0,2500709032.0,1.0,0.0,-410815000.0,-29617900000.0,-30028715000.0
7,2022-10-18T00:00:00,VNINDEX,1071.74,1057.71,1065.6000000000001,1063.6599999999999,1063.6599999999999,1051.5800000000002,514837794.0,466433900.0,48403894.0,10165759000000.0,1098061839740.0,44647541.0,1244314380000.0,51491700.0,1272716630000.0,337606.0,3365184945.0,324080.0,3090697953.0,1.0,0.0,65037917000.0,-90137050000.0,-25099133000.0
8,2022-10-17T00:00:00,VNINDEX,1054.05,1033.5900000000001,1053.46,1051.5800000000002,1051.5800000000002,1061.85,497417202.0,435723100.0,61694102.0,9549842000000.0,1524479026600.0,35589808.0,876795320000.0,36549389.0,641513450000.0,344910.0,3853793003.0,267297.0,3146380376.0,1.0,0.0,-96751833000.0,54750000000.0,-42001833000.0
9,2022-10-14T00:00:00,VNINDEX,1068.1200000000001,1055.29,1063.07,1061.85,1061.85,1050.99,641479597.0,506303900.0,135175697.0,14484279000000.0,4811002692600.0,55333194.0,1259656410000.0,44421950.0,1043423780000.0,333282.0,3558603816.0,341296.0,2857734201.0,1.0,0.0,-135038504000.0,0.0,-135038504000.0
