┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬────────────────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬────────────────────┬─────┬─────┬───────────────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ bu  │ val_bu  │ total_vol │ sum_vol │        val         │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ rbu │ bu-sd │     bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  uk  │       val_uk       │ ruk │ sd  │      val_sd       │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼────────────────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼────────────────────┼─────┼─────┼───────────────────┼─────┤
│    0    │ 32.9 │ 32.9 │ 32.9 │ 32.9 │ 200 │ 6580000 │    200    │   200   │      6580000       │  6580000  │ 1675679700000 │ '2023-02-06T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 20  │ 90  │ 890 │ 10  │  200  │      6580000       │   658000   │  2958000   │    200    │    6580000    │   6580000   │      0      │ -2.9  │      │                    │     │     │                   │     │
│    1    │ 32.9 │ 32.9 │ 32.9 │ 32.9 │     │         │   1600    │  1400   │      46060000      │ 52640000  │ 1675681200000 │ '2023-02-06T11:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 90  │ 890 │     │   0   │         0          │   658000   │  2958000   │    200    │    6580000    │   6580000   │      0      │  -0   │ 1400 │      46060000      │ 1.6 │     │                   │     │
│    2    │  33  │  33  │  33  │  33  │     │         │   1700    │   100   │        3300        │ 52643300  │ 1675690500000 │ '2023-02-06T13:35:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 90  │ 890 │     │   0   │         0          │   658000   │  2958000   │    200    │    6580000    │   6580000   │      0      │  -0   │ 100  │        3300        │ 0.1 │     │                   │     │
│    3    │ 32.9 │ 32.9 │ 32.9 │ 32.9 │     │         │   4200    │  2500   │      82250000      │ 134893300 │ 1675690800000 │ '2023-02-06T13:40:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 90  │ 890 │     │   0   │         0          │   658000   │  2958000   │    200    │    6580000    │   6580000   │      0      │  -0   │ 2500 │      82250000      │ 2.8 │     │                   │     │
│    4    │ 32.8 │ 32.9 │ 32.8 │ 32.9 │     │         │   4900    │   700   │      23020000      │ 157913300 │ 1675691100000 │ '2023-02-06T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 90  │ 890 │     │ -700  │     -23020000      │   658000   │  2958000   │   -500    │   -16440000   │   6580000   │  23020000   │  10   │      │                    │     │ 700 │     23020000      │ 7.8 │
│    5    │ 32.8 │ 32.8 │ 32.8 │ 32.8 │     │         │   5100    │   200   │ 6559999.999999999  │ 164473300 │ 1675691700000 │ '2023-02-06T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 90  │ 890 │     │ -200  │ -6559999.999999999 │   658000   │  2958000   │   -700    │   -23000000   │   6580000   │  29580000   │  2.9  │      │                    │     │ 200 │ 6559999.999999999 │ 2.2 │
│    6    │ 32.8 │ 32.8 │ 32.8 │ 32.8 │     │         │   5900    │   800   │ 26239999.999999996 │ 190713300 │ 1675692300000 │ '2023-02-06T14:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 90  │ 890 │     │   0   │         0          │   658000   │  2958000   │   -700    │   -23000000   │   6580000   │  29580000   │  -0   │ 800  │ 26239999.999999996 │ 0.9 │     │                   │     │
│    7    │ 32.8 │ 32.8 │ 32.8 │ 32.8 │     │         │   6000    │   100   │ 3279999.9999999995 │ 193993300 │ 1675692900000 │ '2023-02-06T14:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 90  │ 890 │     │   0   │         0          │   658000   │  2958000   │   -700    │   -23000000   │   6580000   │  29580000   │  -0   │ 100  │ 3279999.9999999995 │ 0.1 │     │                   │     │
│    8    │ 32.8 │ 32.8 │ 32.8 │ 32.8 │     │         │   6100    │   100   │ 3279999.9999999995 │ 197273300 │ 1675693500000 │ '2023-02-06T14:25:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 90  │ 890 │     │   0   │         0          │   658000   │  2958000   │   -700    │   -23000000   │   6580000   │  29580000   │  -0   │ 100  │ 3279999.9999999995 │ 0.1 │     │                   │     │
│    9    │  33  │  33  │  33  │  33  │     │         │   10000   │  3900   │       128700       │ 197402000 │ 1675694700000 │ '2023-02-06T14:45:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 90  │ 890 │     │   0   │         0          │   658000   │  2958000   │   -700    │   -23000000   │   6580000   │  29580000   │  -0   │ 3900 │       128700       │ 4.4 │     │                   │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴────────────────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴────────────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴────────────────────┴─────┴─────┴───────────────────┴─────┘

