┌─────────┬───┬───┬───┬───┬──────┬────────┬───────────┬─────────┬───────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬────────┬─────┬──────┬────────┬─────┐
│ (index) │ c │ h │ l │ o │  uk  │ val_uk │ total_vol │ sum_vol │  val  │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │ val_sd │ rsd │  bu  │ val_bu │ rbu │
├─────────┼───┼───┼───┼───┼──────┼────────┼───────────┼─────────┼───────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼────────┼─────┼──────┼────────┼─────┤
│    0    │ 5 │ 5 │ 5 │ 5 │ 2400 │ 12000  │   2400    │  2400   │ 12000 │  12000   │ 1675675200000 │ '2023-02-06T09:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 891.7 │ 16.7 │ 200 │ 12  │   0   │     0     │   4458.3   │    83.3    │     0     │       0       │      0      │      0      │   0   │     │        │     │      │        │     │
│    1    │ 5 │ 5 │ 5 │ 5 │      │        │   2500    │   100   │  500  │  12500   │ 1675675500000 │ '2023-02-06T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 891.7 │ 16.7 │ 200 │     │ -100  │   -500    │   4458.3   │    83.3    │   -100    │     -500      │      0      │     500     │ -0.1  │ 100 │  500   │  6  │      │        │     │
│    2    │ 5 │ 5 │ 5 │ 5 │      │        │   3000    │   500   │ 2500  │  15000   │ 1675676400000 │ '2023-02-06T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │  500  │   2500    │   4458.3   │    83.3    │    400    │     2000      │    2500     │     500     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    3    │ 5 │ 5 │ 5 │ 5 │      │        │   3500    │   500   │ 2500  │  17500   │ 1675677000000 │ '2023-02-06T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │  500  │   2500    │   4458.3   │    83.3    │    900    │     4500      │    5000     │     500     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    4    │ 5 │ 5 │ 5 │ 5 │      │        │   3600    │   100   │  500  │  18000   │ 1675677600000 │ '2023-02-06T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 891.7 │ 16.7 │ 200 │     │ -100  │   -500    │   4458.3   │    83.3    │    800    │     4000      │    5000     │    1000     │ -0.1  │ 100 │  500   │  6  │      │        │     │
│    5    │ 5 │ 5 │ 5 │ 5 │      │        │   4000    │   400   │ 2000  │  20000   │ 1675677900000 │ '2023-02-06T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │  400  │   2000    │   4458.3   │    83.3    │   1200    │     6000      │    7000     │    1000     │  0.5  │     │        │     │ 400  │  2000  │ 0.4 │
│    6    │ 5 │ 5 │ 5 │ 5 │      │        │   4500    │   500   │ 2500  │  22500   │ 1675678200000 │ '2023-02-06T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │  500  │   2500    │   4458.3   │    83.3    │   1700    │     8500      │    9500     │    1000     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    7    │ 5 │ 5 │ 5 │ 5 │      │        │   8500    │  4000   │ 20000 │  42500   │ 1675678800000 │ '2023-02-06T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │ 4000  │   20000   │   4458.3   │    83.3    │   5700    │     28500     │    29500    │    1000     │  4.6  │     │        │     │ 4000 │ 20000  │ 4.5 │
│    8    │ 5 │ 5 │ 5 │ 5 │      │        │   9000    │   500   │ 2500  │  45000   │ 1675688400000 │ '2023-02-06T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │  500  │   2500    │   4458.3   │    83.3    │   6200    │     31000     │    32000    │    1000     │  0.6  │     │        │     │ 500  │  2500  │ 0.6 │
│    9    │ 5 │ 5 │ 5 │ 5 │      │        │   9100    │   100   │  500  │  45500   │ 1675690200000 │ '2023-02-06T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │  100  │    500    │   4458.3   │    83.3    │   6300    │     31500     │    32500    │    1000     │  0.1  │     │        │     │ 100  │  500   │ 0.1 │
│   10    │ 5 │ 5 │ 5 │ 5 │      │        │   12900   │  3800   │ 19000 │  64500   │ 1675693200000 │ '2023-02-06T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │ 3800  │   19000   │   4458.3   │    83.3    │   10100   │     50500     │    51500    │    1000     │  4.3  │     │        │     │ 3800 │ 19000  │ 4.3 │
│   11    │ 5 │ 5 │ 5 │ 5 │      │        │   13300   │   400   │ 2000  │  66500   │ 1675694700000 │ '2023-02-06T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 891.7 │ 16.7 │ 200 │     │  400  │   2000    │   4458.3   │    83.3    │   10500   │     52500     │    53500    │    1000     │  0.5  │     │        │     │ 400  │  2000  │ 0.4 │
└─────────┴───┴───┴───┴───┴──────┴────────┴───────────┴─────────┴───────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴────────┴─────┴──────┴────────┴─────┘

